Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
1947,What was the purpose of the US-Japan Security Treaty?,Forming an American-Japanese alliance against socialist countries and national liberation movements in the Far East.,Japan became a strategic base of the United States.,Japan wants to take advantage of American technical capital to develop its economy.,Create a balance between the US and Japan.,A,History 9,True
1950,What was the situation like in Southeast Asia in the mid-1950s?,It's getting more and more tense.,Growing more prosperous.,Stable.,Stability and growth.,A,History 9,True
1954,What was the biggest difficulty Japan faced after World War II?,"Lost all colonies, economy was severely devastated.",Economically besieged by imperialist countries.,"Unemployment, food shortages.",Occupied by the US military under military rule.,A,History 9,True
1955,What was the foreign policy of the Soviet Union from 1945 to the first half of the 1970s?,Want to be friends with all countries.,Only deal with major countries.,Peace and active support for world revolution.,Make friends only with socialist countries.,C,History 9,True
1956,In which year did the first US President visit Vietnam?,1990,1991,1992,1993,D,History 9,True
1957,In which year did the second colonial exploitation program of French colonialism begin?,1914,1919,1918,1920,B,History 9,True
1958,Where was apartheid abolished?,South Africa.,Latin America.,Middle East.,Africa.,A,History 9,True
1959,"How long did the Soviet Union's ""reform"" process last?",4 years (1985-1989).,5 years (1985-1990).,6 years (1985-1991).,7 years (1985-1992).,C,History 9,True
1960,"In 1992, ASEAN decided to turn Southeast Asia into?",A prosperous area.,A stable and growing region.,A free trade area.,A zone of peace.,C,History 9,True
1961,"Who was the leader of the July 26, 1953 movement of the Cuban revolution?",Ghevana,Fidel Castro,Raul Castro,Afghanistan,B,History 9,True
1962,"After the Paris Agreement was signed, how did the North of our country continue to fulfill its obligations as a rear area?","Sending hundreds of thousands of soldiers, tens of thousands of youth volunteers, professional cadres and technical staff to the South, Cambodia and Laos.","Sending to the South tens of thousands of soldiers, tens of thousands of youth volunteers, professional cadres, and technical staff.","Brought into Saigon - Gia Dinh tens of thousands of soldiers, tens of thousands of youth volunteers, professional cadres, and technical staff.","Bring the most modern weapons and war vehicles to the South, Cambodia and Laos.",A,History 9,True
1963,The division of Vietnam Youth Revolution led to the birth of which organization?,"Indochinese Communist Party, Indochinese Communist Federation.","Indochinese Communist Party, Annam Communist Party, Indochinese Communist Federation.","Indochina Communist Party, Annam Communist Party.",All three of the above are wrong.,C,History 9,True
1965,The Geneva Agreement is an international legal document that recognizes:,The right to independence and freedom of the people of Indochina,Basic national rights of the people of Indochina.,The right to hold free general elections.,The right to move troops along the temporary military demarcation line.,B,History 9,True
1966,Where did the Indochinese Communist Party hold its second National Congress?,Hong Kong (China).,Macau (China).,Pac Bo (Cao Bang).,Chiem Hoa (Tuyen Quang).,D,History 9,True
1968,"After the defeat in Viet Bac and being forced to switch to a long-term fight, what policy did the French colonialists intensify?",Rely on reactionary Vietnamese traitors to fight against us.,Reinforcements from France were sent to gain the initiative.,"“Using Vietnamese to fight Vietnamese”, “Using war to feed war”.",Pacification expands the occupied area.,C,History 9,True
1969,Which two slogans did our Party use in the 1930-1931 revolutionary movement?,“National Independence” and “Land to the Tillers”.,"""Freedom and democracy"" and ""Food, clothing and peace"".",“Confiscation of land of the Vietnamese traitorous imperialists” and “Confiscation of land of feudal landlords”.,“Overthrow the empire” and “Abolish the throne”.,A,History 9,True
1971,What were the actions of the US in the South after signing the Paris Agreement?,Strictly implement the terms signed in the agreement.,Withdraw all US troops from South Vietnam.,Overcoming the consequences of war caused by the US in the South.,Help the Saigon government sabotage the Paris Agreement.,D,History 9,True
1972,On what date did Nguyen Ai Quoc leave to find a way to save the country?,5/6/1911,"June 5, 1911","May 7, 1911","May 8, 1911",B,History 9,True
1973,"While the US was conducting the second destructive war in the North, what type of war strategy did the US apply in the South?",One-sided war,Special War,Local war,Vietnamization of the war,D,History 9,True
1974,"In the 1950 Border Campaign, which battle was considered the most fierce and meaningful?",Dong Khe.,That Khe,Ambush the enemy on Highway 4.,Ambush the enemy fleeing from Cao Bang.,A,History 9,True
1976,Who was the first General Secretary of our Party?,Nguyen Ai Quoc,Tran Phu,Truong Chinh,Le Duan,B,History 9,True
1977,"What are the nature, purpose, content, and strategic guidelines of our people's war?",Total resistance.,Resistance relies on its own strength and seeks support from outside.,Must link with the resistance of Laos and Cambodia.,"Whole-people, comprehensive, long-term, self-reliant, seeking international support.",D,History 9,True
1978,"The Vietnamese revolution entered an extremely difficult period. The French colonialists and their feudal lackeys mercilessly implemented an extremely brutal policy of terror. Many communist soldiers and tens of thousands of patriots were arrested, killed or put to death. The Party's bases were gradually destroyed. Which period was the historical characteristic of the Vietnamese revolution?",1930-1931.,1931-1932.,1933-1934.,1934-1935,B,History 9,True
1979,What is the greatest significance of the August Revolution of 1945?,Overthrow the feudal throne that has reigned for centuries in our country.,End the domination of French colonialism and Japanese fascism over our country.,The Vietnamese people transformed from slaves to masters of the country.,Bring independence and freedom to the nation and encourage the world revolutionary movement.,D,History 9,True
1980,Who led the Saigon - Cho Lon workers' movement in 1920?,Ho Tung Mau,Le Hong Son.,Ton Duc Thang,Nguyen Thai Hoc.,C,History 9,True
1981,"What is the difference between ""Local War"" and ""Special War""?","Using American troops, allied troops and puppet troops, expanding the destructive war to the North, on a larger and more fierce scale.",Turn the South into a new type of colony.,New colonial war of aggression.,Using Saigon army and American advisors.,A,History 9,True
1984,How were geographical discoveries made in the 15th century?,Road.,Sea route.,Air route.,River route.,B,History 7,True
1985,The first public struggle in the cultural and ideological field of the bourgeoisie against the feudal regime was,Intellectual revolution after geographical discoveries.,Renaissance Cultural Movement in Western Europe.,Peasants' Wars in Western Europe.,"French ""Philosophy of Light"" movement.",B,History 7,True
1986,China became the most prosperous feudal state in Asia under the dynasty.,Han Dynasty.,Tang House.,Nguyen Dynasty.,Qing Dynasty.,B,History 7,True
1987,When was India unified?,"2,500 BC.",1 500 BC.,Late 3rd century BC.,Early 4th century.,D,History 7,True
1989,Residents living on Lao land are,Lao Thong people.,Laotian people.,Khmer people.,Lao Thong and Lao Lum people.,D,History 7,True
1991,Which idea does not correctly reflect Ngo Quyen's actions to restore national independence?,Abolish the feudal Northern governor position.,King.,Capital in Co Loa.,Name the country.,D,History 7,True
1992,Which of the following is not what Dinh Bo Linh did after completing the unification of the country?,Ascended the throne as Emperor (Dinh Tien Hoang).,Named the country Dai Co Viet and named the era Thai Binh.,Capital in Co Loa (Dong Anh - Hanoi).,Further consolidate the central and local governments.,C,History 7,True
1993,"In early 981, who led the Song army to invade our country?",O Ma Nhi.,Trieu Tiet.,Hong Thao.,Hou Ren Bao.,D,History 7,True
1994,"""The Rebellion of the Twelve Warlords"" was a historical event that occurred at the end of the",Corn.,Nail.,Lee.,Bare.,A,History 7,True
1996,What does the name of Lang Xang Kingdom mean?,Permanence.,Million elephants.,Great joy.,Million springs.,B,History 7,True
1998,How did metallurgy during the Gupta Dynasty develop to a high level?,Cast iron Buddha statue up to 2m high and rust-free.,Manufacture of jewelry and works of art carved on ivory.,"Woven soft and light fabrics, colorful and fade-resistant.",Cast stainless steel columns and bronze Buddha statues up to 2m high.,D,History 7,True
1999,Why did Confucianism become the official ideology protecting the feudal regime in China?,In accordance with Chinese customs.,Confucianism is more progressive and humane than other ideologies.,It created a system of hierarchy and etiquette to serve the domination of the feudal class.,Highly educational in training human qualities.,C,History 7,True
2000,Why is the Renaissance considered a “Great Progressive Revolution”?,Created a fundamental change in the perception of European people at that time.,"Opening up new lands, new roads and new peoples.","The world market is expanding, promoting the development of international maritime.",Promote the process of crisis and disintegration of capitalism in Europe.,A,History 7,True
2001,Which countries played a pioneering role in geographical discoveries?,"America, England","Spain, Portugal.","Italy, Portugal","English, French",B,History 7,True
2002,"In medieval Western Europe, feudal lords were formed from which forces?",Roman nobleman,Slaves are freed.,Military and clerical nobility.,Farmers were deprived of their land.,C,History 7,True
2003,Which oath shows the solidarity of the generals in the early days of the Lam Son uprising?,Dongguan,Binh Than,Like the Moon,Lung Nhai,D,History 7,True
2004,Why did our army have to capture Xuong Giang citadel before the enemy's reinforcements arrived?,To proactively welcome the enemy army,Sentences A and C are correct.,"Set up a defense line, not allowing the enemy to return to Dong Quan.","Do not let the enemy have a fortress, must cluster in the middle of the field",D,History 7,True
2005,When does the Dong Quan Oath take place?,"December 10, 1427","January 3, 1428","March 1, 1428","October 12, 1427",A,History 7,True
2006,What is the highlight of the Lam Son uprising situation in the period 1918 - 1923?,continuously besieged by the Ming army and had to retreat,organized strategic battles but failed,expand operations to the South,marched north and won many victories,A,History 7,True
2008,Who came up with the idea of moving the Lam Son insurgents' area of operation from Thanh Hoa to Nghe An?,Le Loi,. Nguyen Chich,Nguyen Trai,Tran Nguyen Han,C,History 7,True
2009,Which of the following is the most fundamental cause leading to the victory of the Lam Son uprising?,Support from all walks of life for the uprising,Lam Son insurgents had high technical spirit and fought bravely.,Our people's patriotism is highly promoted.,"The uprising commanders were talented and resourceful people, typically Le Loi and Nguyen Trai.",D,History 7,True
2010,"Who came up with the plan to liberate Nghe An, Tan Binh, and Thuan Hoa by the Lam Son army?",Le Lai.,Nguyen Trai,Nguyen Chich.,Le Loi,C,History 7,True
2012,Why did the Ming army accept Le Loi's proposal for temporary peace in 1423?,find a way to bribe Le Loi,Ming army forces in Dai Viet seriously weakened,The political situation of the Ming Dynasty was unstable.,The Ming army is concentrating its forces to attack Champa.,A,History 7,True
2013,"At what time did 150,000 Chinese reinforcements split into two groups and enter our country?",November 1427,December 1427,October 1427,October 1426,C,History 7,True
2014,Where did Vuong Thong decide to launch a counterattack against the main force of Lam Son's army?,"Cao Bo (Chuong My, Ha Tay)",Dongguan,Dao Dang (Hung Yen),All areas above,A,History 7,True
2015,"Choose the appropriate word to fill in the blank in the following sentence: “Hearing the news that the two reinforcements, Liu Sheng and Mu Qing, were completely destroyed, Vuong Thong in …. (1)… was extremely terrified, quickly asked for peace and accepted ….(2)…. to safely withdraw his troops back to his country.”",1) Dongguan 2) Unconditional surrender,1) Xuong Giang 2) Opening Dong Quan oath,1) Dong Quan 2) Dong Quan Oath Ceremony,1) Chi Lang 2) painful defeat,C,History 7,True
2016,Which of the following is not the reason for the victory of the Lam Son uprising?,"Our people have patriotism, indomitable will, and solidarity in fighting.","Have the right strategy, tactics, and talented command.",The Ming army encountered domestic difficulties and had to temporarily stop its war of aggression against Dai Viet.,Know how to rely on the people to develop from an uprising into a war of national liberation.,C,History 7,True
2017,Who was the person who disguised himself as Le Loi and broke the siege of the Ming army to save the king?,Le Lai,Le Ngan,Tran Nguyen Han,Le Sat,A,History 7,True
2018,Which general replaced Liu Sheng to command the Ming army to enter Dong Guan?,Luong Minh,Ly Khanh,Thoi Tu,Hoang Phuc,A,History 7,True
2019,"In the victory at Xuong Giang, how many enemies did the Lam Son army destroy?",Nearly 100 thousand,150 thousand,"Nearly 50,000",200 thousand,C,History 7,True
2020,What is the historical significance of the victory of the Lam Son uprising?,Opening a new period of development for the country with the Ming Dynasty submitting to our country.,"Ending 20 years of brutal feudal domination of the Ming Dynasty, opening a period of development for the country.",Make our country a regional power.,End the war and force the Ming Dynasty to pay war reparations to our country.,B,History 7,True
2021,The two biggest battles in the Lam Son uprising were:,Rach Gam - Xoai Mut battle and Bach Dang battle.,Battle of Tot Dong - Chuc Dong and Battle of Chi Lang - Xuong Giang.,Battle of Ha Hoi and Battle of Ngoc Hoi - Dong Da.,Battle of Tay Ket and Battle of Dong Bo Dau.,B,History 7,True
2022,Which decision of Le Loi created the first turning point for the Lam Son uprising?,"march to the North, expand the scope of operations",move troops to Nghe An,peace with the Ming army,"Tan Binh, Thuan Hoa",B,History 7,True
2023,"To quickly end the war in Europe and Asia-Pacific, what purpose did the three powers agree on?",Use atomic bombs to destroy Japanese fascists.,The Soviet Red Army quickly attacked the Nazi lair in Berlin.,Destroy German fascism and Japanese militarism.,All of the above.,C,History 12,True
2025,"Which of the following reasons caused the Soviet Union and Eastern European countries to ""stag"", experience crisis, and then collapse in the process of building socialism?",Because the construction of the socialist model is unscientific and inhumane.,Due to slow repair and change in response to changes in the world situation.,Due to the sabotage activities of anti-socialist forces.,All of the above.,D,History 12,True
2029,"Where did the US and its allies sign the agreement to establish the ""Southeast Asia Collective Defense Treaty Organization (SEATO)""?",In Jakarta (Indonesia).,In Manila (Philippines).,In Bangkok (Thailand).,In Washington (USA).,B,History 12,True
2030,The first important positive change of Southeast Asian countries after World War II was:,From colonies to independent countries,Many countries have quite fast development speed.,The birth of ASEAN,Increasingly expanding foreign relations and cooperation with East Asian countries and the EU.,A,History 12,True
2033,Which country put the first man on the Moon (July 1969)?,America,Japan,Soviet Union,China,A,History 12,True
2034,Which country started the second scientific and technological revolution?,Older brother,France,America,Japan,C,History 12,True
2035,"By the early 1970s, Western European countries had become",one of the three major economic and financial centers of the world.,"capitalist economic bloc, second in the world",the largest economic and political organization on the planet.,the world's major industrial and defense center.,A,History 12,True
2036,"By 1993, how many members did the European Union have?",2,25,18,15,D,History 12,True
2040,When did the Cold War officially end?,February 1989.,December 1991.,December 1989.,February 1988.,C,History 12,True
2042,February 1950 is associated with which notable event in China?,The Sino-Soviet Treaty of Alliance and Mutual Assistance was signed.,"China implements the ""three red flags"" policy.","China builds socialism in the direction of ""Great Leap Forward"".",China is in turmoil.,A,History 12,True
2043,"In 1919, which party organization did Nguyen Ai Quoc join?",French Socialist Party.,French Communist Party.,French Social Democratic Workers' Party.,Russian Social Democratic Labor Party.,A,History 12,True
2044,"In the following reasons, which is the subjective reason that made the open democratic patriotic movement (1919 - 1926) finally fail?",Bourgeois democratic ideology has become outdated and backward.,The French colonialists were still strong and capable of suppressing the movement.,"The national bourgeoisie, due to economic weakness, was politically cowardly; the petty bourgeoisie, due to unstable economic conditions, could not lead the revolutionary movement.",Because Marxism-Leninism has not been widely spread in Vietnam.,C,History 12,True
2046,"What objective reason did the Yen Bai uprising (February 9, 1930) fail?",The national bourgeoisie leads.,The Vietnamese Nationalist Party organization is still weak.,The uprising broke out completely passively.,The French Empire is still strong.,D,History 12,True
2047,"What proves that the first Platform drafted by Nguyen Ai Quoc was correct, creative, imbued with national character and humanity"":",Raise the national issue to the top.,Correctly assess the revolutionary potential of the classes in Vietnamese society.,"Seeing the possibility of a conditional alliance with the national bourgeoisie, the possibility of dividing and attracting a part of the peasantry and landlords in the national liberation revolution.",All three of the above are correct.,D,History 12,True
2049,What were the policies of the 7th Communist International Congress (July 1935)?,Establishment of Communist Party in each country.,Establishment of People's Fronts in countries.,Establishment of People's Fronts in capitalist countries.,Establishment of the People's Front in the colonies.,B,History 12,True
2050,The situation of the working class and petty bourgeoisie in Vietnam in the years 1936-1939?,"Low wages, unemployment threatens,","Suffering from high rents and heavy taxes, life is extremely precarious.",French capitalism sought to oppress and hinder all business activities.,All of the above.,A,History 12,True
2051,"What is the similarity in meaning between the three events: Bac Son uprising, Nam Ky uprising and Do Luong mutiny?",The revolutionary armed forces were born and developed from three uprisings.,"Dealing a fatal blow to French colonialism and sternly warning Japanese fascism, the first shots signaled a new revolutionary climax.",Leave behind lessons learned in building armed uprising forces.,Open a new era of struggle.,B,History 12,True
2053,Why did we switch from a strategy of fighting the French to a strategy of appeasement and concessions to the French?,Because France was backed by Britain.,Because we avoid the situation of dealing with many enemies at once.,Because France and Chiang Kai-shek have joined hands to fight against us.,Because France was helped by reactionary lackeys.,C,History 12,True
2054,"In November 1946, who held the position of Minister of Foreign Affairs in the Government of the Democratic Republic of Vietnam?",Ho Chi Minh,Nguyen Tuong Tam.,Le Van Hien,Pham Van Dong.,A,History 12,True
2055,When did our government reform education?,July 1950.,May 1950.,September 1949.,September 1950.,A,History 12,True
2056,What was the most important reason leading to the victory of both the Viet Bac campaign in the fall and winter of 1947 and the Border campaign in the fall and winter of 1950?,The fighting spirit of our army and people.,The talented and wise leadership of the Party headed by Ho Chi Minh.,Due to the enthusiastic help of socialist countries around the world.,Because the resistance against the French was correct.,B,History 12,True
2058,"In order to nurture the people, first of all the farmers, in early 19583, what policy did the Party and Government have?",Reform the tax system.,"Labor production movement, practice thrift.","Build finance, banking, commerce.",Mobilize the masses to thoroughly reduce rent and reform land.,D,History 12,True
2060,When did the Geneva Conference on ending the war and restoring peace in Indochina meet?,"April 26, 1954.","May 1, 1954.","May 7, 1954.","March 8, 1954.",D,History 12,True
2061,Which US-Diem policy demonstrated a one-sided war strategy in the South?,Deposed Bao Dai and installed Ngo Dinh Diem as President.,Eliminate all French troops to monopolize the South.,"Launched the campaign ""Denounce communists"", ""Destroy communists"", enforced ""Law 10-59"", and dragged the guillotine throughout the South.","Implement the policies of ""Anti-communism"", ""Anti-feud"", ""Decommunism"".",C,History 12,True
2062,"To implement the slogan ""Land to the tiller"", what policy has our Party had?",Liberation of the peasant class.,Carry out land reform.,Economic recovery.,Socialist transformation.,B,History 12,True
2063,"Everything that happened in the past, existing objectively and independently of human subjective will, is called",historical reality,historical awareness,future events,historical science,A,History 10,True
2064,The object of study of History is,planets in the solar system,species on earth,the entire human past,Earth formation process,C,History 10,True
2065,History is understood as,what happened in the past,what is happening now,science of predicting the future,what will happen in the future,A,History 10,True
2066,History is,science that studies the human past,all that happened in the past,all that has happened and is happening in the present,the science that studies the history of species,A,History 10,True
2067,Which of the following does not include the concept of history?,What happened in the past of human society,Are stories about the past or works that record the past,Is a person's imagination related to an event that is about to happen.,Is a science that studies the human past.,C,History 10,True
2068,Collecting historical data is understood as,"the process of collecting and searching for reference materials about the research subject, learning about history","the process of surveying, searching, collecting and gathering information related to the subject of study, research, and historical research",a mouth of the historical appraisal process,final stage of historical research,B,History 10,True
2069,Why study and explore history for life?,"Understand experience, draw valuable historical lessons from other countries, avoid mistakes","Integration with other communities, countries in the region and the world","Creative inspiration in the cultural industry, tourism development, etc. brings new career opportunities",All of the above,D,History 10,True
2070,History provides for man,"Understanding the past, present and future",Information about the past of humans and human society,Information about historical events and historical figures,"Origin, ancestry of oneself, family, lineage",B,History 10,True
2071,Which of the following is one of the roles of historical knowledge in human life?,Provide useful information about the past to humans,Tell about the growth and development of living species,Help people change historical reality and historical perception,Directly transform people's social life,A,History 10,True
2072,It is necessary to study and explore history because studying history helps us,predict the laws of development of all things on Earth,"understand the origin of oneself, family, homeland",change events and phenomena that happened in the past,create and enrich historical reality,B,History 10,True
2073,What is the relationship between history and the social sciences and humanities?,Only History influences the sciences,Close relationship and two-way interaction,Always separate and unrelated,"One-way relationship, no interaction",B,History 10,True
2075,"Why must historians use knowledge, research methods, and achievements of many social sciences to study history?","To perceive history more accurately, fully and deeply",To make history more interesting,To increase reliability and prestige,To find out historical truth,A,History 10,True
2076,"Information from social sciences and humanities, natural sciences and technology (the birth, development process, characteristics of the industry,...) can help History perform which of the following tasks?",Record the contribution of each sector to economic development,Providing operational information for the History and Ethnology industry,Restore and describe the history of formation and development of each industry,Creating change for each industry to integrate internationally,A,History 10,True
2077,History has a particularly close relationship with which of the following social sciences and humanities?,"Psychology, Linguistics, Anthropology, Political Science","Philosophy, Human Geography, Cultural Studies, Social Work","Political Science, Psychology, Linguistics, Sociology","Archaeology, Anthropology, Literature, Human Geography, Philosophy",D,History 10,True
2078,"History provides knowledge, ideas and creative inspiration to a number of cultural industries through",historical sources,historical perspective,historical research methods,historical presentation method,A,History 10,True
2079,What characteristics must heritage conservation activities ensure?,"Ensuring the original state, ""Original elements constituting the monument"", ""authenticity"", ""integrity"", ""outstanding value""","Ensuring the original state, ""outstanding value"", that historical-cultural relics inherently possess",Artifacts and relics need to be renewed and restored so that they do not fade away or deteriorate.,Ensure that the relics are intact and have not been restored.,A,History 10,True
2080,What is the core element in heritage conservation?,Determine the actual value of the heritage,Promoting the value of cultural heritage,Ensuring the integrity of the heritage,Regular restoration and rehabilitation of heritage,C,History 10,True
2081,Which of the following cultural industries requires the use of historical materials in its development?,Publish,Advertisement,Handicrafts,Cultural tourism,D,History 10,True
2082,One of the roles of tourism in the preservation of historical relics and cultural heritage is,provide full knowledge about historical relics and cultural heritage,promote the protection of cultural heritage and historical relics of countries,promote cultural exchange between countries and regions in the world,help people enjoy the value of natural and cultural heritage,B,History 10,True
2085,The two great civilizations in the ancient West were,Greek and Roman,India and China,Egypt and Mesopotamia,Roman and Arab,A,History 10,True
2086,The main economic activity of the ancient Egyptians was,sea trade,agricultural production,handicraft production,road trade,B,History 10,True
2087,Choose the appropriate word to fill in the blank to complete the following concept.,Civilized,Letter,Cultural relics,Culture,A,History 10,True
2089,Where did the world's first civilizations form?,China,India,"West Asia, Northeast Africa","Greek, Roman",C,History 10,True
2090,Which ethnic group was the first owner of Chinese civilization?,Chinese,Zhuang people,Manchu,Mongol,A,History 10,True
2091,What is an important feature of ancient and medieval Indian society?,The Central Asian Aryans make up the majority of society.,Society is divided into many different classes and strata.,The long-term existence and profound influence of the caste system,racial discrimination is very deep,C,History 10,True
2092,Which religion did not originate in India?,Islam,Buddhism,Hinduism,Brahmanism,A,History 10,True
2093,Which of the following types of writing did the ancient Romans create?,Chinese characters,Cuneiform,Sanskrit,Latin,D,History 10,True
2094,What is the significance of the scientific and technical achievements of the ancient Greeks and Romans?,Is the origin of ancient Eastern scientific and technological achievements,Bringing humanity into the era of industrialization and modernization,Laying the foundation for the development of world science and technology in the next stage,One of the foundations leading to the birth of ancient Western civilization,C,History 10,True
2095,The official religion of the Roman Empire in ancient times (from the beginning of the 4th century) was,Buddhism,Christianity,Islam,Hinduism,B,History 10,True
2096,The Renaissance Cultural Movement (15th - 17th century) first took place in which country?,Older brother,Italy,Spain,France,B,History 10,True
2097,Who is the author of the play Romeo and Juliet?,William Shakespeare,Dante Alighieri,Francois Rabelai,Michel Cervantes,A,History 10,True
2098,Which of the following statements does not correctly reflect the reasons that prompted Britain to carry out the First Industrial Revolution early?,The bourgeois revolution broke out early and succeeded.,Has large capital and labor accumulation,Applying technical advances in production,Pioneer in great geographical discoveries,D,History 10,True
2099,What is one significance of the invention of the steam engine?,"Create new sources of motivation, increase human muscle labor",Manual labor has been replaced by machines.,Make labor productivity increase day by day,Changing the face of British society,C,History 10,True
2101,Who invented the spinning machine and named it after his daughter?,James Watt,James Hargreaves,Et-mon Cat-ri,Xli-phen-son,B,History 10,True
2102,"By the mid-nineteenth century, England was known as","""The country with the most developed industry in the world""",“Modern industrial country”,“Pioneer in industry”,“The World's Factory”,D,History 10,True
2106,Which of the following types of writing was created based on Chinese characters?,Ancient Cham script,Ancient Khmer script,Ancient Burmese script,Nom script,D,History 10,True
2107,"Before coming into contact with Indian and Chinese civilizations, the people of Southeast Asia had already established a civilization.",rice farming,maritime trade,road trade,bronze casting craft,A,History 10,True
2110,The first country to put a man on the moon was,Older brother,France,Virtue,America,D,History 10,True
2111,The emergence of which of the following theories laid the foundation for the inventions of the Third Industrial Revolution?,Relativity,Theory of universal attraction,Genetic theory,Cell theory,A,History 10,True
2112,Which of the following is the significance of the emergence of the internet?,Makes moving between countries easy,Makes connecting and sharing information easy and effective,Ensure absolute security in information storage,Eliminate the development gap between countries in the world,B,History 10,True
2113,What climate zone does most of Southeast Asia lie in?,Cold zone,Temperate,Subtropical Monsoon,Hot and humid monsoon,D,History 10,True
2115,Buddhism was introduced to Southeast Asia from which countries?,China and India,Arab and Egyptian,Persia and India,China and Japan,A,History 10,True
2116,How was Islam introduced into Southeast Asia?,The path of religious imposition,Sea trade route,The path of expansion and invasion,Road trade route,B,History 10,True
2118,Which of the following does not correctly reflect the natural basis leading to the formation of Van Lang - Au Lac civilization?,Tropical monsoon climate,There are many mineral deposits.,Has a dense river system,"Arid land, difficult to cultivate",D,History 10,True
2119,The main food of Van Lang - Au Lac residents is,fish,vegetable,meat,rice,D,History 10,True
2120,Van Lang - Au Lac civilization originated from which of the following cultures?,Phung Nguyen culture,Oc Eo Culture,Sa Huynh culture,Culture of Peace,A,History 10,True
2121,The main economic activity of the Van Lang - Au Lac residents was,rice farming,large livestock,fishing,handmade products,A,History 10,True
2122,The head of the Van Lang State was,King An Duong,Hung Vuong,lost general,monkey,B,History 10,True
2123,Champa civilization was born on the basis of absorbing the achievements of which of the following civilizations?,Chinese civilization,Indian civilization,Egyptian civilization,Mesopotamian civilization,B,History 10,True
2124,Who is responsible for founding the Champa state?,Thuc Phan,Lam Statue,Lien Area,Lam Ap,C,History 10,True
2125,The ancient Cham script of the Champa people was created on the basis of which script?,Chinese characters,Nom script,Sanskrit,Latin,C,History 10,True
2126,One of the indigenous beliefs of the Cham people is,Genital worship,worship Buddha,worship Thanh Hoang,worship Allah,A,History 10,True
2128,One of the foundations of Dai Viet civilization is,economic imposition on neighboring countries,the process of invasion and territorial expansion abroad,complete absorption of the achievements of ancient Greek civilization,Inheritance of the achievements of Van Lang - Au Lac civilization,D,History 10,True
2129,Which of the following contents does not correctly reflect the agricultural development policies of Vietnamese feudal dynasties?,Focus on reclaiming and expanding cultivated area,Establish the position of Ha dike envoy to take care of dike and flood control.,Organize the Tich Dien festival to encourage production,Abolish private land ownership throughout the country,D,History 10,True
2130,The busiest trading center of Dai Viet in the 11th - 15th centuries was,Pho Hien,Hoi An,Thanh Ha,Thang Long,D,History 10,True
2132,The Hong Duc Law was enacted under which dynasty?,Lee,Bare,Le So,Nguyen,C,History 10,True
2133,In which dynasty did Dai Viet's education and examination system begin?,Ly Dynasty,Tran Dynasty,Early Le Dynasty,Nguyen Dynasty,A,History 10,True
2135,Dai Viet literature in the 10th - 15th centuries does not include which of the following genres?,Folklore,Nom literature,Sanskrit literature,Chinese literature,C,History 10,True
2136,The agency responsible for recording the history of the feudal state of the Nguyen Dynasty was,National History Museum,Interior Ministry,Academy,Censorate,A,History 10,True
2143,"Based on the differences in shape and orientation of orbitals in atoms, orbitals are divided into how many types?",2,3,4,5,C,Chemistry 10,True
2145,What shape is the p orbital?,Circle,Globular,Oval,Floating figure 8.,D,Chemistry 10,True
2146,Which factor most affects the chemical properties of group A elements?,Atomic electron configuration,Block number,Atomic mass,Number of neutrons.,A,Chemistry 10,True
2147,Atomic nucleus is composed of:,Neutrons and electrons,Protons and electrons,Protons and neutrons,Electron.,C,Chemistry 10,True
2148,"When arranged in order of increasing nuclear charge, which of the following quantities does not change periodically?",Atomic radius,Number of neutrons,Metallic and non-metallic properties,Electronegativity.,B,Chemistry 10,True
2149,Ionic compounds are usually formed between,Typical metals and typical nonmetals,Two metals,Two non-metals,Weak metals and weak nonmetals,A,Chemistry 10,True
2151,"If an orbital has 2 electrons, how is it represented in the orbital box?",Represented by two up arrows,Represented by two down arrows,"Represented by two arrows in opposite directions, the down arrow is written first.","Represented by two arrows in opposite directions, the up arrow is written first.",D,Chemistry 10,True
2152,Which element has the hydroxide formula (with the highest valence) $R(OH)_3$?,Aluminium(Al),Sodium (Na),Sulfur (S),Nitrogen (N).,A,Chemistry 10,True
2153,Which of the following statements is false?,A chemical element is a collection of atoms that have the same number of neutrons.,"In an atom, the number of nuclear charge units is equal to the number of electrons in the atomic shell.",Atoms of the same chemical element have similar chemical properties.,The atomic number of a chemical element and the mass number are the basic characteristics of an atom.,A,Chemistry 10,True
2154,Which of the following statements is false?,The properties of elements and their compounds vary periodically with increasing nuclear charge.,The chemical properties of elements can be predicted based on their position in the periodic table.,The properties of elements and their compounds vary periodically with decreasing mass.,The chemical properties of elements can be predicted based on their electron configuration in the periodic table.,C,Chemistry 10,True
2155,Which of the following particles is located in the atomic shell?,Neutron,Alpha particle,Proton,Electron,D,Chemistry 10,True
2157,"When an oxygen atom gains 2 electrons, the resulting ion has the electron configuration of which element's atom?",Helium (He),Neon (Ne),Argon (Ar),Krypton (Kr).,B,Chemistry 10,True
2158,All atoms with a nuclear charge of 8 belong to which element?,Carbon,Magnesium,Aluminum,Oxygen.,D,Chemistry 10,True
2160,An atom has 40 protons. What is the number of electrons in that atom?,40,41,42,43,A,Chemistry 10,True
