Question,A,B,C,D,Answer,Grade
 What nationality is the writer Aimatov?, Russia, Portugal, Kyrgyzstan, Finland, A, Literature 8
 Which is not a work of writer Ai-ma-top?, Young maple tree covered in red scarf, Little Red Riding Hood, The first teacher, The White Ship, C, Literature 8
" In the excerpt Two Maple Trees, the image of two maple trees appearing before everyone's eyes is compared to which image by the author?", Like invisible sparks., The lighthouses are located on mountains., Two giants., Like a tidal wave rising and crashing onto the sand., A, Literature 8
" In the excerpt Two Maple Trees, what are the children sitting huddled on the branches thinking about?", Don't think about anything., Is this the end of the world or is there another world beyond?, When will they be able to reach the rivers that sparkle on the horizon like thin silver threads?," After leaving school, they will go to school on more spacious and beautiful district roads.", B, Literature 8
 The text Two Maple Trees is taken from which work?, Short story The White Ship, Short story The young maple tree with a red scarf, The First Teacher Story," A, B, C are all wrong", B, Literature 8
" In Two Maple Trees, what does the narrator say he does for a living?", Journalist, Artist, Musician, Writer, A, Literature 8
"In the narrative of the narrator ""we"", the events told and described correspond to which period of time in the narrator's life?", Once the narrator returned from a business trip.," In the last year of school, before the summer vacation begins", As the narrator rides the train through the village, When the narrator returned from school to Ku-ku-reu village., A, Literature 8
" In the excerpt Two Maple Trees, what is the mystery of the two maple trees that the author discovers?", They are two unusual maple trees with very mysterious origins., There was once a soldier who sacrificed his life for the cause of fighting the enemy to protect his homeland under a tree., Under the two maple trees are buried pieces of the blue magic mirror.," They were simply standing on a windy hill, responding to any slight movement of the air.", A, Literature 8
" In the excerpt Two Maple Trees, when dark clouds came with a storm breaking branches and stripping leaves, the two maple trees were compared to what image?", Like an invisible fire., Lighthouses on the mountain., Like a tidal wave., Like a blazing fire., A, Literature 8
" In the excerpt Two maple trees, where is Ku-ku-reu village located?", A. Halfway up the cliff of the Black Mountains.,"B. In the middle of the valley of golden soil, vast grasslands."," C. On the riverbank, the soil is fertile due to alluvium.","D. At the foot of the mountain, on a large plateau.", A, Literature 8
 Which comment best describes the reason why the two maple trees occupy such an important position and deeply move the narrator?, Two maple trees are associated with the narrator's old memories of his school days., Two maple trees are very touching witnesses of Mr. Duy-sen and the little girl An-tu-nai nearly forty years ago., Two maple trees are the signs for the narrator to recognize his village of Ku-ru-reu every time he comes back from a long trip., Combine A and B, B, Literature 8
 How many parts can the text be divided into?, 3, 4, 5, 2, B, Literature 8
 What does the maple tree symbolize?, Is the signal of the village, Is a symbol of the homeland., showing the pride of the villagers of Ku-ku-reu about the two maple trees., All are correct, D, Literature 8
 The image of the maple tree that appears before everyone's eyes is compared to which image by the author?, Like two giants, Like invisible sparks, Like lighthouses on the mountain, Like a tidal wave rising and crashing onto the sand, A, Literature 8
Which of the following reduplicative words is not used to describe the beauty and spirit of the two maple trees?, whisper, whisper,whisper, rustle, D, Literature 8
 Which of the following works is not by the writer Ai-ma-top?, The first teacher, Don Quixote, Young maple tree covered in red scarf, The White Ship, A, Literature 8
 In what circumstances was the above excerpt by author Ai-ma-top written?, The author lives in the village and tells stories about his village., The author retells a story told by someone else., The author saw two maple trees and remembered the time when he was still in school.," The author is a character in the story, that character recalls the past with many childhood memories including the beloved school.", D, Literature 8
" Which rhetorical device did the author use in the sentence: ""Every time we cheered and whistled loudly as we ran up the hill, the two giant maple trees swayed as if to invite us to their cool shade and the gentle rustling of leaves""?", Metonymy, Impersonal, Metaphor, Compare, A, Literature 8
"What is the content of the following passage? Our village of Kukureu lies at the foot of the mountains, on a wide plateau with gullies rushing down from many places. Below our village is the Yellow Valley, the vast Kazakh steppe between the branches of the Black Mountains and the railway that forms a dark strip across the plain, running far to the western horizon. (Two Maple Trees)", Describe the location and scenery of Ku-ku-reu village., Tell about famous places around Ku-ku-reu village., Describes the unique beauty that only Ku-ku-reu village has.," (1), (2), (3) are all wrong.", A, Literature 8
" In the sentence: ""Every time we ran up the hill cheering and whistling, the two giant maple trees swayed as if to invite us to their cool shade and gentle rustling leaves"" (Two Maple Trees), the two maple trees are described as being like people. What words say that?","A. inviting, gentle."," B. run, sway, swing.", C. cheering and whistling loudly.," D. cool, rustling.", A, Literature 8
"In the excerpt Two Maple Trees, why are the hill with two maple trees called Duysen school by the people of Ku-ku-reu village?", To commemorate the hero who sacrificed for the revolutionary cause.," Because Duysen was the chairman of the farm, who contributed a lot to the construction of the school.", Because teacher Duysen opened a school on the hill and planted two maple trees there., Because of a coincidence., C, Literature 8
 Which feature of the two maple trees left the most impression on the author?, The two maple trees are of incomparable beauty., Two maple trees have voices and souls., Two maple trees are associated with the author's childhood and are like a fragment of the green magic mirror., Two maple trees are symbols of the countryside., C, Literature 8
" The loneliest thing in all the world is a soul that is making ready to go on its mysterious, distant journey. What figure of speech is used?", Wordplay, Metaphor, Exaggerate, understatement, B, Literature 8
 What are the main ideas of narrative essay combined with description and expression?, Is the writer's feeling., Is the inner development of the characters., Mainly the main events., Are the thoughts of the characters., C, Literature 8
 What are the core elements of narrative writing?, The incident, Figure, Both A and B are correct., Both A and B are wrong., C, Literature 8
 Which sentence belongs in the Introduction section to outline the story Lao Hac?," A. 1, 3"," B. 1, 5"," C. 5, 1"," D. 3, 1", A, Literature 8
 Which sentence belongs in the Conclusion section to outline the story Lao Hac?, A. 8, B. 9," C. 8, 9"," D. 9, 8", C, Literature 8
 Rearrange the following sentences in a logical order to get the outline of the Body of the excerpt In Mother's Heart by Nguyen Hong.," A. 5, 2, 4, 3, 1"," B. 5, 2, 1, 3, 4"," C. 2, 5, 4, 1, 3"," D. 5, 2, 4, 1, 3", D, Literature 8
 How many parts does the outline of a narrative essay include?, 1, 2, 3, 4, B, Literature 8
The above essay can be divided into several parts., 1, 2, 3, 4, C, Literature 8
 Who is the narrator?," Page, first person narrative"," Trinh, first person narrative"," Page, third person narrative"," Trinh, third person narrative", B, Literature 8
 What are the core elements of narrative writing?, The incident, Figure, A and B are both correct., A and B are both wrong., A, Literature 8
 What should the conclusion be about?, Key events and details as the story progresses., List the highlights of the story., Comment and evaluate the author.," State the character's feelings, or a very special and meaningful detail.", D, Literature 8
 What is an outline for a narrative essay?, Is to clearly state the main content of the story that you will write and tell., Is a detailed content analysis for each part of your analysis., Is to summarize the main content of a work., Is to express personal opinion about a detail in the work., A, Literature 8
 Which topic is the following outline suitable for?," A. After that night, Ms. Dau met a revolutionary cadre and was enlightened. During the August 1945 General Uprising, Ms. Dau led a group of farmers to seize the district government, destroy the Japanese rice warehouse and distribute it to the poor.","B. The resistance war against French colonialism broke out. Although living behind enemy lines, Chi Dau still secretly hid cadres, many times covering the hatches for the cadres.","C. Chi Dau, weak and helpless, could not resist the times and closed her eyes, letting her fate drift. The sky outside was as dark as her future.",D. Chi Dau rose up but received a tragic ending. She could not even keep her own life., A, Literature 8
" With the topic: The yellow bird locked in a cage tells its own story, which of the following ideas is not appropriate?", The free life of the oriole before being caged, The life and thoughts of a caged oriole., Imagining the future, Choose third person narrative, A, Literature 8
" According to the traditional structural model of narrative works (presentation - introduction - development - climax - conclusion), where is the introduction located?", Introduction, Body, Conclusion, Can be in both the introduction and the body, D, Literature 8
" When writing about the story: A good student made a mistake but promptly woke up and rose up, which of the following ideas is not the main idea of the story?", Good qualities of students.," Being lured by bad people, making mistakes."," Painful, tormented thoughts.", The struggle to rise., B, Literature 8
 Question 5: Which sentences contain descriptive elements?," A. Sentences (1), (3), (4), (9), (10), (12), (13)"," B. Sentences (1), (3), (4), (9), (10), (12), (14)"," C. Sentences (1), (2), (3), (4), (9), (10), (12)"," D. Sentences (3), (9), (10)", A, Literature 8
 Arrange the following ideas in logical order about the process of formulating ideas for a narrative essay:, – 4 – 3 – 2, 1 – 2 – 3 – 4, 3 – 4 – 1 – 2, 4 – 3 – 1 – 2, B, Literature 8
Which comment best describes the effect of hyperbole in the following two verses?, Emphasizing Uncle Ho's immense love, Emphasize the great intelligence of Uncle Ho., Emphasize Uncle Ho's bravery., Emphasize Uncle Ho's broad knowledge., A, Literature 8
 Which of the following sentences does not use hyperbole?," Marry her, he planned to lead the elephant - He was afraid of the national ban so the elephant did not discuss...", People are flowers of the earth.," If husband and wife are in harmony, they can drain the East Sea."," It is said that his parents are kind - They can bite a grain of rice without breaking it, but bite a coin and it breaks into four.", B, Literature 8
 Which idioms and proverbs use hyperbole?, Eat apples and fence fig trees, Eat big talk big," When you eat the fruit, remember the one who planted the tree."," Eat like a dragon, talk like a dragon", B, Literature 8
" Give the following examples: hard feet, soft rocks, black as a burnt pillar, moving mountains and filling seas, hanging on a thread, green as a leaf, skinny as a stick, shaking the sky and earth... Which of the following comments best describes the above examples?", Are idioms that use hyperbole., These are proverbs that use comparison., These are idioms that use comparison., Are proverbs that use hyperbole., B, Literature 8
 What is hyperbole?, Is a rhetorical device that reduces or weakens a certain positive characteristic of a subject being talked about., It is a way of arranging to compare two things or phenomena that have similar relationships.," Is a rhetorical device that exaggerates the extent, scale, and nature of things and phenomena.", Is a method of transferring a name from one object to another., A, Literature 8
 What should be noted when using hyperbole?, Communication object, Communication situation, Communication situation, All of the above, D, Literature 8
 In which text is the understatement used?, Narrative text, Descriptive text, Administrative and scientific documents, Expressive text, C, Literature 8
 What rhetorical device is hyperbole often used with?, Compare, Metaphor, Impersonal," A, B, C are all correct", D, Literature 8
 Which statement best describes the effect of hyperbole?, To evoke a realistic and specific image of the object or phenomenon mentioned in the sentence.," To express the speaker's attitude, feelings, emotions"," To let the listener appreciate the beauty hidden in the emotional, discreet way of speaking."," To emphasize, impress and increase the expressiveness of the object or phenomenon mentioned in the sentence.", D, Literature 8
 What is the effect of the hyperbole in the following passage?, Highlights Dam San's strength and dexterity while dancing with his shield., Highlighting the physical beauty of Dam San while dancing with the shield, Highlighting the power of the weapon in Dam San's hand," A, B, C are all wrong", A, Literature 8
 Which of the following proverbs uses hyperbole?," Not greedy for three-story tiled house, greedy for one kind mother and father","The smile is like a Ngau flower, the head scarf is like a lotus flower.", Be a man and be worthy of being a man. Bend over and lean on your knees to carry two sesame seeds.," Hey girl, bailing water by the roadside, why do you scoop up the golden moonlight and pour it away?", A, Literature 8
Which of the following statements best describes the above examples?, These are folk songs that use comparison., Are folk songs that use hyperbole,Are folk songs that use personification,Are folk songs that use metaphors, A, Literature 8
 How is hyperbole understood?, Is a rhetorical device that reduces or weakens a certain positive characteristic of a subject being talked about., It is a way of arranging to compare two things or phenomena that have similar relationships.," Is a rhetorical device that exaggerates the extent, scale, and nature of things and phenomena.", Is a method of transferring a name from one object to another., A, Literature 8
" Fill in the blanks with the following idioms to create hyperbole: In a place like this, grass can't grow, let alone grow vegetables or eggplants.", bruised liver and intestines, dog eats stone chicken eats gravel, expand, cross-legged, B, Literature 8
 Which of the following proverbs uses hyperbole?, Not greedy for a three-story tiled house/ Greedy for a kind mother and father, The smile is like a plum blossom/ The head scarf is like a lotus blossom., Be a man and be worthy of being a man / Bend over and carry two sesame seeds on your knees.," Hey girl, scooping water by the roadside/ Why do you scoop up the golden moonlight and pour it away?", A, Literature 8
 What does the bold hyperbole in the following stanza refer to?,Emphasize the characteristics of May nights and October days to help farmers know the time and adjust their work appropriately., Emphasize time, Emphasize the sleepless months, Emphasize that October has many unpleasant events, A, Literature 8
" Which line best describes the value of the texts The Broken Dike, Childhood Days, and The Old Man?", Real value, Humanitarian values, Both A and B are correct, Both A and B are wrong, C, Literature 8
" What feelings did the authors Nguyen Hong, Ngo Tat To, and Nam Cao have for their characters?", Praise and respect good feelings and good qualities of people., Pity and sympathy for the unfortunate fate of people with good natures, Both A and B are correct, Both A and B are wrong, C, Literature 8
" The comment ""Using the memoir genre with sincere words, lyrical and passionate tone"" corresponds to the artistic characteristics of which text?", I go to school,In mother's heart, The last straw, Old Hac, B, Literature 8
"Fill in the missing word for the following sentence: With a vivid realistic pen, ... exposed the cruel and inhuman face of the feudal colonial society at that time; that society pushed the farmers into extremely miserable situations, forcing them to risk their lives to resist.", Old Hac, Ngo Tat To, The last straw, Excerpt In Mother's Heart, B, Literature 8
 Which of the following statements corresponds to the main content of the text?, I go to school,In mother's heart, The last straw, Old Hac, D, Literature 8
" What do the works ""The Last Supper"", ""Childhood"", and ""The Old Man"" have in common?"," Both are narrative texts, both are classified as modern memoirs (written in the period 1930-1945)."," Both have the same theme of people and contemporary life, the author deeply describes the fate of people who are crushed and miserable.", Full of humanitarian spirit," A, B, C are all correct", D, Literature 8
 What does the word illusion mean in the above passage?," The image looks real, but it is not real."," An optical phenomenon that occurs in hot countries, causing the appearance of water in front of the eyes, often with upside-down images of distant objects."," The image of something that is not real but seems real; here we are talking about a special phenomenon that can only be seen in the desert: people walking in the desert see in the distance the image of trees reflecting on the water surface, thinking there is a lake there, but in fact, it is just an illusion created by the hot air layer in the desert.", Sentences A and B are correct., C, Literature 8
 Which line best describes the artistic characteristics of the short story The Old Man?, The art of building unique story situations and describing character psychology in a unique way," Realistic description, typical comparison, passionate and touching writing"," Using the innocent, pure perspective of children"," A, B and C are all wrong", A, Literature 8
 Who is the usurper in the passage?, The teacher in the work Lao Hac, The character of Lao Hac in the short story of the same name, The teacher's wife in the work Lao Hac, Another character, A, Literature 8
 Which text uses the memoir genre?, I go to school,In mother's heart, The last straw, Old Hac, D, Literature 8
" Choose the correct answer about the genre and year of publication of the text ""I go to school"" by author Thanh Tinh?", Diary-1937.,Novel - 1938., Novel - 1939., Short story - 1941., A, Literature 8
"In the works below, which work does not mention the image of the mother?", Nguyen Hong's childhood days., Lights Out by Ngo Tat To., The Old Man by Nam Cao, I go to Thanh Tinh school., C, Literature 8
 Which excerpt cleverly shows the cruel and ruthless face of the feudal colonialists and the fierce resistance of the farmers?, The Last straw by Ngo Tat To., Nguyen Hong's childhood days., The Last Leaf by O Henry., The Old Man by Nam Cao., A, Literature 8
" What is the outstanding artistic feature in the short story ""The Old Man"" by Nam Cao?", The story is rich in poetry and subtle emotions., Portraying character and depicting real life vividly and attractively.,"Describing the character's psychology deeply, the storytelling style is natural but full of philosophy and lyricism."," The narrative text is sincere, lyrical and passionate.", C, Literature 8
 What is the content and ideological value of pre-1945 realistic literary works?, Expressive value and realistic value., Human values and realistic values., Expressive value and critical value., Critical value and humane value., B, Literature 8
 Which of the following works captures the excitement and innocent memories of a child on his first day of school?, Nguyen Hong's childhood days., I go to Thanh Tinh school., Two maple trees of Aimatov., The Last Leaf by O Henry., A, Literature 8
" Which of the following works does not show the miserable, painful life and good qualities of Vietnamese farmers under French colonialism?", A. Turn off the lights by Ngo Tat To., B. The Old Man by Nam Cao., C. Nguyen Hong's childhood days.," D. All (1), (2), (3) are correct.", D, Literature 8
 Which is not a Vietnamese memoir text that has been studied?,In mother's heart, The Little Match Girl, Old Hac, The last straw, D, Literature 8
"What is the complete difference between the texts In Mother's Heart, When Water Breaks the Bank, and Lao Hac?", Character fate, Writer's feelings, Art in writing, Category, D, Literature 8
 Which of the following statements corresponds to the main content of the text?, I go to school,In mother's heart, The last straw, Old Hac, D, Literature 8
"Fill in the missing word for the following sentence: With a vivid realistic pen, ... exposed the cruel and inhuman face of the feudal colonial society at that time; that society pushed the farmers into extremely miserable situations, forcing them to risk their lives to resist.", Old Hac, I go to school, The last straw,In mother's heart, A, Literature 8
 Which statement is most correct about the solutions to limit the use of plastic packaging that the writer gives in the article?, Not suitable for human development level, Beyond human capacity, Not convincing and feasible, Convincing and feasible, D, Literature 8
 Which idea expresses the author's greatest purpose in writing the text Information about Earth Day 2000?, So that people do not use plastic packaging anymore., To let people see that the Earth is seriously polluted, To contribute to the promotion and protection of the Earth's environment, To contribute to changing people's habit of using plastic packaging, C, Literature 8
 Which of the following statements is false?, Plastic packaging is not biodegradable., The text gives us the message: Use one day of your life to say no to plastic packaging.," Used plastic bags are waste. But this type of waste is used to contain other types of waste, making them more difficult to decompose and creating toxic substances: NH3, CH4, H2S.", The document points out the serious harm of using plastic packaging., A, Literature 8
 What method of expression does the Informational Text on Earth Day 2000 mainly use?, Narrative, Discussion, Explanation, Expression, C, Literature 8
 Which word or phrase is considered a means of linking the contents of section 2 in the text Information about Earth Day 2000?, Let's, So, As we know," A, B, C are all correct", B, Literature 8
 Which statement does not mention the harmful effects of plastic packaging on the natural environment?, Plastic packaging mixed into the soil hinders the growth of plants surrounded by it.," Plastic packaging thrown into drains clogs wastewater pipes, increasing the risk of urban flooding during the rainy season."," Colored plastic food packaging contaminates food by containing metals such as lead and cadmium, which are harmful to the brain and cause lung cancer.", Plastic packaging flows into the ocean killing creatures when they swallow it., D, Literature 8
 What national or regional Earth Day theme is One Day Without Plastic Packaging?, Worldwide, Vietnam, Developing countries, Asia Region, A, Literature 8
"In the above text, what does the author point out as the most fundamental reason why using plastic packaging can be harmful to the natural environment?", Non-degradability of plastic, There are many toxic substances in colored plastic.,"When dealing with plastic packaging, there are many toxic gases in the smoke.", There is no method to treat plastic waste., A, Literature 8
 What is the content of the passage “As we know ... birth defects in newborns”?, Causes of serious environmental pollution," The harmful effects of using plastic packaging on the environment, health and humans", Disadvantages of plastic packaging compared to other materials,Basic chemical properties of plastic packaging and its effects in human life, C, Literature 8
" In the Earth Day 2000 Information document, what is plastic packaging considered to be?", A type of industrial waste, toxic substance, A type of household waste, A poor quality material, A, Literature 8
" What is the meaning of the two words ""let"" in the last part of the text?"," Is a sound uttered to call the interlocutor, with the intention of urging"," Expresses a mandatory condition that cannot be avoided, cannot be otherwise, or is absolutely necessary."," Expressing a request of an imperative or persuasive nature, encouraging to do something, to have a certain attitude"," Expresses that the thing or event being discussed is good, beneficial, or better done or accomplished.", C, Literature 8
 Harmful effects of plastic bags on humans:, Clogged drains will cause mosquitoes to breed and cause disease., Using colored plastic bags will contaminate food.," Burning nylon causes poisoning, difficulty breathing, reduced immunity, birth defects,...", All of the above, D, Literature 8
 What was the main theme of Earth Day 2000?, Limit the use of plastic bags., One day without plastic bags., Reuse plastic bags., Do not throw plastic bags down the drain., B, Literature 8
 What does the text “Earth Day 2000 Information” mean?, Limit people's use of plastic bags., Warning about the harmful effects of plastic bags., Create a habit of using plastic bags among people., Launch a day without using plastic bags in the country., D, Literature 8
 What are the harmful effects of plastic bags mentioned in the document “Information on Earth Day 2000”?, Clogged sewers cause mosquitoes to breed and spread disease.," Plastic bags mixed into the soil hinder the growth of plants surrounded by them, hinder the growth of grass, leading to soil erosion."," Plastic bags thrown down the drain clog wastewater pipes, increasing the possibility of flooding.", All are correct., D, Literature 8
 Which of the following is not a solution given in the text: “Information about Earth Day 2000”?,Do not use plastic bags unnecessarily., Reuse plastic bags by washing and drying., Do not reuse plastic bags.," Share your knowledge about plastic bags with friends, relatives and society.", C, Literature 8
"The document ""Information on Earth Day 2000"" proposed which of the following solutions to the problem of using plastic bags?"," Change your habit of using plastic bags, together reduce plastic waste by reusing them.", Bury plastic bags after use., People learn about the harmful effects of plastic bags on the environment.," Absolutely do not use plastic bags, but instead use other types of packaging that are easily decomposed.", A, Literature 8
 What is the most comprehensive and practical appeal in the text “Information on Earth Day 2000”?, Awareness of the harmful effects of plastic bags is the responsibility of everyone and the whole society.," Let's act together: ""A day without plastic bags"".", Give up the habit of using plastic bags., Eliminate the environmental impact of plastic bags., B, Literature 8
 What does the bold word in the sentence above refer to?, Uncle Ho plans his upcoming long trip., Uncle Ho dreamed of meeting Karl Marx and Lenin., Uncle Ho's plans and instructions before passing away," A, B, C are all wrong", C, Literature 8
" Find the appropriate euphemism to fill in the blank: His father died, his mother /…/, so he loved him very much.", Leave, Take another step, Marry someone else, No adoption, B, Literature 8
 Choose the appropriate word to fill in the blank so that the sentence uses euphemism?, Die, Ascend, Sacrifice, Death, C, Literature 8
 Which of the following sentences uses euphemism?, It is sleeping soundly., He is so lazy to study these days!,She is so pretty!, You don't look so rosy these days!, D, Literature 8
 What does the bold euphemism in the following stanza refer to?, Remoteness., Death., Hard work., Danger., B, Literature 8
 When should you avoid using profanity?, When it is necessary to speak politely and culturedly, When you want to express your feelings.," When it comes to being frank, tell the truth.", When you want to convince the listener., B, Literature 8
 Which of the following sentences does not use euphemism?," The poem you wrote is good in terms of meaning and imagery, but the emotions are not deep enough.","Perhaps, he should arrange to leave this place soon.", Speaking like that is somewhat unkind.,He talks like a chisel dipped in fish sauce., A, Literature 8
 What is euphemism?, It is a rhetorical device in which one replaces the name of an object with a description of its signs., Is a rhetorical device that increases or strengthens a certain positive characteristic of a subject being talked about.," Is a rhetorical device that uses subtle, flexible expressions."," Is a rhetorical device that exaggerates the extent, scale, and nature of things and phenomena.", C, Literature 8
Which statement best describes the purpose of euphemism?," To emphasize, impress and increase the expressiveness of the object or phenomenon mentioned in the sentence."," To let the listener appreciate the hidden beauty in the emotional, discreet way of speaking."," To avoid causing feelings of sadness, fear, heaviness; avoid vulgarity, impoliteness."," To express the speaker's attitude, feelings, emotions.", C, Literature 8
 Which of the following sentences uses euphemism?," Rest in peace, old man! (Nam Cao)", Let me hold it. (Thanh Tinh), Is your uncle feeling better? (Ngo Tat To)," Your aunt is very rich, not like before. (Nguyen Hong)", B, Literature 8
 Which of the following sentences uses euphemism?,October days are dark before they smile," Not waiting for his children and grandchildren to come home, the old man went far away."," The most dangerous thing is when discarded plastic packaging is burned, the toxic gases released, especially dioxin, can cause poisoning, fainting, difficulty breathing, vomiting blood, affect the endocrine glands, reduce immunity, cause dysfunction, cause cancer and birth defects in newborns.", The vastness of the land amazed us., B, Literature 8
" Which sentence best states the effect of the euphemism in the following verse: Uncle Duong has stopped, has stopped, The vast clouds and water make my heart sad (Crying for Duong Khue, Nguyen Khuyen)", Expressing the poet's sincere wish for the deceased to rest in peace., Show love and respect for a deceased friend., Expresses the poet's disappointment at not being able to see his friend one last time to say goodbye., Expressing sympathy and alleviating the poet's grief and loss when his close friend passed away., D, Literature 8
 Which of the following sentences uses euphemism?, You don't look so fresh these days!, He is a good student!, She's been playing a lot lately!, She is passing by here., A, Literature 8
 What is the difference between understatement and exaggeration?," These are all rhetorical devices used a lot in literature, poetry or everyday communication.", Both exaggeration and euphemism are ways of saying something that is not exactly what happened.,Both statements are correct., Both statements are wrong., C, Literature 8
 Cases where euphemisms should not be used:," When you want to avoid feeling sad, scared, vulgar, or impolite."," When you want to respect the person you are talking to, such as someone of social rank or someone of older age."," When commenting, be tactful, polite, and cultured so that listeners can easily accept your opinions and suggestions."," When criticism is needed, speak frankly and tell the truth.", D, Literature 8
" In each pair of sentences below, which sentence uses euphemism?"," A. 2, 4"," B. 1, 2"," C. 1, 2, 4", D. 4, B, Literature 8
 Which of the following sentences is not a euphemism?," My parents separated when I was very young, I went to live with my grandmother.", You have to practice writing better., Soldiers sacrificed their lives to protect their homeland and country., Tram Anh's father passed away this morning., B, Literature 8
" Use euphemisms and rewrite the following sentence: ""You've been very naughty lately.""", You're doing great lately., You haven't been very good lately., I'm not doing well lately., All wrong, B, Literature 8
 Which of the following sentences uses euphemism?, Life is just a hand's breadth.,Yesterday I bailed water from the front yard., Forgot the shirt on the lotus branch., Talk like water off a duck's back, B, Literature 8
 What effect does hyperbole have?, To reduce the fear of listeners and readers., To put it briefly, To avoid causing vulgarity., There is no correct answer., A, Literature 8
"Which sentence uses euphemism for the word ""go""?"," Uncle, are you gone?"," At Nha Rong port, Uncle Ho passed away.", Traveling on the Vam River on a full moon night, I have traveled this road many times., A, Literature 8
" Fill in the following euphemisms in the blanks: My parents... since I was very young, I went to live with my grandmother.", A. blind, B. go, C. break up, D. have age, B, Literature 8
" Fill in the following euphemisms in the blank: Mom is |...| already, so pay attention to taking care of your health.", A. blind, B. go, C. break up, D. have age, D, Literature 8
 The third person narrator in a narrative work is also known as?, The narrator is hidden (the omniscient narrator), Third person narrator, Main narrator, Secondary narrator, A, Literature 8
" In fairy tales, people often narrate in the third person instead of the first person because?"," The story deals with different characters, each character participates in an event so it is not possible to always transform into the first person."," Because the story space has many different spaces, if told in the first person, it will not be possible to be present in those spaces.", Both A and B, No. 1 position is not attractive, C, Literature 8
 What is the function of third person narrative in narrative writing?,Tell the story more objectively, The story is more subjective., Tell the story more specifically and clearly with each character., Telling things is easier, C, Literature 8
" In the following paragraph, which sentence does not contain a descriptive element?", His face suddenly twitched.," Wrinkles pressed together, squeezing tears out.", His head was tilted to one side and his toothless mouth was pursed like a child's., The old man cried..., A, Literature 8
 What is first person narrative?," First person narration is a narration in which the narrator calls himself ""I"", directly recounts what he hears, sees, experiences, expresses his feelings and thoughts."," In the first person narrative, the narrator hides himself, does not directly appear but is actually present everywhere, calls the characters by their own names, and tells the story flexibly and freely.", Both sentences are correct., Both sentences are wrong., C, Literature 8
"In narrative texts, what role does expressive elements play?", Helps the writer express his attitude towards the events being told., Helps the writer gain a deeper understanding of the events being told., Helps the writer to have a comprehensive understanding of the events being told., Help the story to appear vividly and richly., A, Literature 8
 Which sentences contain descriptive elements?," Sentences (1), (3), (4), (9), (10), (12), (13)"," Sentences (1), (3), (4), (9), (10), (12), (14)"," Sentences (1), (2), (3), (4), (9), (10), (12)"," Sentences (3), (9), (10)", A, Literature 8
 Which sentences contain expressive elements?," Sentences (9), (12), (14)"," Sentences (12), (14)"," Sentences (11), (12), (14)", Both A and B are wrong, A, Literature 8
 How are descriptive and expressive elements placed?," Stands alone, unrelated to narrative elements", Interwoven with narrative elements, Always stand behind to add content and meaning to narrative elements, Always stand before the narrative elements, C, Literature 8
" If we remove all descriptive and expressive elements and leave only narrative elements, what will the storytelling in the paragraph be like?"," Become very dry, lifeless, emotionless", The character's personality is not clearly expressed., Both A and B are correct, Both A and B are wrong, C, Literature 8
 Which work is written in the third person?, I go to school, Old Hac,In mother's heart, The last straw, B, Literature 8
 What is third person narrative?," Third person narration is a narrative in which the narrator calls himself ""I"", directly recounts what he hears, sees, experiences, and expresses his feelings and thoughts."," In the third person, the narrator hides himself, does not directly appear but is actually present everywhere, calls the characters by their names, and tells the story flexibly and freely.", Both sentences are correct., Both sentences are wrong., C, Literature 8
"Given the passage: “(1) Every year at the end of autumn, when the leaves on the street fall a lot and there are silver clouds in the sky, my heart is filled with fond memories of the first day of school. (2) How can I forget those pure feelings that bloom in my heart like fresh flowers smiling in the clear sky.” Point out the sentences containing descriptive elements in the passage above?", Sentence (1),Sentence (2), Both sentences,The passage does not contain descriptive and expressive elements., C, Literature 8
 What is the effect of the descriptive and expressive elements in the above passage?, Makes storytelling more vivid and profound," Describe in detail, specifically and boldly the things that evoked in the character ""I"" the memory of the first day of school: late autumn weather, many fallen leaves on the street, silver clouds in the sky.", Highlight the mood when recalling the first day of school that the author can never forget," A, B, C are all correct", D, Literature 8
" Which statement is most correct about the following sentence? If the old customs that tormented my mother were an object like a stone, a piece of glass, or a piece of wood, I would grab it and bite, chew, and grind it until it was crushed. (In my mother's heart)", Is a compound sentence with a conjunction indicating purpose., It is a compound sentence with causative conjunctions., It is a compound sentence with a conjunction indicating a conditional relationship., It is a compound sentence with a conjunction indicating a concession relationship., A, Literature 8
 Which of the following lines best describes a compound sentence?, Is a sentence with only one core subject-predicate phrase, It is a sentence with two subject-predicate phrases and they do not contain each other., A sentence has two or more subject-predicate phrases and they do not contain each other., It is a sentence with 3 subject-predicate phrases and they contain each other., C, Literature 8
 What are two contained subject-predicate phrases?, Those two subject-predicate phrases must form a compound sentence., Two subject-predicate phrases in which one subject-predicate phrase is contained in the other and the other subject-predicate phrase includes this subject-predicate phrase., Two subject-predicate phrases are parallel and equal to each other in the sentence., The two subject-predicate phrases are independent of each other and have no grammatical relationship., B, Literature 8
 Which of the following compound sentences refers to a concession?," Because Dau is his relative, we forced him to pay instead. (Ngo Tat To)"," If he could sing, he probably wouldn't need to curse. (Nam Cao)"," The stronger the wind, the higher the fire."," Although this is physical exercise, teachers should not take it lightly. (Nguyen Cong Hoan)", A, Literature 8
