Question,A,B,C,D,Answer,Grade,retained
Nhà Triệu chia nước Âu Lạc thành hai quận và sáp nhập vào:,Trung Quốc.,Văn Lang.,Nam Việt.,An Nam,C,Lịch sử 6,True
Nhà Hán đã gộp Âu Lạc với 6 quận của Trung Quốc thành Châu Giao nhằm mục đích gì?,Cai quản cho dễ,Đồng hóa dân tộc,Biến nước ta thành 1 tỉnh của Trung Quốc,Ép nhân dân ta lao dịch cho dễ.,C,Lịch sử 6,True
"Sau khi Hai Bà Trưng giành được thắng lợi, vua Nam Hán không tiến hành đàn áp ngay cuộc khởi nghĩa của Hai Bà Trưng mà chỉ hạ lệnh cho các quận miền Nam Trung Quốc khẩn trương chuấn bị xe, thuyền, làm thêm đường xá, tích trữ lương thực để sang đàn áp nghĩa quân vì:",Lúc này nhà Hán phải lo đối phó với các cuộc đấu tranh của nhân dân Trung Quốc.,Lúc này nhà Hán thực hiện chính sách bành trướng lãnh thổ về phía Tây và phía Bắc.,"Sau những tổn thất do cuộc khởi nghĩa năm 40 gây ra, nhà Hắn muốn tranh thủ thời gian để chuẩn bị lực lượng.",Cả ba câu trên đều đúng.,D,Lịch sử 6,True
"Vào tháng 3 năm 43, Hai Bà Trưng đã hi sinh oanh liệt tại",Cấm Khê,Cẩm Khê,Lãng Bạc,Hợp Phố.,A,Lịch sử 6,True
"Giữa thế kỉ III, ở quận Cửu Chân đã nổi lên cuộc khởi nghĩa lớn của",Hai Bà Trưng,Bà Triệu,Mai Hắc Đế,Lí Bí,B,Lịch sử 6,True
"Về mặt hành chính, chính quyền đô hộ nhà Lương đã chia nước ta thành:",Hai quận (Giao Chỉ và Cửu Chân).,"Ba quận (Giao Chỉ, Cửu Chân và Nhật Nam).","Sáu châu (Giao Châu, Ái Châu, Đức Châu, Lợi Châu, Minh Châu, Hoàng Châu).","Sáu châu (Giao Chỉ, Giao Châu, Ái Châu, Đức Châu, Minh Châu, Hoàng Châu).",C,Lịch sử 6,True
"Khi được nhà Lương phong cho chức “gác công thành”, Thiều tỏ thái độ:","Thần phục, chấp nhận.",Phản kháng chống lại nhà Lương.,"Bất bình, bỏ về quê.",Tập hợp lực lượng chống lại nhà Lương.,C,Lịch sử 6,True
"Đầu thế kỉ VI, đô hộ Giao Châu là",nhà Hán,nhà Ngô,nhà Lương,nhà Tần,C,Lịch sử 6,True
Nguyên nhân cơ bản nào chứng minh Cách mạng tư sản Pháp 1789 là cuộc cách mạng tư sản triệt để nhất?.,Cách mạng thi hành nhiều biện pháp kiên quyết để trừng trị bọn phản cách mạng.,"Cách mạng lật đổ chế độ phong kiến, giải quyết vấn đề ruộng đất cho nhân dân, đưa giai cấp tư sản lên cầm quyền.",Thiết lập được nền cộng hoà tư sản,Cách mạng đã đạt tới đỉnh cao với nền chuyên chính dân chủ Gia – cô – banh.,D,Lịch sử 8,True
"Tháng 1-1942, mặt trận Đồng minh thành lập nhằm mục đích gì?",Chống lại sự tấn công của phát xít Đức ở châu Âu.,Trả thù sự tấn công của Nhật vào hạm đội Mĩ.,Đoàn kết và tập hợp các lực lượng trên toàn thế giới để tiêu diệt chủ nghĩa phát xít.,Liên kết giữa khối phát xít và khối các nước đế quốc để chống Liên Xô.,C,Lịch sử 8,True
Giêm-ha-gri-vơ sáng chế ra máy kéo sợi Gien Ny cho năng xuất gấp :,7 lần,6 lần,5 lần,8 lần,D,Lịch sử 8,True
"Bên cạnh chính sách khai thác, bóc lột Ấn Độ thực dân Anh còn thi hành chính sách thâm độc nào?","Lợi dụng sự khác biệt về đẳng cấp, tôn giáo để đàn áp nhân dân Ấn Độ.","Áp dụng chính sách ""chia để trị"".",Thi hành chính sách “ngu dân”.,Khuyến khích những tập quán lạc hậu và phản động thời cổ xưa.,B,Lịch sử 8,True
Chế độ chính trị của Mĩ là,Cộng hòa,Quân chủ chuyên chế,Quân chủ lập hiến,Phong kiến,A,Lịch sử 8,True
Cuộc khủng hoảng kinh tế ở Mĩ đạt đến đỉnh cao nhất vào năm nào?,Năm 1929,Năm 1931,Năm 1932,Năm 1933,C,Lịch sử 8,True
"Trước cách mạng, ở Pháp đẳng cấp nào được hưởng đặc quyền, không phải đóng thuế?",Đẳng cấp tăng lữ.,Đẳng cấp quý tộc.,Đẳng cấp thứ ba.,Đẳng cấp tăng lữ và quý tộc.,D,Lịch sử 8,True
Nhân dân Trung Quốc chống Anh xâm lược – Chiến tranh thuốc phiện vào năm,1840- 1844,1840- 1843,1840- 1841,1840- 1842,D,Lịch sử 8,True
Hậu quả của chiến tranh thế giới thứ nhất mà các nước Châu Âu phải gánh chịu là gì?,Các nước thắng trận và bại trận đều bị suy sụp về kinh tế,Xuất hiện một số quốc gia mới,Cao trào cách mạng bùng nổ mạnh mẽ,Sự khủng hoảng về chính trị,A,Lịch sử 8,True
Thành tựu lớn nhất trong lĩnh vực quân sự cuối thế kỉ XVIII đầu thế kỉ XIX là gì?,"Nhiều vũ khí mới được sản xuất: đại bác, chiến hạm, thủy lôi...",Chế tạo được súng trường bắn nhanh và xa.,Chiến hạm chân vịt có trọng tải lớn.,Khí cầu dùng để trinh sát trận địa đối phương.,A,Lịch sử 8,True
Ngày 28 - 8 - 1789 diễn ra sự kiện lịch sử nào ở Pháp?,"Công nhân, thợ thủ công đánh chiếm nhà tù Ba-xti.",Bản Tuyên ngôn Nhân quyền và Dân quyền ra đời.,Quốc hội lập hiến thông qua Hiến pháp mới.,Quốc hội lập hiến tuyên bố xóa bỏ mọi nghĩa vụ của nông dân.,B,Lịch sử 8,True
Anh công nhận nền độc lập của 13 bang thuộc địa Anh ở Bắc Mĩ bằng văn kiện nào?,Hòa ước Mác xây.,Hòa ước Brer-li-tốp.,Hiệp ước Véc-xai.,Hiệp định Giơ-ne-vơ.,C,Lịch sử 8,True
Kinh tế Nhật Bản phát triển mau lẹ là do,"Việc đẩy mạnh công nghiệp hóa, tập trung công nghiệp, thương nghiệp và ngân hàng",Số tiền bồi thường chiến phí và của cải cướp được ở Triều Tiên và Trung Quốc.,Do sự bóc lột tàn tệ của giới chủ nhân.,Ảnh hưởng của cách mạng Nga 1905.,B,Lịch sử 8,True
Nga tham chiến vào chiến tranh thế giới thứ nhất đã đẩy đất nước vào tình trạng,"Nạn thất nghiệp tăng nhanh, nạn đói xảy ra trầm trọng.",Bị các nước đế quốc thôn tính.,Khủng hoảng trầm trọng về kinh tế.,"Khủng hoảng trầm trọng về kinh tế, chính trị, xã hội.",D,Lịch sử 8,True
Ý nào không phản ánh đúng tình trạng kinh tế nước Anh trước khi cách mạng tư sản bùng nổ?,Nội thương và ngoại thương nước Anh phát triển rất mạnh mẽ,"Quan hệ tiền tệ đã thâm nhập vào nông thôn nước Anh, làm thay đổi cơ cấu kinh tế và cách thức kinh doanh","Quan hệ sản xuất tư bản chủ nghĩa ở Anh đã phát triển cả trong công nghiệp, nông nghiệp và thương nghiệp.",Nền sản xuất nước Anh đã sử dụng máy móc và máy hơi nước,D,Lịch sử 8,True
Ý nào không phản ánh đúng tình trạng kinh tế nước Pháp trước khi các mạng tư sản bùng nổ?,"Nền kinh tế Pháp ở thế kỉ XVII đã phát triển khá mạnh, nhất là về công nghiệp và thương nghiệp","Mậu dịch nước Pháp rất phát triển, nước Pháp chiếm một nửa số tiền tệ của toàn Châu Âu","Nông nghiệp nước Pháp phát triển mạnh theo hướng sản xuất tư bản chủ nghĩa, hỗ trợ cho công nghiệp.","Máy hơi nước và máy móc đã xuất hiện ở Pháp, nhưng chưa được áp dụng phổ biến",C,Lịch sử 8,True
Ý nào không phản ánh đúng ý nghĩa của cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh của Bắc Mỹ?,Giải phóng nhân dân các thuộc địa Anh khỏi ách thống trị thực dân,Đưa đến sự thành lập của nhà nước tư sản đầu tiên ở ngoài Châu Âu,Thúc đẩy phong trào đấu tranh giành độc lập ở nhiều nước trên thế giới.,Là cuộc cách mạng tư sản triệt để nhất trong lịch sử,D,Lịch sử 8,True
Ý nào không phản ánh hệ quả của các cuộc cách mạng công nghiệp?,"Tạo ra những chuyển biến to lớn về kinh tế - xã hội, làm thay đổi bộ mặt của các nước tư bản",Nâng cao năng suất lao động,Khẳng định sự thắng lợi của chế độ phong kiến,"Thúc đẩy quá trình tìm kiếm thị trường, xâm lược thuộc địa.",C,Lịch sử 8,True
Ý nào không đúng khi nói về kết quả của cuộc Cách mạng Tân Hợi năm 1911?,"Lật đổ triều đại Mãn Thanh, chấm dứt chế độ quân chủ chuyên chế",Giúp Trung Quốc tránh được nguy cơ bị xâm lược từ các cường quốc thực dân phương Tây,Đã không thực sự thủ tiêu giai cấp phong kiến,Mở đường cho chủ nghĩa tư bản phát triển ở Trung Quốc,B,Lịch sử 8,True
Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là,xuất hiện giai cấp tư sản và vô sản,sự ra đời của các tổ chức độc quyền,chiến tranh đế quốc nhằm phân chia thuộc địa,mâu thuẫn xã hội gay gắt,B,Lịch sử 8,True
Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Sự bình đẳng về mọi mặt giữa các dân tộc,Quyền dân tộc tự quyết của các dân tộc,Xây dựng một cộng đồng anh em giữa các dân tộc,Sáp nhập các nước cộng hoà Xô viết và nước Nga,D,Lịch sử 8,True
Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau,Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết,"Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà",Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành,D,Lịch sử 8,True
Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?,"Thực hiện cải cách kinh tế từng bước, có chọn lọc",Chủ trương xây dựng nền kinh tế tập trung do Nhà nước quản lí,Chú trọng phát triển công nghiệp quốc phòng,"Chú trọng đến các ngành nghề mới như: công nghiệp du lịch, công nghệ sinh học, khai thác dầu khí,...",C,Lịch sử 8,True
Ý nào không phải nguyên nhân khiến Đông Nam Á hải đảo là đối tượng đầu tiên thu hút sự chú ý của thực dân phương Tây?,Khu vực giàu tài nguyên,Có nguồn hương liệu và hàng hoá phong phú,Nằm trên tuyến đường biển huyết mạch,"Cư dân có truyền thống lao động cần cù, chăm chỉ",D,Lịch sử 8,True
Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?,Năm 1918,Năm 1917,Năm 1919,Năm 1922,B,Lịch sử 8,True
Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?,Năm 1976,Năm 1978,Năm 1982,Năm 1986,D,Lịch sử 8,True
"Đến đầu thế kỉ XX, hầu hết các nước Đông Nam Á đều trở thành thuộc địa của thực dân phương Tây ngoại trừ",Phi-líp-pin,Xiêm ( Thái Lan),Xin-ga-po,Miến Điện (Mi-an-ma),B,Lịch sử 8,True
"Nửa cuối thế kỉ XIX, nhiệm vụ cấp thiết đặt ra cho nước Đức và I-ta-lia là gì?",Thoát khỏi ách thống trị của nước ngoài,Thành lập chính quyền của giai cấp tư sản,"Xoá bỏ tính mạng phân tán về chính trị, thống nhất đất nước",Giải quyết vấn đề ruộng đất cho nông dân,B,Lịch sử 8,True
Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là,xuất hiện giai cấp tư sản và vô sản,sự ra đời của các tổ chức độc quyền,chiến tranh đế quốc nhằm phân chia thuộc địa,mâu thuẫn xã hội gay gắt,B,Lịch sử 8,True
"Sau thắng lợi của Cách mạng tháng Mười Nga, nhiệm vụ hàng đầu của Chính quyền Xô viết là","đập tan bộ máy nhà nước cũ, xây dựng nhà nước mới của những người lao động","khôi phục kinh tế, xây dựng chủ nghĩa xã hội và bảo vệ đất nước",ban hành Hiến pháp mới,"chống thù trong, giặc ngoài",B,Lịch sử 8,True
Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?,Năm 1918,Năm 1917,Năm 1919,Năm 1922,B,Lịch sử 8,True
Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Sự bình đẳng về mọi mặt giữa các dân tộc,Quyền dân tộc tự quyết của các dân tộc,Xây dựng một cộng đồng anh em giữa các dân tộc,Sáp nhập các nước cộng hoà Xô viết và nước Nga,D,Lịch sử 8,True
Liên bang Cộng hoà xã hội chủ nghĩa Xô viết được thành lập vào thời gian nào?,Tháng 3 - 1921,Tháng 12 - 1922,Tháng 3 - 1923,Tháng 1 - 1924,B,Lịch sử 8,True
Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau,Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết,"Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà",Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành,D,Lịch sử 8,True
Ý nào không phải là ý nghĩa quốc tế của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,"Trở thành biểu tượng và là chỗ dựa tinh thần, vật chất to lớn cho phong trào cách mạng thế giới","Cổ vũ, lôi cuốn mạnh mẽ phong trào giải phóng dân tộc ở những nước thuộc địa",Đưa đến sự hình thành trật tự thế giới mới,Tạo tiền đề cho sự ra đời của hệ thống xã hội chủ nghĩa trên thế giới,C,Lịch sử 8,True
"Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?",V.I.Xta - lin,M. Gooc - ba - chốp,N. Khơ - rút - xốp,Bre - giơ - nhép,A,Lịch sử 8,True
Ý nào không phản ánh đúng nội dung của Hiến pháp Liên Xô năm 1924?,Ghi nhận việc hợp tác trên cơ sở tự nguyện của các nước Cộng hoà Xô viết thành một nhà nước Liên Bang,Phân định các quyền của Liên bang và của các nước Cộng hoà,Quy định cơ cấu tổ chức cơ quan Nhà nước tối cao Liên bang và các nước Cộng hoà,Khẳng định quyền lực của Chính quyền Xô viết,D,Lịch sử 8,True
"Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở","Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh",Đông Âu và một số nước Châu Á,một số nước Châu Á và khu vực Mỹ la tinh,"một số nước Tây Âu, Đông Âu và khu vực Mỹ la tinh",A,Lịch sử 8,True
Thành tựu nổi bật trong công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu từ năm 1949 đến giữa những năm 70 của thế kỉ là,từ những nước nghèo đã trở thành những nước công nghiệp mới (NIsC),tự phóng được vệ tinh nhân tạo lên quỹ đạo Trái Đất,từ những nước nghèo đã trở thành các quốc gia công - nông nghiệp phát triển,đi đầu về công nghiệp điện hạt nhân,C,Lịch sử 8,True
Nguyên nhân quan trọng nhất dẫn đến sự tan rã của chế độ chủ nghĩa xã hội ở Liên Xô và Đông Âu là gì?,"Do đường lối lãnh đạo của Đảng Cộng sản Liên Xô và các nước Đông Âu mang tính chủ quan, duy ý chí; chậm đổi mới cơ chế quản lí,....","Tình trạng lạc hậu về khoa học - kĩ thuật, không theo kịp sự phát triển chung của thế giới","Chậm tiến hành cải cách, sửa đổi và khi thực hiện cải cách lại mắc phải nhiều sai lầm",Sự chống phá của các thế lực thù địch ở trong và ngoài nước,A,Lịch sử 8,True
Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?,"Thực hiện cải cách kinh tế từng bước, có chọn lọc",Chủ trương xây dựng nền kinh tế tập trung do Nhà nước quản lí,Chú trọng phát triển công nghiệp quốc phòng,"Chú trọng đến các ngành nghề mới như: công nghiệp du lịch, công nghệ sinh học, khai thác dầu khí,...",C,Lịch sử 8,True
Ý nào không phải là thành tựu về khoa học - công nghệ của công cuộc cải cách mở cửa ở Trung Quốc?,Phong tàu Thần Châu vào không gian,Dẫn đầu thế giới về công nghiệp điện hạt nhân,Xây dựng hệ thống định vị vệ tinh Bắc Đẩu,"Phát triển mạnh hạ tầng kĩ thuật số, trung tâm dữ liệu hiện đại",B,Lịch sử 8,True
"Ý nghĩa then chốt, quan trọng nhất của cách mạng khoa học - kĩ thuật lần thứ hai?",Tạo ra một khối lượng hàng hoá đồ sộ.,Đưa loài người chuyển sang nền văn minh trí tuệ.,Thay đổi một cách cơ bản các nhân tố sản xuất.,Sự giao lưu quốc tế ngày càng được mở rộng.,C,Lịch sử 9,True
Từ 1979 đến cuối những năm 80 của thế kì XX quan hệ giữa Việt Nam với ASEAN là gì?,Quan hệ hợp tác song phương.,Quan hệ đối thoại.,Quan hệ đối đầu do bất đồng về quan hệ kinh tế.,Quan hệ đối đầu do vấn đề Cam-pu-chia.,D,Lịch sử 9,True
Biến đổi lớn nhất của các nước châu Á sau Chiến tranh thế giới thứ hai là gì?,Các nước châu Á đã giành độc lập.,Các nước châu Á đã gia nhập ASEAN.,Các nước châu Á đã trở thanh trung tâm kinh tế tài chính thể giới.,Tất cả các câu trên.,A,Lịch sử 9,True
Việt Nam gia nhập tổ chức Liên Hợp Quốc vào thời gian nào?,8/1977,9/1977,1/1987,11/1987,B,Lịch sử 9,True
Nguyên nhân cơ bản nào làm cho chủ nghĩa xã hội ở Liên Xô và Đông Âu sụp đổ?,Các thế lực chống CNXH trong và ngoài nước chống phá.,Chậm sửa chữa những sai lầm.,"Nhà nước nhân dân Xô viết, nhận thấy CNXH không tiến bộ nên muốn thay đổi chế độ.",Xây dựng mô hình chủ nghĩa xã hội không phù hợp.,D,Lịch sử 9,True
Hiệp ước an ninh Mĩ-Nhật được kí kết nhằm mục đích gì?,Hình thành một liên minh Mĩ-Nhật chống lại các nước XHCN và phong trào giải phóng dân tộc vùng Viễn Đông.,Nhật Bản trở thành căn cứ chiến lược của Mĩ.,Nhật Bản muốn lợi dụng vốn kĩ thuật của Mĩ để phát triển kinh tế.,Tạo thế cân bằng giữa Mĩ và Nhật.,A,Lịch sử 9,True
"Giữa những năm 50 của thế kỉ XX, tình hình Đông Nam Á diễn ra như thế nào?",Ngày càng trở nên căng thẳng.,Ngày càng phát triển phồn thịnh.,Ổn định.,Ổn định và phát triển.,A,Lịch sử 9,True
Sau Chiến tranh thế giới thứ hai Nhật Bản đã gặp khó khăn gì lớn nhất?,"Bị mất hết thuộc địa, kinh tế bị tàn phá nặng nề.",Bị các nước đế quốc bao vây kinh tế.,"Nạn thất nghiệp, thiếu lương thực, thực phẩm.",Bị quân đội Mĩ chiếm đóng theo chế độ quân quản.,A,Lịch sử 9,True
Chính sách đối ngoại của Liên Xô từ năm 1945 đến nửa đầu những năm 70 thế kỉ XX là gì?,Muốn làm bạn với tất cả các nước.,Chỉ quan hệ với các nước lớn.,Hòa bình và tích cực ủng hộ cách mạng thế giới.,Chỉ làm bạn với các nước xã hội chủ nghĩa.,C,Lịch sử 9,True
Tổng thống Mĩ sang thăm Việt Nam đầu tiên vào năm nào?,1990,1991,1992,1993,D,Lịch sử 9,True
Chương trình khai thác thuộc địa lần thứ hai của thực dân Pháp bắt đầu vào năm nào?,1914,1919,1918,1920,B,Lịch sử 9,True
Chủ nghĩa A-pác-thai bị xoá bỏ tại đâu?,Nam Phi.,Mĩ La-tinh.,Trung Đông.,Châu Phi.,A,Lịch sử 9,True
"Thời gian tiến hành công cuộc ""cải tổ"" của Liên Xô kéo dài trong bao lâu?",4 năm (1985-1989).,5 năm (1985-1990).,6 năm (1985-1991).,7 năm (1985-1992).,C,Lịch sử 9,True
"Năm 1992, ASEAN quyết định biến Đông Nam Á thành?",Một khu vực phồn thịnh.,Một khu vực ổn định và phát triển.,Một khu vực mậu dịch tự do.,Một khu vực hòa bình.,C,Lịch sử 9,True
Ai là lãnh tụ phong trào 26/7/1953 của cách mạng Cu Ba?,Chê Ghê-va-na,Phi-đen Cax-tơ-rô,Ra-un Cax-tơ-rô,A-gien-đê,B,Lịch sử 9,True
"Sau khi Hiệp định Pari được kí kết, miền Bắc nước ta tiếp tục thực hiện nghĩa vụ của hậu phương như thế nào?","Đưa vào miền Nam, Campuchia và Lào hàng chục vạn bộ đội hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào miền Nam hàng trục vạn bộ đội hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào Sài Gòn – Gia Định hàng trục vạn bộ đội, hàng vạn thanh niên xung phong, cán bộ chuyên môn, nhân viên kĩ thuật.","Đưa vào miền Nam, Campuchia và Lào các loại vũ khí phương tiện chiến tranh hiện đại nhất.",A,Lịch sử 9,True
Sự phân hóa của Việt Nam Cách mạng Thanh Niên dẫn đến sự ra đời của của tổ chức nào?,"Đông Dương cộng sản Đảng, Đông Dương cộng sản liên đoàn.","Đông Dương cộng sản Đảng, An Nam cộng sản Đảng, Đông Dương cộng sản liên đoàn.","Đông Dương cộng sản Đảng, An Nam cộng sản Đảng.",Cả ba ý trên đều sai.,C,Lịch sử 9,True
Hiệp định Giơ-ne-vơ là văn bản pháp lý quốc tế ghi nhận:,"Quyền được hưởng độc lập, tự do của nhân dân các nước Đông Dương",Các quyền dân tộc cơ bản của nhân dân các nước Đông Dương.,Quyền tổ chức Tổng tuyển cử tự do.,Quyền chuyển quân tập kết theo giới tuyến quân sự tạm thời.,B,Lịch sử 9,True
Đảng Cộng sản Đông Dương họp Đại hội đại biểu toàn quốc lần thứ hai tại đâu?,Hương Cảng (Trung Quốc).,Ma Cao (Trung Quốc).,Pác Bó (Cao Bằng).,Chiêm Hóa (Tuyên Quang).,D,Lịch sử 9,True
"Sau thất bại ở Việt Bắc và buộc phải chuyển sang đánh lâu dài, thực dân Pháp tăng cường thực hiện chính sách gì?",Dựa vào bọn Việt gian phản động để chống lại ta.,Tăng viện binh từ bên Pháp sang để giành thế chủ động.,"“Dùng người Việt đánh người Việt”, “Lấy chiến tranh nuôi chiến tranh”.",Bình định mở rộng địa bàn chiếm đóng.,C,Lịch sử 9,True
Đảng ta vận dụng hai khẩu hiệu nào dưới đây trong phong trào cách mạng 1930-1931?,“Độc lập đan tộc” và “Ruộng đất dân cày”.,“Tự do dân chủ” và “ Cơm áo hòa bình”.,“Tịch thu ruộng đất của đế quốc Việt gian” và “Tịch thu ruộng đất của địa chủ phong kiến”.,“Đánh đổ đế quốc” và “Xóa bỏ ngôi vua”.,A,Lịch sử 9,True
Những hành động của Mĩ ở miền Nam sau khi kí hiệp định Pari?,Nghiêm chỉnh thực hiện những điều khoản đã kí trong hiệp định.,Rút toàn bộ quân Mĩ ra khõi miền Nam Việt Nam.,Khắc phục hậu quả chiến tranh do Mĩ  gây ra ở miền Nam.,Giúp chính quyền Sài Gòn phá hoại hiệp định Pari.,D,Lịch sử 9,True
Nguyễn Ái Quốc ra đi tìm đường cứu nước vào ngày tháng năm nào?,6/5/1911,5/6/1911,7/5/1911,8/5/1911,B,Lịch sử 9,True
"Trong lúc Mĩ tiến hành chiến tranh phá hoại lần thứ hai ở miền Bắc, Mĩ đã áp dụng loại hình chiến lược chiến tranh nào ở miền Nam?",Chiến tranh một phía,Chiến tranh đặc biệt,Chiến tranh cục bộ,Việt Nam hóa chiến tranh,D,Lịch sử 9,True
"Trong chiến dịch Biên giới 1950, trận đánh nào được xem là ác liệt và có ý nghĩa nhất?",Đông Khê.,Thất Khê.,Phục kích đánh địch trên đường số 4.,Phục kích đánh địch từ Cao Bằng rút chạy. ,A,Lịch sử 9,True
Tổng bí thư đầu tiên của Đảng ta là ai?,Nguyễn Ái Quốc,Trần Phú,Trường Chinh,Lê Duẩn,B,Lịch sử 9,True
"Tính chất, mục đích, nội dung, phương châm chiến lược của cuộc chiến tranh nhân dân của ta là?",Kháng chiến toàn diện.,Kháng chiến dự vào sức mình và tranh thủ sự ủng hộ từ bên ngoài.,Phải liên kết với cuộc kháng chiến của Lào và Cam-pu-chia.,"Toàn dân, toàn diện, trường kỳ, tự lực cánh sinh, tranh thủ sự ủng hộ của quốc tế.",D,Lịch sử 9,True
"Cách mạng Việt Nam bước vào thòi kỳ vô cùng khó khăn. Thực dân Pháp và phong kiến tay sai thẳng tay thi hành chính sách khủng bố cực kỳ tàn bạo. Nhiều chiến sĩ cộng sản, hàng vạn người yêu nước bị bắt, bị giết hoặc tử tù. Các cơ sở của Đảng lần lượt bị phá vỡ. Đó là đặc điểm lịch sử của cách mạng Việt Nam giai đoạn nào?",1930-1931.,1931-1932.,1933-1934.,1934-1935,B,Lịch sử 9,True
Ý nghĩa lớn nhất của cách mạng tháng Tám 1945 là gi?,Lật đổ ngai vàng phong kiến đã ngự trị hàng chục thế kỉ trên đất nước ta.,Chấm dứt sự thống trị của thực dân Pháp và phát xít Nhật đối với nước ta.,Người dân Việt Nam từ thân phận nô lệ trở thành người làm chủ đất nước.,Đem lại độc lập tự do cho dân tộc và cổ vũ cho phong trào cách mạng thế giới.,D,Lịch sử 9,True
Phong trào công nhân Sài Gòn – Chợ Lớn năm 1920 do ai đứng đầu?,Hồ Tùng Mậu,Lê Hồng Sơn.,Tôn Đức Thắng.,Nguyễn Thái Học.,C,Lịch sử 9,True
Điểm khác nhau của “Chiến tranh cục bộ” và “Chiến tranh đặc biệt”?,"Sử dụng quân Mĩ, quân đồng minh và quân đội tay sai, mở rộng chiến tranh phá hoại ra miền Bắc, qui mô lớn hơn, ác liệt hơn.",Biến miền Nam thành thuộc địa kiểu mới.,Chiến tranh xâm lược thực dân mới.,Sử dụng quân đội Sài Gòn  và cố vấn Mĩ.,A,Lịch sử 9,True
Các cuộc phát kiến địa lí vào thế kỉ XV được thực hiện bằng con đường nào?,Đường bộ.,Đường biển.,Đường hàng không.,Đường sông.,B,Lịch sử 7,True
"Cuộc đấu tranh công khai đầu tiên trên lĩnh vực văn hoá, tư tưởng của giai cấp tư sản chống lại chế độ phong kiến là",Cách mạng tri thức sau phát kiến địa lí.,Phong trào Văn hoá Phục hưng ở Tây Âu.,Các cuộc chiến tranh nông dân ở Tây Âu.,Trào lưu “Triết học Ánh sáng” của Pháp.,B,Lịch sử 7,True
Trung Quốc trở thành quốc gia phong kiến cường thịnh nhất châu Á dưới triều đại,Nhà Hán.,Nhà Đường.,Nhà Nguyên.,Nhà Thanh.,B,Lịch sử 7,True
Ấn Độ được thống nhất vào thời gian nào?,2 500 năm TCN.,1 500 nắm TCN.,Cuối thế kỉ III TCN.,Đầu thế kỉ IV.,D,Lịch sử 7,True
Cư dân sống trên đất Lào là,Người Lào Thơng.,Người Lào Lùm.,Người Khơ-me.,Người Lào Thơng và người Lào Lùm.,D,Lịch sử 7,True
Ý nào không phản ánh đúng việc làm của Ngô Quyền để khôi phục nền độc lập dân tộc?,Bỏ chức tiết độ sứ của phong kiến phương Bắc.,Xưng vương.,Đóng đô ở Cổ Loa.,Đặt tên nước.,D,Lịch sử 7,True
