Question,A,B,C,D
"Cho X là axit cacboxylic đơn chức, mạch hở, Y là ancol no, đa chức, mạch hở. Đun hỗn hợp gồm 2,5 mol X, 1 mol Y với xúc tác $H_{2}SO_{4}$ đặc (giả sử chỉ xảy ra phản ứng este hóa giữa X và Y) thu được 2,5 mol hỗn hợp E gồm X, Y và các sản phẩm hữu cơ (trong đó có chất Z chỉ chứa nhóm chức este). 
Tiến hành các thí nghiệm sau:
          Thí nghiệm 1: Cho 0,5 mol E tác dụng với Na dư, sau phản ứng hoàn toàn thu được 0,35 mol khí $H_{2}$.
          Thí nghiệm 2: Cho 0,5 mol E vào dung dịch brom dư thì có tối đa 0,5 mol $Br_{2}$ tham gia phản ứng cộng.
          Thí nghiệm 3: Đốt cháy hoàn toàn 0,5 mol E cần vừa đủ 2,95 mol khí $O_{2}$ thu được $CO_{2}$ và $H_{2}O$. 
        Biết có 12% axit X ban đầu đã chuyển thành Z. Phần trăm khối lượng của Z trong E là","6,85%","8,58%","10,24%","8,79%"
"Điện phân dung dịch chứa x mol CuSO4, y mol $H_{2}SO_{4}$ và z mol NaCl (với điện cực trơ, có màng ngăn xốp, hiệu suất điện phân là 100%). Lượng khí sinh ra từ quá trình điện phân và khối lượng $Al_{2}O_{3}$ bị hòa tan tối đa trong dung dịch sau điện phân ứng với mỗi thí nghiệm được cho ở bảng dưới đây:
Biết: tại catot ion Cuˆ{2+} điện phân hết thành Cu trước khi ion Hˆ{+} điện phân tạo thành khí H_{2-}  cường độ dòng điện bằng nhau và không đổi trong các thí nghiệm trên.
        Tổng giá trị (x + y + z) bằng","1,84","1,56","1,82","1,60"
"Cho E (C3H6O3) và F (C4H6O4) là hai chất hữu cơ mạch hở đều tạo từ axit cacboxylic và ancol. Từ E và F thực hiện sơ đồ các phản ứng sau:
                (1) E + NaOH \xrightarrow[to]  X + Y
                (2) F + NaOH \xrightarrow[to] X + Y
                (3) X + HCl \xrightarrow Z + NaCl
Biết X, Y, Z là các chất hữu cơ, trong đó phân tử Y không có nhóm $-CH_{3}$  
Cho các phát biểu sau:
        (a) Chất E và F đều là các este đa chức.
        (b) Có hai công thức cấu tạo phù hợp với chất E.
        (c) Chất X có khả năng tham gia phản ứng tráng bạc.
        (d) Nhiệt độ sôi của chất Z cao hơn nhiệt độ sôi của ancol etylic.
        (e) Cho a mol chất E tác dụng với Na dư thu được a mol khí $H_{2}$.
Số phát biểu đúng là",4,2,5,3
"Cho các phát biểu sau:
        (a) Cho đá vôi vào dung dịch axit axetic sẽ có khí bay ra.
        (b) Thủy phân saccarozơ trong môi trường axit chỉ thu được glucozơ.
        (c) Để loại bỏ anilin dính trong ống nghiệm có thể dùng dung dịch HCl.
        (d) Đun nóng tripanmitin với dung dịch NaOH sẽ xảy ra phản ứng thủy phân.
        (e) Trùng hợp axit terephtalic với etylen glicol thu được poli(etylen terephtalat).
Số phát biểu đúng là",3,4,5,2
"Hỗn hợp E gồm các hiđrocacbon mạch hở có cùng số nguyên tử hiđro. Tỉ khối của E đối với $H_{2}$ là 12,5. Đốt cháy hoàn toàn a mol E cần vừa đủ 0,11 mol $O_{2}$ thu được $CO_{2}$ và $HO_{2}$. Mặt khác, a mol E tác dụng tối đa với x mol Br2 trong dung dịch. Giá trị của x là","0,03","0,02","0,04","0,05"
"Cho sơ đồ các phản ứng sau:
                (1) X + $Ba(OH)_{2}$ → Y + Z
                (2) X + T → $BMgCl_{2}$ + Z
                (3) $BMgCl_{2}$ + $Ba(OH)_{2}$ → Y + T
Các chất X, T thỏa mãn sơ đồ trên lần lượt là","$MgSO_{4}$, NaCl","$MgSO_{4}$, $BaCl_{2}$","$MgSO_{4}$, HCl","MgO, HCl"
"Dẫn 0,2 mol hỗn hợp gồm khí $CO_{2}$ và hơi nước qua cacbon nung đỏ thu được 0,31 mol hỗn hợp X gồm CO, $H_{2}$ và $CO_{2}$. Cho toàn bộ X qua dung dịch chứa 0,15 mol NaOH và x mol $Ba(OH)_{2}$, sau phản ứng hoàn toàn thu được m gam kết tủa và dung dịch Y. Nhỏ từ từ từng giọt cho đến hết Y vào 100 ml dung dịch HCl 0,5M thu được 0,01 mol khí $CO_{2}$. Giá trị của m là","11,82","17,73","9,85","5,91"
"Khi phân tích một loại chất béo (kí hiệu là X) chứa đồng thời các triglixerit và axit béo tự do (không có tạp chất khác) thấy oxi chiếm 10,88% theo khối lượng. Xà phòng hóa hoàn toàn m gam X bằng dung dịch NaOH dư đun nóng, sau phản ứng thu được dung dịch chứa 103,3 gam hỗn hợp các muối $C_{17}H_{35}COONa$, $C_{17}H_{33}COONa$, $C_{17}H_{31}COONa$ và 10,12 gam glixerol. Mặt khác, m gam X phản ứng tối đa với y mol $Br_{2}$ trong dung dịch. Giá trị của y là","0,32","0,34","0,37","0,28"
"Canxi cacbonat được dùng sản xuất vôi, thủy tinh, xi măng. Công thức của canxi cacbonat là",CaCO_{3},Ca(OH)_{2},CaO,CaCl_{2}
Kim loại nào sau đây có tính khử mạnh nhất?,Mg,Cu,Al,Na
Chất X có công thức Fe(NO_{3})_{3}. Tên gọi của X là,Sắt (II) nitrit,Sắt (III) nitrat,Sắt (II) nitrat,Sắt (III) nitrit
Dung dịch nào sau đây làm quỳ tím chuyển sang màu xanh?,Etylamin,Glyxin,Axit glutamic,Alanin
Sắt có số oxi hóa +3 trong hợp chất nào sau đây?,Fe(OH)_{3},FeO,Fe(OH)_{2},FeSO_{4}
Dung dịch nào sau đây có pH > 7?,HCl,NaCl,Ca(OH)_{2},H_{2}SO_{4}
Kim loại nào sau đây điều chế được bằng phương pháp thủy luyện?,Ba,Ag,Na,K
Kim loại nào sau đây tác dụng với dung dịch H_{2}SO_{4} loãng sinh ra khí H_{2}?,Ca(OH)_{2},Mg(OH)_{2},Mg,BaO
Chất nào sau đây được dùng để làm mềm nước cứng có tính cứng vĩnh cửu?,HNO_{3},KCl,NaNO_{3},Na_{2}CO_{3}
Số nguyên tử cacbon trong phân tử fructozơ là,22,6,12,11
"Khí sunfurơ là khí độc, khí thải ra môi trường thì gây ô nhiễm không khí. Công thức của khí sunfurơ là",SO_{2},H_{2}S,NO,NO_{2}
"Ở nhiệt độ thường, kim loại Fe tác dụng được với dung dịch nào sau đây?",Mg(NO_{3})_{2},NaCl,NaOH,AgNO_{3}
Chất nào sau đây tác dụng với dung dịch KHCO3 sinh ra khí CO_{2}?,HCl,K_{2}SO_{4},NaCl,NaO_{2}SO_{4}
Polime nào sau đây được điều chế bằng phản ứng trùng ngưng?,Poli(metyl metacrylat),Poli(etylen terephtalat),Polibutađien,Polietilen
"Ở điều kiện thường, chất nào sau đây làm mất màu dung dịch Br_{2}?",Metan,Butan,Propen,Etan
Số nhóm amino (NH_{2}) trong phân tử alanin là,4,2,3,1
"Thủy phân tristearin ((C _{17}H _{35}COO) _{3}C _{3}H _{5}) trong dung dịch NaOH, thu được muối có công thức là",C _{2}H _{3}COONa,HCOONa,C _{17}H _{33}COONa,C _{17}H _{35}COONa
Tên gọi của este HCOOCH _{3} là,Metyl axetat,Metyl fomat,Etyl fomat,Etyl axetat
Dung dịch nào sau đây tác dụng được với Al(OH) _{3}?,NaNO_{3},CaCl_{2},KOH,NaCl
Kim loại nào sau đây là kim loại kiềm?,K,Ba,Al,Ca
Phát biểu nào sau đây sai?,Protein bị thủy phân nhờ xúc tác enzim,Dung dịch valin làm quỳ tím chuyển sang màu xanh,Amino axit có tính chất lưỡng tính,Dung dịch protein có phản ứng màu biure
"Cho 0,75 gam H _{2}NCH _{2}COOH tác dụng hết với dung dịch NaOH, thu được dung dịch chứa m gam muối. Giá trị của m là","1,14","0,97","1,13","0,98"
"Có bao nhiêu tơ tổng hợp trong các tơ: capron, xenlulozơ axetat, visco, nilon-6,6?",3,2,4,1
"Khi đốt cháy hoàn toàn 8,64 gam hỗn hợp glucozơ và saccarozơ cần vừa đủ 0,3 mol O _{2}, thu được CO _{2} và m gam H _{2}O. Giá trị của m là","5,04","7,20","4,14","3,60"
"Cho dung dịch KOH dư vào dung dịch gồm FeCl _{2} và FeCl _{2}, thu được kết tủa X. Cho X tác dụng với dung dịch HNO_{3} dư, thu được dung dịch chứa muối",Fe(NO_{3})_{3},Fe(NO _{3}) _{2},Fe(NO3)2 và KNO3,Fe(NO_{3})_{3} và KNO _{3}
Phát biểu nào sau đây đúng?,Cho Zn vào dung dịch CuSO _{4} có xảy ra ăn mòn điện hóa học,"Kim loại Fe không tác dụng với dung dịch HNO_{3} đặc, nóng","Ở nhiệt độ thường, H _{2} khử được Na _{2}O",Kim loại Fe dẫn điện tốt hơn kim loại Ag
"Cho mẩu natri vào ống nghiệm đựng 3ml chất lỏng X, thấy natri tan dần và có khí thoát ra. Chất X là",Pentan,Etanol,Hexan,Benzen
"Hòa tan hết 2,43 gam Al trong dung dịch NaOH, thu được V ml khí H _{2}  (đktc). Giá trị của V là",1008,3024,4032,2016
"Hòa tan hết 2,04 gam kim loại R (hóa trị II) trong dung dịch H_{2}SO_{4} loãng, thu được 0,085 mol H_{2}. Kim loại R là",Zn,Ca,Fe,Mg
"Polisaccarit X là chất rắn, màu trắng, dạng sợi. Trong bông nõn có gần 98% chất X. Thủy phân X, thu
được monosaccarit Y. Phát biểu nào sau đây đúng?",Y có tính chất của ancol đa chức,X có phản ứng tráng bạc,Phân tử khối của Y bằng 342,X dễ tan trong nước
"Khi thủy phân hết 3,28 gam hỗn hợp X gồm hai este đơn chức, mạch hở thì cần vừa đủ 0,05 mol NaOH, thu được một muối và hỗn hợp Y gồm hai ancol cùng dãy đồng đẳng. Đốt cháy hết Y trong O_{2} dư, thu được CO_{2} và m gam H_{2}O. Giá trị của m là","2,16","3,06","1,26","1,71"
"Nung nóng m gam hỗn hợp X gồm Mg, Al và Cu trong O_{2} dư, thu được 15,8 gam hỗn hợp Y gồm các oxit. Hòa tan hết Y bằng lượng vừa đủ dung dịch gồm HCl 1M và H_{2}SO_{4} 0,5M, thu được dung dịch chứa 42,8 gam hỗn hợp muối trung hòa. Biết các phản ứng xảy ra hoàn toàn. Giá trị của m là","10,3","8,3","12,6","9,4"
"Thực hiện các thí nghiệm sau:
(a) Cho hỗn hợp Na và Al (tỉ lệ mol 1 : 1) vào nước (dư).
(b) Cho hỗn hợp Cu và Fe_{2}O_{3} (tỉ lệ mol tương ứng 2 : 1) vào dung dịch HCl (dư).
(c) Cho hỗn hợp Ba và NH_{4}HCO_{3} vào nước (dư).
(d) Cho hỗn hợp Cu và NaNO_{3} (tỉ lệ mol tương ứng 1 : 2) vào dung dịch HCl (dư).
(e) Cho hỗn hợp BaCO_{3} và KHSO_{4} vào nước (dư).
Khi phản ứng trong các thí nghiệm trên kết thúc, có bao nhiêu thí nghiệm không thu được chất rắn?",2,3,4,1
"Cho các phát biểu sau:
(a) Nước quả chanh khử được mùi tanh của cá.
(b) Fructozơ là monosaccarit duy nhất có trong mật ong.
(c) Một số este hòa tan tốt nhiều chất hữu cơ nên được dùng làm dung môi.
(e) Vải làm từ tơ nilon-6,6 bền trong môi trường bazơ hoặc môi trường axit.
(d) Sản phẩm của phản ứng thủy phân saccarozơ được dùng trong kĩ thuật tráng gương
Số phát biểu đúng là",2,3,5,4
"Thí nghiệm xác định định tính nguyên tố cacbon và hiđro trong phân tử saccarozơ được tiến hành theo các bước sau
Bước 1: Trộn đều khoảng 0,2 gam saccarozơ với 1 đến 2 gam đồng (II) oxit, sau đó cho hỗn hợp vào ống nghiệm khô (ống số 1) rồi thêm tiếp khoảng 1 gam đồng (II) oxit để phủ kín hỗn hợp. Nhồi một nhúm bông có rắc bột CuSO_{4} khan vào phần trên ống số 1 rồi nút bằng nút cao su có ống dẫn khí.
Bước 2: Lắp ống số 1 lên giá thí nghiệm rồi nhúng ống dẫn khí vào dung dịch Ca(OH)_{2} đựng trong ống nghiệm (ống số 2).
Bước 3: Dùng đèn cồn đun nóng ống số 1 (lúc đầu đun nhẹ, sau đó đun tập trung vào phần có hỗn hợp phản ứng).
Cho các phát biểu sau
(a) CuSO4 khan được dùng để nhận biết H_{2}O sinh ra trong ống nghiệm.
(b) Thí nghiệm trên, trong ống số 2 có xuất hiện kết tủa trắng.
(c) Ở bước 2, lắp ống số 1 sao cho miệng ống hướng lên.
(d) Thí nghiệm trên còn được dùng để xác định định tính nguyên tố oxi trong phân tử saccarozơ.
(e) Kết thúc thí nghiệm: tắt đèn cồn, để ống số 1 nguội hẳn rồi mới đưa ống dẫn khí ra khỏi dung dịch trong ống số 2.
Số phát biểu đúng là",3,1,4,2
"Cho hỗn hợp E gồm ba chất X, Y và ancol propylic. X, Y là hai amin kế tiếp nhau trong cùng dãy đồng đẳng; phân tử X, Y đều có hai nhóm NH_{2} và gốc hiđrocacbon không no; MX < MY. Khi đốt cháy hết 0,1 mol E cần vừa đủ 0,67 mol O_{2}, thu được H_{2}O, N_{2} và 0,42 mol CO_{2}. Phần trăm khối lượng của Y trong E là","46,30%","19,35%","39,81%","13,89%"
"Hỗn hợp E gồm axit panmitic, axit stearic và triglixerit X. Cho m gam E tác dụng hoàn toàn với dung dịch NaOH dư, thu được 57,84 gam hỗn hợp hai muối. Nếu đốt cháy hết m gam E thì cần vừa đủ 4,98 mol O_{2}, thu được H_{2}O và 3,48 mol CO_{2}. Khối lượng của X trong m gam E là","34,48 gam","32,24 gam","25,60 gam","33,36 gam"
"Hỗn hợp E gồm ba este mạch hở X, Y và Z, trong đó có một este hai chức và hai este đơn chức; MX < MY < MZ. Cho 24,66 gam E tác dụng hoàn toàn với dung dịch NaOH dư, thu được hỗn hợp các ancol no và 26,42 gam hỗn hợp muối của hai axit cacboxylic kế tiếp trong cùng dãy đồng đẳng. Khi đốt cháy hết 24,66 gam E thì cần vừa đủ 1,285 mol O_{2} thu được H_{2}O và 1,09 mol CO_{2}. Khối lượng của Y trong 24,66 gam E là","2,96 gam","5,18 gam","6,16 gam","3,48 gam"
"Nhiệt phân hoàn toàn 26,73 gam X (là muối ở dạng ngậm nước), thu được hỗn hợp Y (gồm khí và hơi) và 7,29 gam một chất rắn Z. Hấp thụ hết Y vào nước, thu được dung dịch T. Cho 180 ml dung dịch NaOH 1M vào T, thu được dung dịch chỉ chứa một muối, khối lượng của muối là 15,3 gam. Phần trăm khối lượng nguyên tố oxi trong X là","64,65%","59,26%","53,87%","48,48%"
"Cho các sơ đồ phản ứng:
(1) E + NaOH \xrightarrow  X + Y
(2) F + NaOH \xrightarrow  X + Z
(3) Y + HCl \xrightarrow  T + NaCl
Biết E, F đều là các hợp chất hữu cơ no, mạch hở, chỉ chứa nhóm chức este (được tạo thành từ axit cacboxylic và ancol) và trong phân tử có số nguyên tử cacbon bằng số nguyên tử oxi; E và Z có cùng số nguyên tử cacbon; ME < MF < 175.
Cho các phát biểu sau:
(a) Nhiệt độ sôi của E thấp hơn nhiệt độ sôi của CH3COOH
(b) Có hai công thức cấu tạo của F thỏa mãn sơ đồ trên.
(c) Hai chất E và T có cùng công thức đơn giản nhất
(d) Đốt cháy hoàn toàn Z, thu được Na_{2}CO_{3}, CO_{2} và H_{2}O.
(e) Từ X điều chế trực tiếp được CH3COOH.
Số phát biểu đúng là",2,4,3,1
Chất nào sau đây thuộc loại polisaccarit?,Saccarozơ,Tinh bột,Fructozơ,Glucozơ
Công thức hóa học của sắt (III) clorua là,Fe_{2}(SO_{4})_{3},FeSO_{4},FeCl_{3},FeCl_{2}
Kim loại nào sau đây tan trong nước ở điều kiện thường?,Na,Cu,Fe,Al
"Crom tác dụng với lưu huỳnh (đun nóng), thu được sản phẩm là",Cr_{2}S_{3},Cr_{2}(SO_{4})_{3},CrS_{3},CrSO_{4}
Kim loại nào sau đây không tan được trong dung dịch HCl?,Ag,Zn,Al,Mg
Chất nào sau đây được dung để khử chua trong đất nông nghiệp?,CaCl_{2},Ca(NO_{3})_{2},CaO,CaSO_{4}
Dung dịch nào sau đây không làm đổi màu quỳ tím?,HCl,NaOH,CH_{3}-NH_{2},H_{2}N-CH_{2}-COOH
"Hiện nay, nhiều nơi ở nông thôn đang sử dụng hầm biogas để xử lí chất thải trong chăn nuôi gia súc cung cấp nhiên liệu cho việc đun nấu. Chất dễ cháy trong khí biogas là",CH_{4},CO_{2},N_{2},Cl_{2}
Kim loại nào sau đây điều chế được bằng phương pháp thủy luyện?,Ca,Na,Mg,Cu
Công thức của axit oleic là,C_{17}H_{33}COOH,C_{2}H_{5}COOH,HCOOH,CH_{3}COOH
Tơ nào sau đây thuộc loại tơ nhân tạo?,Tơ nitron,Tơ xenllozơ. axetat,Tơ tằm,Tơ capron
Dung dịch chất nào sau đây hòa tan được Al(OH) _{3}?,KCl,NaNO_{3},MgCl_{2},NaOH
Cặp dung dịch chất nào sau đây phản ứng với nhau tạo ra chất khí?,Na_{2}CO_{3}và KOH,NH_{4}Cl và AgNO_{3},Ba(OH) _{2} và NH_{4}Cl,NaOH và H_{2}SO_{4}
Este nào sau đây tác dụng với dung dịch NaOH thu được natri axetat,C_{2}H_{5}COOCH_{3},HCOOC_{2}H_{5},CH_{3}COOC_{2}H_{5},HCOOCH_{3}
"Cho 2 ml chất lỏng X vào ống nghiệm khô có sẵn vài viên đá bọt, sau đó thêm từng giọt dung dịch H_{2}SO_{4} đặc, lắc đều. Đun nóng hỗn hợp, sinh ra hiđrocacon làm nhạt màu dung dịch KMnO_{4}. Chất X là",Ancon metylic,Axit axetic,Anđehit axetic,Ancol etylic
"Cho 7,5 gam amino axit X (công thức có dạng H_{2}NC_{n}H_{2n}COOH) tác dụng hết với dung dịch HCl dư, thu được 11,15 gam muối. Số nguyên tử hiđro trong phân tử X là",7,5,9,11
"Đun nóng 100 ml dung dịch glucozơ a (mol/l) với lượng dư dung dịch AgNO_{3} trong NH_{3} Saukhi phản ứng xảy ra hoàn toàn, thu được 21,6 gam Ag. Giá trị của a là","1,0","0,1","0,5","0,2"
Thí nghiệm nào sau đây thu được muối sắt (III) sau khi kết thúc phản ứng ?,Cho Fe vào dung dịch CuSO_{4},Cho Fe(OH) _{2} vào dung dịch H_{2}SO_{4} loãng,Cho Fe vào dng dịch HCl,Đốt cháy Fe trong bình khí Cl_{2} dư
Thí nghiệm nào sau đây có xảy ra ăn mòn điện hóa học?,Đốt dây Mg trong bình đựng khí O_{2},Nhúng thanh Zn vào dung dịch hỗn hợp gồm CuSO_{4} và H_{2}SO_{4},Nhúng thanh Fe vào dung dịch HCl,Nhúng thanh Cu vào dung dịch HNO_{3} loãng
"Đốt cháy hoàn toàn m gam Al trong khí O_{2} dư, thu được 10,2 gam Al_{2}O_{3}. Giá trị của m là","3,6","5,4","2,7","4,8"
Phát biểu nào sau đây đúng?,Amilozơ có cấu trúc mạch phân nhánh,Tơ tằm thuộc loại tơ nhân tạo,Tơ visco thuộc loại tơ tổng hợp,PVC được điều chế bằng phản ứng trùng hợp
"Tinh thể chất rắn X không màu, vị ngọt, dễ tan trong nước. X có nhiều trong mật ong nên làm cho
mật ong có vị ngọt sắc. Trong công nghiệp, X được điều chế bằng phản ứng thủy phân chất Y. Tên gọi của
X và Y lần lượt là",Glucozơ và fructozơ,Saccarozơ và glucozơ,Saccarozơ và xenlulozơ,Fructozơ và saccarozơ
Phát biểu nào sau đây đúng?,Đimetylamin có công thức CH _{3}CH _{2}NH _{2},Glyxin là hợp chất có tính lưỡng tính,Valin tác dụng với dung dịch Br _{2} tạo kết tủa,Phân tử Gly-Ala-Val có 6 nguyên tử oxi
"Cho m gam Fe tác dụng hết với dung dịch CuSO _{4} dư, thu được 19,2 gam Cu. Giá trị của m là","11,2","14,0","8,4","16,8"
"Dẫn 0,02 mol hỗn hợp X (gồm hơi nước và khí CO_{2}) qua cacbon nung đỏ, thu được 0,035 mol hỗn hợp Y gồm CO, H_{2} và CO_{2}. Cho Y đi qua ống đựng 10 gam hỗn hợp gồm Fe _{2}O _{3} và CuO (dư, nung nóng), sau khi các phản ứng xảy ra hoàn toàn, thu được m gam chất rắn. Giá trị của m là","9,52","9,28","9,76","9,20"
"Cho sơ đồ các phản ứng sau:
        a) X _{1} + H_{2}O \xrightarrow[điện phân dung dịch]{có màn ngăn} X _{2} + X _{3} + H_{2}
        b) X_{2} + X_{4}   BaCO _{3} + K _{2}CO _{3} + H_{2}O        (X_{2} là KOH và X_{4} là Ba(HCO_{3}) _{2})
        c) X_{2} + X_{3}   X_{1} + X_{5} + H_{2}O        (X_{3} là Cl_{2} ; X_{1} là KCl va X_{5} là KClO) 
        d) X_{4} + X_{6}   BaSO_{4} + K_{2}SO_{4} + CO_{2} + H_{2}O        (X_{6} là KHSO_{4})
        X_{5} và X_{6} thỏa mãn sơ đồ trên lần lượt là",Ba(HCO_{3})_{2} và KHSO_{4},KClO và KHSO_{4},Ba(HCO_{3})_{2} và H_{2}SO_{4},KClO và H_{2}SO_{4}
"Nung nóng 0,1 mol C4H10 có xúc tác thích hợp, thu được hỗn hợp X gồm H_{2}, CH_{4}, C_{2}H_{4}, C_{2}H_{6}, C_{3}H_{6}, C_{4}H_{8} và C_{4}H_{10}. Dẫn X qua bình đựng dung dịch Br_{2} dư, sau khi phản ứng hoàn toàn khối lượng bình tăng 3,64 gam và có hỗn hợp khí Y thoát ra. Đốt cháy hoàn toàn Y cần vừa đủ V lít khí O_{2}. Giá trị của V là","6,272","5,376","6,048","5,824"
"Hòa tan hoàn toàn m gam hỗn hợp gồm Na_{2}O và Al_{2}O_{3} (tỉ lệ mol tương ứng là 4 : 3) vào nước, thu được dung dịch X. Cho từ từ dung dịch HCl 1M vào X, kết quả thí nghiệm được ghi ở bảng sau
Giá trị của a và m lần lượt là","23,4 và 35,9","15,6 và 27,7","15,6 và 55,4","23,4 và 56,3"
"Cho các phát biểu sau :
(a) Mỡ lợn hoặc dầu dừa có thể dùng làm nguyên liệu để sản xuất xà phòng.
(b) Nước ép của quả nho chín có thể tham gia phản ứng tráng bạc.
(c) Trong tơ tằm có các gốc α-amino axit.
(d) Cao su lưu hóa có tính đàn hồi, lâu mòn và khó tan hơn cao su thường.
(e) Một số este có mùi thơm được dùng làm chất tạo hương cho thực phẩm và mỹ phẩm.
Số phát biểu đúng là",5,4,3,2
"Đốt cháy hoàn toàn 17,16 gam triglixerit X, thu được H_{2}O và 1,1 mol CO_{2}. Cho 17,16 gam X tác dụng với dung dịch NaOH vừa đủ, thu được glyxerol và m gam muối.Mặt khác, 17,16 gam X tác dụng được tối đa với 0,04 mol Br_{2} trong dung dịch. Giá trị của m là","17,72","18,28","18,48","16,12"
"Thực hiện các thí nghiệm sau :
a) Sục khí CO_{2} vào dung dịch NaOH dư.
b) Cho kim loại Cu vào dung dịch FeCl_{3} dư.
c)  Cho dung dịch HCl vào dung dịch NaAlO_{2} dư.
d)  Cho dung dịch Fe(NO_{3})_{2} vào dung dịch AgNO_{3} dư.
e) Cho dung dịch NaHCO_{3} vào dung dịch Ca(OH) _{2} dư
Sau khi các phản ứng kết thúc, số thí nghiệm thu được kết tủa là",4,3,5,2
"Cho sơ đồ các phản ứng theo đúng tỉ lệ mol:
        (a) X  + 4AgNO_{3} + 6NH_{3} + 2H_{2}O \xrightarrow X_{1} + 4Ag + 4NH_{4}NO_{3}                
        (b) X_{1} + 2NaOH \xrightarrow  X_{2} + 2NH_{3} + 2H_{2}O
        c) X_{2} + 2HCl \xrightarrow  X_{3} + 2NaCl
        d) X_{3} + C_{2}H_{5}OH \xrightleftarrow[H_{2}SO_{4}] X_{4} + H_{2}O (X_{4} : C_{2}H_{5}-OOC-COOH)
Biết X là hợp chất hữu cơ no, mạch hở, chỉ chứa một loại nhóm chức. Khi đốt cháy hoàn toàn X_{2}, sản phẩm thu được chỉ gồm CO_{2} và Na_{2}CO_{3}. Phân tử khối của X_{4} là",118,138,90,146
"Tiến hành thí nghiệm theo các bước sau:
Bước 1: Cho vào hai ống nghiệm mỗi ống 2 ml etyl axetat.
Bước 2: Thêm 2 ml dung dịch H_{2}SO_{4} 20% vào ống thứ nhất; 4 ml dung dịch NaOH 30% vào ống thứ hai.
Bước 3: Lắc đều cả hai ống nghiệm, lắp ống sinh hàn, đun sôi nhẹ trong khoảng 5 phút, để nguội.
Cho các phát biểu sau:
a) Sau bước 2, chất lỏng trong cả hai ống nghiệm đều phân thành hai lớp.
b) Sau bước 3, Chất lỏng trong cả hai ống nghiệm đều đồng nhất.
c) Sau bước 3, ở hai ống nghiệm đều thu được sản phẩm giống nhau.
d) Ở bước 3, có thể thay việc đun sôi nhẹ bằng đun cách thủy (ngâm trong nước nóng).
e) Ống sinh hàn có tác dụng hạn chế sự thất thoát của các chất lỏng trong ống nghiệm.
Số phát biểu đúng là",4,3,2,5
"Hòa tan hoàn toàn m gam hỗn hợp gồm CuSO_{4} và NaCl vào nước, thu được dung dịch X. Tiến hành điện phân X với các điện cực trơ, màn ngăn xốp, dòng điện có cường độ không đổi. Tổng số mol khí thu được trên cả hai điện cực (n) phụ thuộc vào thời gian điện phân (t) được mô tả như đồ thị bên (đồ thị gấp khúc tại các điểm M, N). Giả thuyết hiệu suất điện phân là 100%, bỏ qua sự bay hơi của nước. Giá trị của m là","7,57","5,97","2,77","9,17"
"Hòa tan hết m gam hỗn hợp X gồm Fe, FeO, Fe_{2}O_{3} và Fe_{3}O_{4} vào dung dịch HCl dư, thu được 0,04 mol H_{2} và dung dịch chứa 36,42 gam hỗn hợp muối. Mặt khác, hòa tan hoàn toàn m gam X trong dung dịch chứa 0,625 mol H_{2}SO_{4} (đặc) đun nóng, thu được dung dịch Y và a mol SO_{2} (sản phẩm khử duy nhất của S+6). Cho 450 ml dung dịch NaOH 1M vào Y, sau khi phản ứng kết thúc thu được 10,7 gam một chất kết tủa. Giá trị của a là","0,125","0,155","0,105","0,145"
"Cho 7,34 gam hỗn hợp E gồm hai este mạch hở X và Y (đều tạo bởi axit cacboxylic và ancol ; MX<MY<150) tác dụng vừa đủ với dung dịch NaOH, thu được một ancol Z và 6,74 gam hỗn hợp muối T. Cho toàn bộ Z tác dụng với Na dư, thu được 1,12 lít khí H_{2}. Đốt cháy hoàn toàn T, thu được H_{2}O, Na_{2}CO_{3} và 0,05 mol CO_{2}. Phần trăm khối lượng của X trong E là","81,74%","40,33%","30,25%","35,97%"
"Hòa tan hết 23,18 gam hỗn hợp X gồm Fe, Mg và Fe(NO_{3})_{3} vào dung dịch chứa  0,92 mol HCl và 0,01 mol NaNO_{3}, thu được dung dịch Y (chất tan chỉ có 46,95 gam hỗn hợp muối) và 2,92 gam hỗn hợp Z gồm ba khí không màu (trong đó hai khí có số mol bằng nhau). Dung dịch Y phản ứng được tối đa 0,91 mol KOH, thu được 29,18 gam kết tủa. Biết các phản ứng xảy ra hoàn toàn. Phần trăm thể tích của khí có phân tử khối lớn nhất trong Z là","45,45%","58,82%","51,37%","75,34%"
"Chất X (C_{n}H_{2}_{n+4}O_{4}N_{2}) là muối amoni của axit cacboxylic đa chức, chất Y (C_{m}H_{2}_{m+4}O_{2}N_{2}) là muối amoni của một amino axit. Cho m gam E gồm X và Y (có tỉ lệ mol tương ứng là 7 : 3) tác dụng hết với lượng dư dung dịch NaOH đun nóng, thu được 0,17 mol etyl amin và 15,09 gam hỗn hợp muối. Phần trăm khối lượng của X trong E có giá trị gần nhất với giá trị nào sau đây ?",77,71,68,52
