Câu hỏi,A,B,C,D,Answer,Grade,retained
Giao thông vận tải có vai trò quan trọng vì,phục vụ nhu cầu đi lại của con người,gắn nền kinh tế trong nước với nền kinh tế thế giới,Tạo điều kiện hình thành các vùng sản xuất chuyên môn hóa,Tạo mối quan hệ kinh tế xã hội giữa các vùng trong nước và giữa các nước trên thế giới,D,Địa lý 10,True
"Trong các điều kiện tự nhiên, yếu tố nào sau đây ít ảnh hưởng đến hoạt động giao thông vận tải nhất?",Khí hậu,Địa hình,Khoáng sản,Sinh vật,D,Địa lý 10,True
"Hai ngành vận tải đường hàng không và đường biển tuy có nhiều cách biệt nhưng cũng có chung một đặc điểm, đó là",An toàn,Hiện đại,Phương tiện lưu thông quốc tế,Có khối lượng vận chuyển lớn,C,Địa lý 10,True
Các cường quốc hàng không trên thế giới hiện nay là,"Hoa Kì, Anh, Pháp, Liên Bang Nga","Hoa Kì, Anh, Pháp, CHLB Đức","Hoa Kì, Liên Bang Nga, Anh, Nhật","Hoa Kì, Liên Bang Nga, Pháp, Nhật",A,Địa lý 10,True
"Khi lựa chọn loại hình giao thông vận tải và thiết kế các công trình giao thông, yếu tố đầu tiên phải chú ý đến là",Trình độ kỹ thuật,Vốn đầu tư,Dân cư,Điều kiện tự nhiên,D,Địa lý 10,True
Loại phương tiện vận tải được sử dụng như là phương tiện vận tải phối hợp giữa nhiều loại hình giao thông vận tải là,Đường ôtô,Đường sắt,Đường thủy,Đường hàng không,A,Địa lý 10,False
Ở nước ta loại hình giao thông vận tải nào đang chiếm ưu thế?,Đường sắt,Đường biển,Đường ôtô,Đường sông,C,Địa lý 10,False
Ngành trẻ nhất trong các loại hình vận tải là,Đường ôtô,Đường ống,Đường sắt,Đường hàng không,B,Địa lý 10,False
Điểm giống nhau dễ nhận thấy trong ngành vận tải đường ống giữa các nước phát triển và đang phát triển là,Đây là ngành có tốc độ phát triển nhanh nhất,Thường gắn liền với các cảng biển,Đây là ngành có vai trò quan trọng nhất,Tất cả đều được xây dựng ở nửa sau thế kỉ XIX,D,Địa lý 10,True
Những nước phát triển mạnh ngành vận tải đường sông hồ là,Những nước ở Châu Âu nhờ vào hệ thống sông Đa-nuýp và Rai-nơ,"Hoa Kì, Ca-na-đa và Nga",Các nước ở vùng khí hậu lạnh có hiện tượng băng hà nên có nhiều hồ,Các nước Châu Á và Châu Phi có nhiều sông lớn,B,Địa lý 10,True
Phần lớn các cảng biển đều nằm ở Đại Tây Dương vì,Có bờ biển khúc khuỷu dễ dàng xây dựng các cảng biển,Nối liền hai trung tâm kinh tế lớn là Hoa Kì và Nhật Bản,Nối liền hai trung tâm kinh tế lớn là Bắc Mỹ và Tây Âu,Nối liền hai trung tâm kinh tế lớn là Châu Âu và Hoa Kì,C,Địa lý 10,True
Cán cân xuất nhập khẩu được hiểu là,Quan hệ so sánh giữa xuất khẩu và nhập khẩu,Quan hệ so sánh giữa khối lượng hàng xuất khẩu và nhập khẩu với nhau,Quan hệ so sánh giữa giá trị hàng xuất khẩu với giá trị hàng nhập khẩu,Quan hệ so sánh giữa tỉ lệ xuất khẩu và tỉ lệ nhập khẩu,C,Địa lý 10,False
Thương mại ở các nước đang phát triển thường có tình trạng,ngoại thương phát triển hơn nội thương,xuất khẩu lớn hơn nhập khẩu,nhập khẩu lớn hơn xuất khẩu,xuất khẩu dịch vụ thương mại,C,Địa lý 10,False
Cảng biển lớn nhất của Đông Nam Á hiện nay là,Y-ô-kô-ha-ma,Thượng Hải,Xin-ga-po,Kô-bê,C,Địa lý 10,True
"""Marketing"" được hiểu là",Giới thiệu sản phẩm hàng hóa đến người tiêu dùng,Bán hàng cho người tiêu dùng với lời giới thiệu về sản phẩm,Tìm hiểu phân tích thị trường để đáp ứng cho phù hợp,Điều tiết cung cầu cho phù hợp với thị trường,C,Địa lý 10,True
Khi cung nhỏ hơn cầu thì giá cả,"có xu hướng giảm, sản xuất có nguy cơ đình đốn","có xu hướng giảm, kích thích mở rộng sản xuất","có xu hướng tăng, kích thích mở rộng sản xuất","có xu hướng tăng, sản xuất có nguy cơ đình đốn",C,Địa lý 10,False
Cơ sở để xác định thời gian của người xưa bắt đầu từ:,Dựa vào các hiện tượng tự nhiên.,Dựa vào sự di chuyển của Mặt Trăng và Mặt Trời.,Dựa vào sự di chuyển của Mặt Trời và Trái Đất.,Dựa vào các hiện tượng tự nhiên lặp đi lặp lại và những hiện tượng tự nhiên này có quan hệ chặt chẽ với hoạt động của Mặt Trời và Mặt Trăng.,D,Lịch sử 6,False
Cách tính thời gian theo sự di chuyển của Mặt Trời gọi là,Âm lịch,Nông lịch,Dương lịch,Phật lịch,C,Lịch sử 6,True
Chu kì quay của Mặt Trăng xung quanh Trái Đất để tính thời gian và làm ra lịch và cách tính này được gọi là:,Âm Lịch,Dương Lịch,Cả A và B đều đúng,Cả A và B đều sai,A,Lịch sử 6,True
Năm 111 TCN nhà Hán chiếm Âu lạc cách năm 2016 bao nhiêu năm.,2124 năm,2125 năm,2126 năm,2127 năm,D,Lịch sử 6,False
Người tôi cổ thường sinh sống ở:,"Những túp lều bằng cành cây, có khô.",Hang động.,"Hang động, mái đá, những túp lều bằng cành cây hoặc có khô.","Hang đá, mái đá.",C,Lịch sử 6,True
Thức ăn chính của Người tối cổ là:,Rau quả và gia cầm.,Hoa quả và muông thú.,"Rau, bầu, bí và gia cầm.",Rau quả và súc vật.,B,Lịch sử 6,True
Các dân tộc trên thế giới có mấy cách làm lịch chính?,một cách,ba cách,hai cách,Tất cả đều đúng,C,Lịch sử 6,True
Cuộc sống của người tối cổ,định cư tại một nơi.,rất bấp bênh,"bấp bênh, “ăn lông ở lỗ”",du mục đi khắp nơi,C,Lịch sử 6,True
Các quốc gia cổ đại trong lịch sử loài người xuất hiện sớm nhất ở:,"Ai Cập, Rô-ma, Ấn Độ, Trung Quốc.","Trung Quốc, Ấn Độ, Lưỡng Hà, Ai Cập.","Hi lạp, Rô-ma, Ấn Độ, Lưỡng Hà.","Hi Lạp, Rô-ma, Ấn Độ, Ai Cập.",B,Lịch sử 6,True
Đặc điểm của các quốc gia cổ đại Phương Đông là:,hình thành trên bán đảo.,hình thành trên các châu thổ các con sông lớn.,lấy nông nghiệp làm cơ sở kinh tế chủ yếu.,câu B và C đúng.,D,Lịch sử 6,True
Công việc đã khiến cho con người ở các quốc gia cổ đại phương Đông gắn bó và ràng buộc với nhau trong tổ chức công xã là:,buôn bán,trị thủy và trồng lúa,chăn nuôi,làm nghề thủ công nghiệp,B,Lịch sử 6,True
Người phương Đông cổ đại đã phát mình ra chữ viết đầu tiên của mình đó là,Chữ tượng ý.,Chữ La tính. ,Chữ tượng hình.,Chữ tượng hình và tượng ý.,C,Lịch sử 6,True
Chữ tượng hình được viết đầu tiên trên,Thẻ tre,Giấy Papirus,Giấy tre mỏng.,Đất sét,D,Lịch sử 6,True
Những dấu vết của người tối cổ được phát hiện ở đâu?,Di cốt tìm thấy ở Nam Phi,Di cốt tìm thấy ở Gia-va (Indonexia),Di cốt tìm thấy ở Thái Lan,Ở Tây Âu,B,Lịch sử 6,True
Nhà nước Phương Đông cổ đại được tổ chức theo thể chế gì?,Quân chủ lập hiến,Cộng hòa,Quân chủ chuyên chế,Dân chủ,C,Lịch sử 6,True
Người Ai Cập thời cổ đại lại thạo về hình học vì:,Phải đo lại ruộng đất và vẽ các hình để xây tháp.,Phải đo lại ruộng đất và chia đất cho nông dân.,Phải vẽ các hình để xây tháp và tính diện tích nhà ở của vua.,Phải tính toán các công trình kiến trúc.,A,Lịch sử 6,True
Các quốc gia phương Đông đầu tiên ở đâu?,Lưỡng Hà,Ai Cập - Sông Nin,Ấn Độ - Sông Hằng,"A, B, C",D,Lịch sử 6,False
Lịch sớm xuất hiện ở các quốc gia phương Đông cổ đại vì,Để phục vụ yêu cầu sản xuất nông nghiệp.,Để làm vật trang trí trong nhà cho đẹp.,Để phục vụ yêu cầu học tập.,Để thống nhất các ngày lễ hội trong cả nước.,A,Lịch sử 6,True
Các quốc gia cổ đại xuất hiện sớm ở phương Đông vì:,nhờ đất đai màu mỡ.,điều kiện tự nhiên thuận lợi.,sớm sử dụng công cụ bằng sắt.,khí hậu thuận lợi.,A,Lịch sử 6,True
Người tối cổ có đặc điểm cơ thể:,Đôi tay khéo léo hơn,Đi đứng bằng hai chân,"Trán cao, mặt phẳng","A, B, C đúng",B,Lịch sử 6,True
"Chính quyền đô hộ sáp nhập đất đai Âu Lạc vào lãnh thổ của Trung Quốc, làm như vậy là để:",Người Trung Quốc đông có thêm đất đai để ở.,Nhằm giúp nhân dân ta tổ chức lại bộ máy chính quyền.,Thôn tính nước ta cả về lãnh thổ và chủ quyền.,Bắt nhân dân ta phải thần phục nhà Hán. ,C,Lịch sử 6,True
" Những vùng nào của nước ta hiện nay là vùng đât của ba quận: Giao Chỉ, Cửu Chân, Nhật Nam trước đây: ",Vùng đất Bắc Bộ - Bắc Trung Bộ đến Quảng Bình. , Vùng đất Bắc Bộ - Bắc Trung Bộ đến Quảng Nam.,Vùng đất Bắc Bộ - Bắc Trung Bộ đến Quảng Trị.,Vùng đất Bắc Bộ - Bắc Trung Bộ đến Quảng Ngãi.,B,Lịch sử 6,False
Nhà Triệu chia nước Âu Lạc thành hai quận và sáp nhập vào:,Trung Quốc.,Văn Lang.,Nam Việt.,An Nam,C,Lịch sử 6,True
Nhà Hán đã gộp Âu Lạc với 6 quận của Trung Quốc thành Châu Giao nhằm mục đích gì?,Cai quản cho dễ,Đồng hóa dân tộc,Biến nước ta thành 1 tỉnh của Trung Quốc,Ép nhân dân ta lao dịch cho dễ.,C,Lịch sử 6,True
" Dưới sự cai trị của chính quyèen nhà Hán, chúng đã đưa các tầng lớp nào vào Âu Lạc cũ, cho ở lẫn với người Việt?",Quý tộc.,Nông dân.,"Dân nghèo, tội nhân.","Địa chủ, quan lại.",C,Lịch sử 6,False
"Sau khi Hai Bà Trưng giành được thắng lợi, vua Nam Hán không tiến hành đàn áp ngay cuộc khởi nghĩa của Hai Bà Trưng mà chỉ hạ lệnh cho các quận miền Nam Trung Quốc khẩn trương chuấn bị xe, thuyền, làm thêm đường xá, tích trữ lương thực để sang đàn áp nghĩa quân vì:",Lúc này nhà Hán phải lo đối phó với các cuộc đấu tranh của nhân dân Trung Quốc.,Lúc này nhà Hán thực hiện chính sách bành trướng lãnh thổ về phía Tây và phía Bắc.,"Sau những tổn thất do cuộc khởi nghĩa năm 40 gây ra, nhà Hắn muốn tranh thủ thời gian để chuẩn bị lực lượng.",Cả ba câu trên đều đúng.,D,Lịch sử 6,True
"Vào tháng 3 năm 43, Hai Bà Trưng đã hi sinh oanh liệt tại",Cấm Khê,Cẩm Khê,Lãng Bạc,Hợp Phố.,A,Lịch sử 6,True
Mã Viện chỉ huy một lực lượng bao nhiêu quân tân công nước ta vào tháng 4 năm 42?,"Mười vạn quân, hai nghìn xe thuyền các loại.","Hai vạn quân, hai nghìn xe thuyền các loại.",Ba vạn quân. hai nghìn xe thuyền các loại.,"Bốn vạn quân, hai nghìn xe thuyền các loại.",B,Lịch sử 6,False
"Thời nhà Hán, ngoài việc bắt dân ta công nộp những sản vật quý hiếm, chúng còn bắt dân ta cống nộp:",Thợ dệt khéo tay để dệt vải cho chúng.,"Thợ thủ công khéo tay đưa về Trung Quốc xây dựng cung điện, lăng tâm...",Cống nộp quả vải.,"Cống nộp vàng bạc, châu báu, lâm hải sản quý hiếm.",B,Lịch sử 6,False
Hai thứ thuế bị nhà Hán đánh nặng nhất là:,Thuế rượu và thuế muối.,Thuế chợ và thuế đò.,Thuế muối và thuế sắt.,Thuế ruộng và thuế thân.,C,Lịch sử 6,False
"Sau khi chiếm được nước ta, về tổ chức nhà nước, nhà Hán đã có thay đôi:","Thứ sử là người Hán, trực tiếp cai quản các huyện.","Thái thú là người Hán, trực tiếp cai quản các huyện. ","Huyện lệnh là người Hán, trực tiếp cai quản các huyện.",Cả người Việt và người Hán cùng nắm chức Huyện lệnh.,C,Lịch sử 6,False
"Giữa thế kỉ III, ở quận Cửu Chân đã nổi lên cuộc khởi nghĩa lớn của",Hai Bà Trưng,Bà Triệu,Mai Hắc Đế,Lí Bí,B,Lịch sử 6,True
"Khi khởi nghĩa thất bại, không chịu khuất phục kẻ thù, Bà Triệu (Triệu Thị Trinh) đã anh dũng tuẫn tiết tại:","Sông Hát (Hát Môn, Hà Nội).","Núi Đụn (Thanh Oal, Hà Nội).","Núi Tùng (Hậu Lộc, Thanh Hóa).","Núi Nưa (Hậu Lộc, Thanh Hóa).",C,Lịch sử 6,False
"Để đàn áp cuộc khởi nghĩa của Bà Triệu, nhà Ngô đã cử Lục Dận đem",5000 quân,6000 quân,7000 quân,8000 quân,B,Lịch sử 6,False
"Bộ phận giàu có chỉ là số ít, gọi chung là quý tộc bao gồm:",Hào trưởng Việt.,"Lạc tướng, Bồ chính.",Quan lại đô hộ.,"Hào trưởng Việt, địa chủ Hán.",D,Lịch sử 6,False
"Về mặt hành chính, chính quyền đô hộ nhà Lương đã chia nước ta thành:",Hai quận (Giao Chỉ và Cửu Chân).,"Ba quận (Giao Chỉ, Cửu Chân và Nhật Nam).","Sáu châu (Giao Châu, Ái Châu, Đức Châu, Lợi Châu, Minh Châu, Hoàng Châu).","Sáu châu (Giao Chỉ, Giao Châu, Ái Châu, Đức Châu, Minh Châu, Hoàng Châu).",C,Lịch sử 6,True
"Khi được nhà Lương phong cho chức “gác công thành”, Thiều tỏ thái độ:","Thần phục, chấp nhận.",Phản kháng chống lại nhà Lương.,"Bất bình, bỏ về quê.",Tập hợp lực lượng chống lại nhà Lương.,C,Lịch sử 6,True
Lý Bí phất cờ khởi nghĩa năm,541,542,543,544,B,Lịch sử 6,False
"Đầu thế kỉ VI, đô hộ Giao Châu là",nhà Hán,nhà Ngô,nhà Lương,nhà Tần,C,Lịch sử 6,True
"Lý Bí lên ngôi hoàng đế, sử cũ gọi là",Lý Bắc Đế.,Lý Đông Đế.,Lý Tây Đế.,Lý Nam Đế.,D,Lịch sử 6,False
Cuộc cách mạng tư sản Anh giữa thế kỉ XVII diễn ra dưới hình thức,Một cuộc nội chiến.,Một cuộc chiến tranh giải phóng dân tộc.,Cuộc chiến tranh giải phóng dân tộc kết hợp với nội chiến.,Một cuộc cải cách theo hướng tư bản chủ nghĩa.,A,Lịch sử 8,False
Nguyên nhân cơ bản nào chứng minh Cách mạng tư sản Pháp 1789 là cuộc cách mạng tư sản triệt để nhất?.,Cách mạng thi hành nhiều biện pháp kiên quyết để trừng trị bọn phản cách mạng.,"Cách mạng lật đổ chế độ phong kiến, giải quyết vấn đề ruộng đất cho nhân dân, đưa giai cấp tư sản lên cầm quyền.",Thiết lập được nền cộng hoà tư sản,Cách mạng đã đạt tới đỉnh cao với nền chuyên chính dân chủ Gia – cô – banh.,D,Lịch sử 8,True
"Các Mác viết: “Thắng lợi của giai cấp tư sản có nghĩa là thắng lợi của chế độ xã hội mới, thắng lợi của chế độ tư hữu tư bản chủ nghĩa đối với chế độ phong kiến”, Đó là ý nghĩa lịch sử của cuộc cách mạng tư sản nào?",Cách mạng tư sản Hà Lan.,Cách mạng tư sản Anh.,Chiến tranh giành độc lập ở Bắc Mĩ.,Cách mạng tư sản Pháp.,B,Lịch sử 8,False
"Ngày 26 - 3 - 2872, diễn ra sự kiện lịch sử gì ở Pháp?",Quốc dân quân đánh chiếm các trụ sở của Chính phủ lâm thời.,Lá cờ cách mạng phất phới tung bay trên nóc nhà thị chính.,Tổ chức bầu cử Hội đồng công xã.,Hội đồng công xã làm lễ ra mắt trước quốc dân đồng bào.,C,Lịch sử 8,False
"Tháng 1-1942, mặt trận Đồng minh thành lập nhằm mục đích gì?",Chống lại sự tấn công của phát xít Đức ở châu Âu.,Trả thù sự tấn công của Nhật vào hạm đội Mĩ.,Đoàn kết và tập hợp các lực lượng trên toàn thế giới để tiêu diệt chủ nghĩa phát xít.,Liên kết giữa khối phát xít và khối các nước đế quốc để chống Liên Xô.,C,Lịch sử 8,True
Giêm-ha-gri-vơ sáng chế ra máy kéo sợi Gien Ny cho năng xuất gấp :,7 lần,6 lần,5 lần,8 lần,D,Lịch sử 8,True
"Bên cạnh chính sách khai thác, bóc lột Ấn Độ thực dân Anh còn thi hành chính sách thâm độc nào?","Lợi dụng sự khác biệt về đẳng cấp, tôn giáo để đàn áp nhân dân Ấn Độ.","Áp dụng chính sách ""chia để trị"".",Thi hành chính sách “ngu dân”.,Khuyến khích những tập quán lạc hậu và phản động thời cổ xưa.,B,Lịch sử 8,True
Chế độ chính trị của Mĩ là,Cộng hòa,Quân chủ chuyên chế,Quân chủ lập hiến,Phong kiến,A,Lịch sử 8,True
Cuộc khủng hoảng kinh tế ở Mĩ đạt đến đỉnh cao nhất vào năm nào?,Năm 1929,Năm 1931,Năm 1932,Năm 1933,C,Lịch sử 8,True
"Trước cách mạng, ở Pháp đẳng cấp nào được hưởng đặc quyền, không phải đóng thuế?",Đẳng cấp tăng lữ.,Đẳng cấp quý tộc.,Đẳng cấp thứ ba.,Đẳng cấp tăng lữ và quý tộc.,D,Lịch sử 8,True
Anh xâm lược và đặt ách Cai trị ở Ấn Độ vào thời gian nào?,Thế kỉ X,Thế kỉ XI,Thế kỉ XII,Thế kỉ XIII,D,Lịch sử 8,False
Nhân dân Trung Quốc chống Anh xâm lược – Chiến tranh thuốc phiện vào năm,1840- 1844,1840- 1843,1840- 1841,1840- 1842,D,Lịch sử 8,True
"Cuối thế kỉ XIX, thực dân Pháp hoàn thành quá trình xâm lược các nước nào ở Đông Nam Á?","Thái Lan, Việt Nam, Cam-pu-chia.","Việt Nam, Lào, Cam-pu-chia.","Việt Nam, Lào, Cam-pu-chia, Thái Lan.","Việt Nam, Lào, Cam-pu-chia, Xin-ga-po.",C,Lịch sử 8,False
Hậu quả của chiến tranh thế giới thứ nhất mà các nước Châu Âu phải gánh chịu là gì?,Các nước thắng trận và bại trận đều bị suy sụp về kinh tế,Xuất hiện một số quốc gia mới,Cao trào cách mạng bùng nổ mạnh mẽ,Sự khủng hoảng về chính trị,A,Lịch sử 8,True
Thành tựu lớn nhất trong lĩnh vực quân sự cuối thế kỉ XVIII đầu thế kỉ XIX là gì?,"Nhiều vũ khí mới được sản xuất: đại bác, chiến hạm, thủy lôi...",Chế tạo được súng trường bắn nhanh và xa.,Chiến hạm chân vịt có trọng tải lớn.,Khí cầu dùng để trinh sát trận địa đối phương.,A,Lịch sử 8,True
Ngày 28 - 8 - 1789 diễn ra sự kiện lịch sử nào ở Pháp?,"Công nhân, thợ thủ công đánh chiếm nhà tù Ba-xti.",Bản Tuyên ngôn Nhân quyền và Dân quyền ra đời.,Quốc hội lập hiến thông qua Hiến pháp mới.,Quốc hội lập hiến tuyên bố xóa bỏ mọi nghĩa vụ của nông dân.,B,Lịch sử 8,True
Nước Nga trải qua bao nhiêu năm chiến tranh đế quốc và nội chiến?,4 năm chiến tranh đế quốc và 3 nội chiến,5 chiến tranh đế quốc và 3 nội chiến,3 chiến tranh đế quốc và 4 nội chiến,4 chiến tranh đế quốc và 2 nội chiến,A,Lịch sử 8,False
Anh công nhận nền độc lập của 13 bang thuộc địa Anh ở Bắc Mĩ bằng văn kiện nào?,Hòa ước Mác xây.,Hòa ước Brer-li-tốp.,Hiệp ước Véc-xai.,Hiệp định Giơ-ne-vơ.,C,Lịch sử 8,True
Kinh tế Nhật Bản phát triển mau lẹ là do,"Việc đẩy mạnh công nghiệp hóa, tập trung công nghiệp, thương nghiệp và ngân hàng",Số tiền bồi thường chiến phí và của cải cướp được ở Triều Tiên và Trung Quốc.,Do sự bóc lột tàn tệ của giới chủ nhân.,Ảnh hưởng của cách mạng Nga 1905.,B,Lịch sử 8,True
Nga tham chiến vào chiến tranh thế giới thứ nhất đã đẩy đất nước vào tình trạng,"Nạn thất nghiệp tăng nhanh, nạn đói xảy ra trầm trọng.",Bị các nước đế quốc thôn tính.,Khủng hoảng trầm trọng về kinh tế.,"Khủng hoảng trầm trọng về kinh tế, chính trị, xã hội.",D,Lịch sử 8,True
Ý nào không phản ánh đúng tình trạng kinh tế nước Anh trước khi cách mạng tư sản bùng nổ?,Nội thương và ngoại thương nước Anh phát triển rất mạnh mẽ,"Quan hệ tiền tệ đã thâm nhập vào nông thôn nước Anh, làm thay đổi cơ cấu kinh tế và cách thức kinh doanh","Quan hệ sản xuất tư bản chủ nghĩa ở Anh đã phát triển cả trong công nghiệp, nông nghiệp và thương nghiệp.",Nền sản xuất nước Anh đã sử dụng máy móc và máy hơi nước,D,Lịch sử 8,True
Ý nào không phản ánh đúng tình trạng kinh tế nước Pháp trước khi các mạng tư sản bùng nổ?,"Nền kinh tế Pháp ở thế kỉ XVII đã phát triển khá mạnh, nhất là về công nghiệp và thương nghiệp","Mậu dịch nước Pháp rất phát triển, nước Pháp chiếm một nửa số tiền tệ của toàn Châu Âu","Nông nghiệp nước Pháp phát triển mạnh theo hướng sản xuất tư bản chủ nghĩa, hỗ trợ cho công nghiệp.","Máy hơi nước và máy móc đã xuất hiện ở Pháp, nhưng chưa được áp dụng phổ biến",C,Lịch sử 8,True
Ý nào không phản ánh đúng ý nghĩa của cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh của Bắc Mỹ?,Giải phóng nhân dân các thuộc địa Anh khỏi ách thống trị thực dân,Đưa đến sự thành lập của nhà nước tư sản đầu tiên ở ngoài Châu Âu,Thúc đẩy phong trào đấu tranh giành độc lập ở nhiều nước trên thế giới.,Là cuộc cách mạng tư sản triệt để nhất trong lịch sử,D,Lịch sử 8,True
Ý nào không phản ánh hệ quả của các cuộc cách mạng công nghiệp?,"Tạo ra những chuyển biến to lớn về kinh tế - xã hội, làm thay đổi bộ mặt của các nước tư bản",Nâng cao năng suất lao động,Khẳng định sự thắng lợi của chế độ phong kiến,"Thúc đẩy quá trình tìm kiếm thị trường, xâm lược thuộc địa.",C,Lịch sử 8,True
Ý nào phản ánh đúng về thời gian mở rộng của chủ nghĩa tư bản ở châu Mỹ?,Nửa đầu thế kỉ XX,Nửa đầu thế kỉ XXI,Nửa đầu thế kỉ XIX,Nửa đầu thế kỉ XVIII,C,Lịch sử 8,False
Ý nào không đúng khi nói về kết quả của cuộc Cách mạng Tân Hợi năm 1911?,"Lật đổ triều đại Mãn Thanh, chấm dứt chế độ quân chủ chuyên chế",Giúp Trung Quốc tránh được nguy cơ bị xâm lược từ các cường quốc thực dân phương Tây,Đã không thực sự thủ tiêu giai cấp phong kiến,Mở đường cho chủ nghĩa tư bản phát triển ở Trung Quốc,B,Lịch sử 8,True
Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là,xuất hiện giai cấp tư sản và vô sản,sự ra đời của các tổ chức độc quyền,chiến tranh đế quốc nhằm phân chia thuộc địa,mâu thuẫn xã hội gay gắt,B,Lịch sử 8,True
Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Sự bình đẳng về mọi mặt giữa các dân tộc,Quyền dân tộc tự quyết của các dân tộc,Xây dựng một cộng đồng anh em giữa các dân tộc,Sáp nhập các nước cộng hoà Xô viết và nước Nga,D,Lịch sử 8,True
Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?,Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau,Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết,"Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà",Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành,D,Lịch sử 8,True
Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?,"Thực hiện cải cách kinh tế từng bước, có chọn lọc",Chủ trương xây dựng nền kinh tế tập trung do Nhà nước quản lí,Chú trọng phát triển công nghiệp quốc phòng,"Chú trọng đến các ngành nghề mới như: công nghiệp du lịch, công nghệ sinh học, khai thác dầu khí,...",C,Lịch sử 8,True
Ý nào không phải nguyên nhân khiến Đông Nam Á hải đảo là đối tượng đầu tiên thu hút sự chú ý của thực dân phương Tây?,Khu vực giàu tài nguyên,Có nguồn hương liệu và hàng hoá phong phú,Nằm trên tuyến đường biển huyết mạch,"Cư dân có truyền thống lao động cần cù, chăm chỉ",D,Lịch sử 8,True
Điểm chung trong chính sách cai trị về chính trị của các nước thực dân phương Tây ở Đông Nam Á là gì?,Vẫn duy trì các thế lực phong kiến địa phương như một công cụ để thi hành chính sách cai trị,Chỉ có đại diện chính quyền thực dân mới được thi hành chính sách cai trị,Sử dụng quân đội từ chính quốc để bảo vệ bộ máy cai trị thực dân,Thiết lập nền thống trị bằng hình thức giống nhau,A,Lịch sử 8,False
"Trong giai đoạn đầu sau khi giành độc lập, các nước Đông Nam Á đã thực hiện chiến lược phát triển kinh tế nào?",Chiến lược công nghiệp hóa thay thế nhập khẩu,Chiến lược công nghiệp hoá hướng về xuất khẩu,"Chiến lược công nghiệp hoá nông nghiệp, đẩy mạnh xuất khẩu","Chiến lược công nghiệp hoá, hiện đại hoá",D,Lịch sử 8,False
Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?,Năm 1918,Năm 1917,Năm 1919,Năm 1922,B,Lịch sử 8,True
"Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?",V.I.Xta - lin,M. Gooc - ba - chốp,N. Khơ - rút - xốp,Bre - giơ - nhép,A,Lịch sử 8,False
"Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở","Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh",Đông Âu và một số nước Châu Á,một số nước Châu Á và khu vực Mỹ la tinh,"một số nước Tây Âu, Đông Âu và khu vực Mỹ la tinh",A,Lịch sử 8,False
Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?,Năm 1976,Năm 1978,Năm 1982,Năm 1986,D,Lịch sử 8,True
"Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?",Đứng vị trí thứ tám trên thế giới,Đứng vị trí thứ năm trên thế giới,Đứng vị trí thứ ba trên thế giới,Đứng vị trí thứ hai trên thế giới,D,Lịch sử 8,False
"Đến đầu thế kỉ XX, hầu hết các nước Đông Nam Á đều trở thành thuộc địa của thực dân phương Tây ngoại trừ",Phi-líp-pin,Xiêm ( Thái Lan),Xin-ga-po,Miến Điện (Mi-an-ma),B,Lịch sử 8,True
"Nửa cuối thế kỉ XIX, nhiệm vụ cấp thiết đặt ra cho nước Đức và I-ta-lia là gì?",Thoát khỏi ách thống trị của nước ngoài,Thành lập chính quyền của giai cấp tư sản,"Xoá bỏ tính mạng phân tán về chính trị, thống nhất đất nước",Giải quyết vấn đề ruộng đất cho nông dân,B,Lịch sử 8,True
Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là,xuất hiện giai cấp tư sản và vô sản,sự ra đời của các tổ chức độc quyền,chiến tranh đế quốc nhằm phân chia thuộc địa,mâu thuẫn xã hội gay gắt,B,Lịch sử 8,True
