,Câu hỏi,A,B,C,D,Answer,Grade
634,Hàng hóa có hai thuộc tính là,Giá trị và giá cả,Giá trị trao đổi và giá trị sử dụng,Giá cả và giá trị sử dụng,Giá trị và giá trị sử dụng,D,GDCD 11
635,Hàng hóa có thể trao đổi được với nhau vì,Chúng đều có giá trị và giá trị sử dụng,Chúng đều có giá trị sử dụng khác nhau,Chúng có giá trị bằng nhau,Chúng đều là sản phẩm của lao động,C,GDCD 11
636,Giá trị của hàng hóa được biểu hiện thông qua,Giá trị trao đổi,Giá trị sử dụng,Chi phí sản xuất,Hao phí lao động,A,GDCD 11
637,Tiền thực hiện chức năng thước đo giá trị khi,Tiền dùng để đo lường và biểu hiện giá trị của hàng hóa,Tiền làm môi giới trong quá trình trao đổi hàng hóa,Tiền được dùng để chi trả sau khi giao dịch,Tiền dùng để cất trữ,A,GDCD 11
638,"Tiền được dùng để chi trả sau khi giao dịch, mua bán. Khi đó tiền thực hiện chức năng gì dưới đây?",Thước đo giá trị,Phương tiện lưu thông,Phương tiện cất trữ,Phương tiện thanh toán,D,GDCD 11
639,Bà A bán thóc được 2 triệu đồng. Bà dùng tiền đó mua một chiếc xe đạp. Trong trường hợp này tiền thực hiện chức năng gì dưới đây?,Thước đo giá trị,Phương tiện lưu thông,Phương tiện cất trữ,Phương tiện thanh toán,B,GDCD 11
640,"Trên thị trường, các chủ thể kinh tế tác động qua lại lần nhau để xác định",Chất lượng và số lượng hàng hóa,Gía trị và giá trị sử dụng của hàng hóa,Giá cả và giá trị sử dụng của hàng hóa,Giá cả và số lượng hàng hóa,D,GDCD 11
641,Thông tin của thị trường giúp người mua,Biết được giá cả hàng hóa trên thị trường,Mua được hàng hóa mình cần,Biết được số lượng và chất lượng hàng hóa,Điều chỉnh việc mua sao cho có lợi nhất,D,GDCD 11
642,Sản xuất và lưu thông hàng hóa phải dựa trên cơ sở nào dưới đây?,Thời gian lao động cá biệt để sản xuất ra hàng hóa,Thời gian lao động xã hội cần thiết để sản xuất ra hàng hóa,Thời gian cần thiết để sản xuất ra hàng hóa,Chi phí để sản xuất ra hàng hóa,B,GDCD 11
643,Người sản xuất vi phạm quy luật giá trị trong trường hợp nào dưới đây?,Thời gian lao động cá biệt bằng thời gian lao động xã hội cần thiết,Thời gian lao động cá biệt lớn hơn thời gian lao động xã hội cần thiết,Thời gian lao đông cá biệt nhỏ hơn thời gian lao động xã hội cần thiết,Thời gian lao đông cá biệt lớn hơn thời gian lao động xã hội cần thiết,B,GDCD 11
644,Quy luật giá trị yêu cầu tổng giá trị hàng hóa sau khi bán phải bằng,Tổng chi phí để sản xuất ra hàng hóa,Tổng giá trị hàng hóa được tạo ra trong quá trình sản xuất,Tổng số lượng hàng hóa được tạo ra trong quá trình sản xuất,Tổng thời gian để sản xuất ra hàng hóa,B,GDCD 11
645,Một trong những mặt tích cực của quy luật giá trị là,Người sản xuất có thể sản xuất nhiều loại hàng hóa,Người tiêu dùng mua được hàng hóa rẻ,Người sản xuất ngày càng giàu c,"Kích thích lực lượng sản xuất, năng xuất lao động tăng",D,GDCD 11
646,Điều tiết sản xuất là,Phân phối lại chi phí sản xuất giữa ngành này với ngành khác,Sự phân phối lại các yếu tố của quá trình sản xuất từ ngành này sang ngành khác,Điều chỉnh lại số lượng hàng hóa giữa ngành này với ngành khác,Điều chỉnh lại số lượng và chất lượng hàng hóa giữa các ngành,B,GDCD 11
647,Phương án nào dưới đây lí giải nguyên nhân dẫn đến cạnh tranh?,Do nền kinh tế thị trường phát triển,"Do tồn tại nhiều chủ sở hữu với tư cách là những đơn vị kinh tế độc lập, tự do sản xuất kinh doanh",Do Nhà nước khuyến khích các doanh nghiệp phát triển,Do quan hệ cung-cầu tác động đến người sản xuất kinh doanh,B,GDCD 11
648,Mục đích cuối cùng của cạnh tranh là,Giành hàng hóa tối về mình,Giành hợp đồng tiêu thụ hàng hóa,Giành lợi nhuận về mình nhiều hơn người khác,Giành thị trường tiêu thụ rộng lớn,C,GDCD 11
649,Nội dung nào dưới đây thể hiện mặt hạn chế của cạnh tranh?,Khai thác tối đa mọi quyền lực của đất nước,"Một số người sử dụng những thủ đoạn phi pháp, bất lương",Triệt tiêu các doanh nghiệp cùng ngành,Thu lợi nhuận về mình nhiều hơn người khác,B,GDCD 11
650,Việc sản xuất và kinh doanh hàng giả là mặt hạn chế nào dưới đây của cạnh tranh?,Làm cho môi trường suy thoái và mất cân bằng nghiêm trọng,"Sử dụng những thủ đoạn phi pháp, bất lương",Đầu cơ tích trữ gây rối loạn thị trường,Phân hóa giàu – nghèo giữa những người sản xuất,B,GDCD 11
651,Phương án nào dưới đây thể hiện mặt hạn chế của cạnh tranh?,Làm cho cung lớn hơn cầu,Đầu cơ tích lũy gây rối loạn thị trường,Tiền giấy khan hiếm trên thị trường,Gây ra hiện tượng lạm phát,B,GDCD 11
652,Hành vi xả nước thải chưa xử lí ra sông của Công ty V trong hoạt động sản xuất thể hiện mặt hạn chế nào dưới đây trong cạnh tranh?,"Sử dụng những thủ đoạn phi pháp, bất lương",Gây rối loạn thị trường,Làm cho môi trường suy thoái và mất cân bằng nghiêm trọng,Làm cho nền kinh tế bị suy thoái,C,GDCD 11
653,"Cung là khối lượng hàng hóa, dịch vụ",Đang lưu thông trên thị trường,Hiện có trên thị trường và chuẩn bị đưa ra thị trường,Đã có mặt trên thị trường,Do các doanh nghiệp sản xuất đưa ra thị trường,B,GDCD 11
654,"Giả sử cung về ô tô trên thì trường là 30.000 chiếc, cầu về mặt hàng này là 20.000 chiếc, giả cả của mặt hàng này trên thị trường sẽ",Giảm,Tăng,Tăng mạnh,ổn định,A,GDCD 11
655,Vận dụng quan hệ cung – cầu để lí giải tại sao có tình trạng “cháy vé” trong một buổi ca nhạc có nhiều ca sĩ nổi tiếng biểu diễn?,Do cung = cầu,Do cung > cầu,Do cung < cầu,"Do cung, cầu rối loạn",C,GDCD 11
656,"Khi cầu về mặt hàng quạt điện giảm mạnh vào mùa đông, yếu tố nào dưới đây của thị trường sẽ giảm theo?",Cạnh tranh,Giá trị,Giá trị sử dụng,Giá cả,D,GDCD 11
657,"Gia đình H có 1 ha trồng rau sạch cung cấp cho thị trường, hiện nay giá của các loại rau sạch đều tăng. Bố H quyết định mở rộng diện tích trồng, mẹ H thì muốn giữ nguyên quy mô sản xuất, chị H thì lại khuyên thu hẹp diện tích gieo trồng. Theo em, nên làm theo ý kiến của ai để gia đình H có them lợi nhuận?",Mẹ H,Bố H,Chị H,Mẹ H và chị H,B,GDCD 11
658,"Nội dung nào dưới đây thể hiện tính tất yếu của quá trình công nghiệp hóa, hiện đại hóa ở nước ta?",Do yêu cầu phải phát triển đất nước,Do yêu cầu phải rút ngắn khoảng cách tụt hậu so với các nước khác,"Do yêu cầu phải xây dựng cơ cấu kinh tế hiện đại, hiệu quả",Do yêu cầu phải xây dựng nền kinh tế tri thức,B,GDCD 11
659,Công nghiệp hóa là gì,Tất yếu khách quan đối với các nước đi lên chủ nghĩa xã hội,"Tất yếu khách quan đối với các nước nghèo, lạc hậu",Nhu cầu của các nước kém phát triển,Quyền lợi của các nước nông nghiệp,A,GDCD 11
660,Mục đích của công nghiệp hóa là,Tạo ra năng suất lao động cao hơn,Tạo ra một thị trường sôi động,Tạo ra nhiều cơ hội hơn cho người lao động,Xây dựng cơ cấu kinh tế hiện đại,A,GDCD 11
661,"Một trong những nội dung cơ bản của công nghiệp hóa, hiện đại hóa ở nước ta hiện nay là gì?",Xây dựng cơ sở vật chất kĩ thuật của chủ nghĩa xã hội,Rút ngắn khoảng cách lạc hậu so với các nước phát triển,Phát triển mạnh mẽ lực lượng sản xuất,Tạo ra năng suất lao động xã hội cao,C,GDCD 11
662,Thành phần kinh tế là,Một hình thức sở hữu cơ bản về tư liệu sản xuất,Kiểu quan hệ kinh tế dựa trên một hình thức sở hữu nhất định về tư liệu sản xuất,Các kiểu quan hệ kinh tế khác nhau trong xã hội,Các kiểu tổ chức sản xuất kinh doanh khác nhau trong nền kinh tế,B,GDCD 11
663,Chính sách phát triển nền kinh tế mà Đảng bà Nhà nước ta đang thực hiện là gì?,Kinh tế thị trường tự do cạnh tranh,Kinh tế nhiều thành phần định hướng xã hội chủ nghĩa,Kinh tế thương mại tăng cường hội nhập,Kinh tế tư nhân theo hướng xã hội hóa,B,GDCD 11
664,Kinh tế tư nhân có cơ cấu bao gồm,"Kinh tế cá thể, tiểu chủ và kinh tế tập thể","Kinh tế cá thể, tiểu chủ và kinh tế tư bản tư nhân",Kinh tế tập thể và kinh tế có vốn đầu tư nước ngoài,Kinh tế tư bản tư nhân và tư bản nhà nước,B,GDCD 11
665,Việc làm nào dưới đây thể hiện trách nhiệm của công dân đối với việc thực hiện nền kinh tế nhiều thành phần?,Tiếp thu và ứng dụng những thành tựu khoa học và công nghệ hiện đại vào sản xuất,"Tích cực tham gia vào các hoạt động xây dựng, bảo vệ chính quyền",Chủ động tìm kiếm việc làm ở các ngành nghề thuộc các thành phần kinh tế phù hợp với khả năng của bản thân,Thường xuyên học tập nâng cao trình độ học vấn,C,GDCD 11
666,Kinh tế nước ta là thành phần kinh tế,Dựa trên hình thức sở hữu tập thể về tư liệu sản xuất,Dựa trên một hình thức sở hữu nhất định về tư liệu sản xuất,Dựa trên hình thức sở hữu nhà nước về tư liệu sản xuất,Dựa trên nhiều hình thức sở hữu về tư liệu sản xuất,B,GDCD 11
667,Một trong những vai trò của sản xuất của cải vật chất là,Cơ sở tồn tại của xã hội.,Tạo ra các giá trị vật chất và tinh thần.,Giúp con người có việc làm.,Thúc đẩy tăng trưởng kinh tế.,A,GDCD 11
668,"Trong các yếu tố cấu thành tư liệu lao động, yếu tố nào dưới đây quan trọng nhất?",Kết cấu hạ tầng của sản xuất.,Công cụ lao động.,Hệ thống bình chứa của sản xuất.,Cơ sở vật chất.,B,GDCD 11
669,Yếu tố nào dưới đây là một trong những đối tượng lao động trong ngành Công nghiệp khai thác?,Máy cày.,Than.,Sân bay.,Nhà xưởng.,B,GDCD 11
670,Những yếu tố tự nhiên mà lao động của con người tác động vào được gọi là,Đối tượng lao động,Tư liệu lao động,Tài nguyên thiên nhiên,Nguyên liệu,A,GDCD 11
671,Căn cứ vào cơ sở nào dưới đây để phân biệt một vài vật là đối tượng lao động hay tư liệu lao động?,Mục đích sử dụng gắn với chức năng,Khả năng sử dụng,Nguồn gốc của vật đó,Giá trị của vật đó,A,GDCD 11
672,"Tăng trưởng kinh tế gắn liền với cơ cấu kinh tế hợp lí, tiến bộ và công bằng xã hội là",Phát triển kinh tế,Thúc đẩy kinh tế,Thay đổi kinh tế,Ổn định kinh tế,A,GDCD 11
673,"Bác B nuôi được 20 con gà. Bác để ăn 3 con, cho con gái 2 con. Số còn lại bác mang bán. Hỏi số gà của bác B có bao nhiêu con gà là hàng hóa?",5 con,20 con,15 con,3 con,C,GDCD 11
674,Hàng hóa có thể trao đổi được với nhau vì,Chúng đều có giá trị và giá trị sử dụng,Chúng đều có giá trị sử dụng khác nhau,Chúng có giá trị bằng nhau,Chúng đều là sản phẩm của lao động,C,GDCD 11
675,"Trong nền sản xuất hàng hóa, giá cả hàng hóa là",Quan hệ giữa người bán và người mua,Biểu hiện bằng tiền của giá trị hàng hóa,Giá trị của hàng hóa,Tổng chi phí sản xuất và lợi nhuận,B,GDCD 11
676,Tiền tệ có mấy chức năng?,Hai chức năng,Ba chức năng,Bốn chức năng,Năm chức năng,D,GDCD 11
677,Quy luật giá trị tồn tại ở nền sản xuất nào dưới đây?,Nền sản xuất tư bản chủ nghĩa,Nền sản xuất xã hội chủ nghĩa,Nền sản xuất hàng hóa,Mọi nền sản xuất,C,GDCD 11
678,Yếu tố nào dưới đây làm cho giá cả hàng hóa có thể cao hơn hoặc thấp hơn giá trị của hàng hóa?,"Cung-cầu, cạnh tranh",Nhu cầu của người tiêu dùng,Khả năng của người sản xuất,Số lượng hàng hóa trên thị trường,A,GDCD 11
679,Một trong những mặt tích cực của quy luật giá trị là,Người sản xuất có thể sản xuất nhiều loại hàng hóa,Người tiêu dùng mua được hàng hóa rẻ,Người sản xuất ngày càng giàu có,"Kích thích lực lượng sản xuất, năng xuất lao động tăng",D,GDCD 11
680,"Để sản xuất ra một cái áo, thời gian lao động của anh A là 1 giờ, anh B là 2 giờ, anh C là 3 giờ. Trên thị trường, xã hội thừa nhận mua bán với thời gian là 2 giờ. Trong 3 người trên, ai thực hiện tốt quy luật giá trị?",Anh A,Anh B,Anh C,Anh a và anh B,D,GDCD 11
681,Nguyên nhân dẫn đến cạnh tranh trong sản xuất và lưu thông hàng hóa xuất phát từ,Sự tồn tại nhiều chủ sở hữu,Sự gia tăng sản xuất hàng hóa,Nguồn lao động dồi dào trong xã hội,Sự thay đổi cung-cầu,A,GDCD 11
682,Mục đích cuối cùng của cạnh tranh là,Giành lợi nhuận về mình nhiều hơn người khác,Giành uy tín tuyệt đối cho doanh nghiệp mình,Gây ảnh hưởng trong xã hội,Phuc vụ lợi ích xã hội,A,GDCD 11
683,Mọi sự cạnh tranh diễn ra theo đúng pháp luật và gắn liền với các mặt tích cực là cạnh tranh,Lành mạnh,Tự do,Hợp lí,Công bằng,A,GDCD 11
684,"Bên cạnh những thuận lợi thì hộp nhập kinh tế quốc tế cũng đem lại những khó khăn thách thức cho các doanh nghiệp, đó là",Cạnh tranh ngày càng nhiều,Cạnh tranh sẽ ngày càng khốc liệt,Tăng cường quá trình hợp tác,Nâng cao năng lực cạnh tranh,B,GDCD 11
685,Biểu hiện nào dưới đây không phải là cung?,Công ty sơn H hàng tháng sản xuất được 3 triệu thùng sơn để đưa ra thị trường,Quần áo được bày bán ở các cửa hàng thời trang,Đồng bằng sông Cửu Long chuẩn bị thu hoạch 10 tấn lúa để xuất khẩu,"Rau sạch được các hộ gia đình trồng để ăn, không bán",D,GDCD 11
686,Khi nhu cầu của người tiêu dùng về mặt hàng nào đó tăng cao thì người sản xuất sẽ làm theo phương án nào dưới đây?,Thu hẹp sản xuất,Mở rộng sản xuất,Giữ nguyên quy mô sản xuất,Tái cơ cấu sản xuất,B,GDCD 11
687,Ở trường hợp cung – cầu nào dưới đây thì người sản xuất bị thiệt hại?,Cung = cầu,Cung > cầu,Cung < cầu,Cung ≤ cầu,B,GDCD 11
688,"Giả sử cầu về lượng bia trong dịp Tết Nguyên đán là 12 triệu lít, cung về lượng bia là 15 triệu lít. Số liệu trên phản ánh",Cung = cầu,Cung > cầu,Cung < cầu,Cung ≤ cầu,B,GDCD 11
689,Cung – cầu trên thị trường bị ảnh hưởng bởi yếu tố nào dưới đây?,Người sản xuất,Giá cả,Hàng hóa,Tiền tệ,B,GDCD 11
690,"Để tực hiện công nghiệp hóa, hiện đại hóa cần chuyển đổi căn bản, toàn diện các hoạt động nào dưới đây?",Hoạt động kinh tế và quản lí kinh tế - xã hội,Hoạt động nghiên cứu khoa học,Hoạt động chính trị - xã hội,Hoạt động văn hóa – xã hội,D,GDCD 11
691,"Phương án nào dưới đây xác định đứng trách nhiệm của công dân đối với sự nghiệp công nghiệp hóa, hiện đại hóa đát nước ?","Phê phán, đấu tranh với hành vi cạnh tranh không lành mạnh",Tiếp thu và ứng dụng những thành tựu khoa học – công nghệ hiện đại vào sản xuất,Sẵn sang tham gia xây dựng chủ nghĩa xã hội,Coi trọng đúng mức vai trò của hàng hóa và sản xuất hàng hóa,A,GDCD 11
692,Những tiêu thương bán hàng ở chợ thuộc thành phần kinh tế nào dưới đây?,Kinh tế tập thể,Kinh tế tư nhân,Kinh tế nhà nước,Kinh tế có vốn đầu tư nước ngoài,B,GDCD 11
693,"Nhiều người cùng góp vốn thành lập nên Hợp tác xã vận tải Đức Phúc chuyên kinh doanh dịch vụ vận chuyển hành khách, đây là thành phần kinh tế nào dưới đây?",Kinh tế tập thể,Kinh tế tư nhân,Kinh tế nhà nước,Kinh tế có vốn đầu tư nước ngoài,A,GDCD 11
694,Thực hiện nền kinh tế nhiều thành phần mang lại hiệu quả nào dưới đây?,Tạo ra một thị trường sôi động,Làm cho các giá trị kinh tế được phát triển,Làm cho các mối quan hệ kinh tế- xã hội trở nên tốt đẹp hơn,"Tạo nhiều vốn, nhiều việc làm, thúc đẩy tăng trưởng kinh tế",D,GDCD 11
695,"Khi phát hiện một cửa hàng chuyên tiêu thụ hàng giả, em sẽ làm theo phương án nào dưới đây?",Vẫn mua hàng hóa ở đó vì giá rẻ hơn nơi khác,Không đến cửa hàng đó mua hàng nữa,Báo cho cơ quan chức năng biết,Tự tìm hiểu về nguồn gốc số hàng giả đó,C,GDCD 11
696,Ý kiến nào dưới đây không đúng khi bàn về cạnh tranh?,Cạnh tranh là quy luật kinh tế khách quan,Cạnh tranh có hai mặt: mặt tích cực và mặt hạn chế,Mặt tích cực của cạnh tranh là cơ bản,Mặt hạn chế của cạnh tranh là cơ bản,B,GDCD 11
697,Loại cạnh tranh nào dưới đây là động lực của nền kinh tế?,Cạnh tranh trong nội bộ ngành,Cạnh tranh lành mạnh,Cạnh tranh giữa các ngành,Cạnh tranh giữa người bán và người mua,D,GDCD 11
698,Sản xuất và lưu thông hàng hóa phải dựa trên cơ sở nào dưới đây?,Thời gian lao động cá biệt để sản xuất ra hàng hóa,Thời gian lao động xã hội cần thiết để sản xuất ra hàng hóa,Thời gian cần thiết để sản xuất ra hàng hóa,Chi phí để sản xuất ra hàng hóa,B,GDCD 11
699,Quy luật giá trị yêu cầu người sản xuất phải đảm bảo sao cho,Thời gian lao động cá biệt bằng thời gian lao động xã hội cần thiết,Thời gian lao động cá biệt lớn hơn thời gian lao động xã hội cần thiết,Lao động cá biệt nhỏ hơn lao động xã hội cần thiết,Lao động cá biết ít hơn lao động xã hội cần thiết,A,GDCD 11
700,Người sản xuất vi phạm quy luật giá trị trong trường hợp nào dưới đây?,Thời gian lao động cá biệt bằng thời gian lao động xã hội cần thiết,Thời gian lao động cá biệt lớn hơn thời gian lao động xã hội cần thiết,Thời gian lao đông cá biệt nhỏ hơn thời gian lao động xã hội cần thiết,Thời gian lao đông cá biệt lớn hơn thời gian lao động xã hội cần thiết,B,GDCD 11
701,Canh tranh không lành mạnh có dấu hiệu nào dưới đây?,Vi phạm truyền thống văn hóa bà quy định của Nhà nước,Vi phạm văn hóa và vi phạm pháp luật,Vi phạm pháp luật và các chuẩn mực đạo đức,Vi phạm truyền thống và văn hóa dân tộc,C,GDCD 11
702,"Nhu cầu về mặt hàng vật liệu xây dựng tăng mạnh vào cuối năm, nhưng nguồn cung không đáp ứng đủ thì sẽ xảy ra tình trạng gì dưới đây?",Giá vật liệu xây dựng tăng,Giá vật liệu xây dựng giảm,Giá cả ổn định,Thị trường bão hòa,A,GDCD 11
703,Ở trường hợp cung – cầu nào dưới đây thì người tiêu dùng sẽ có lợi khi mua hàng hóa ?,Cung = cầu,Cung > cầu,Cung < cầu,Cung ≤ cầu,B,GDCD 11
704,"Khi giá cả hàng hóa tăng lên thì cung, cầu sẽ diễn biến theo chiều hướng nào dưới đây?","Cung tăng, cầu giảm","Cung giảm, cầu tăng","Cung tăng, cầu tăng","Cung giảm, cầu giảm",A,GDCD 11
705,"Khi giá cả giảm thì cung, cầu sẽ diễn biến theo chiều hướng nào dưới đây?","Cung tăng, cầu giảm","Cung giảm, cầu tăng","Cung tăng, cầu tăng","Cung giảm, cầu giảm",B,GDCD 11
706,Mục tiêu cách mạng mà Đảng và nhân dân ta đang ra sức phấn đầu xây dựng là,Chủ nghĩa quốc tế,Chủ nghĩa xã hội,Chủ nghĩa tư bản,Chủ nghĩa vô sản,B,GDCD 11
707,Chủ nghĩa xã hội mà nước ta đang xây dựng có mấy đặc trưng cơ bản?,Bốn đặc trưng,Sáu đặc trưng,Tám đặc trưng,Mười đặc trưng,C,GDCD 11
708,Nội dung nào dưới đây là đặc trưng cơ bản về chính trị của chủ nghĩa xã hội ở nước ta,"Là một xã hôi dân giàu, nước mạnh, dân chủ, công bằng, văn minh",Do dân làm chủ,"Có nền văn hóa tiên tiến, đậm đà bản sắc dân tộc","Con người được giải phóng khỏi áp bức, bất công",B,GDCD 11
709,Chủ nghĩa xã hội mà nước ta đang xây dựng là một xã hội phát triển,Ưu việt hơn các xã hội trước,Lợi thế hơn các xã hội trước,Nhanh chóng,Tự do,A,GDCD 11
710,Đặc điểm nổi bật và bao trùm của thời quá đọ lên chủ nghĩa xã hội ở nước ta là,"Xã hội dân giàu, nước mạnh, dân chủ, văn minh",Sự tồn tại đan xen và đáu tranh lẫn nhau giữa những yếu tố của xã hội mới và những tàn dư của xã hội cũ,"Các dân tộc trong nước bình đẳng, đoàn kết",Nền kinh tế phát triển với trình độ cao,B,GDCD 11
711,"Đời sống của nhân dân giữa những vùng, miền của đất nước còn có sự chênh lệch là đặc điểm của thời kì quá độ trong lĩnh vực nào dưới đây?",Chính trị,Kinh tế,Tư tưởng và văn hóa,Xã hội,D,GDCD 11
712,Tính dân tộc của Nhà nước ta được thể hiện như thế nào dưới đây?,Nhà nước ta là Nhà nước của các dân tộc,Nhà nước chăm lo lợi ích mọi mặt cho các dân tộc ở Việt Nam,Mỗi dân tộc có bản sắc riêng của mình,Dân tộc nào cũng có chữ viết riêng,B,GDCD 11
713,Tính nhân dân của Nhà nước ta thể hiện ở việc,"Nhà nước ta là Nhà nước của nhân dân, do nhân dân, vì nhân dân",Nhà nước ta là Nhà nước của đại gia đình các dân tộc Việt Nam,Đời sống nhân dân ngày càng tốt hơn,Nhân dân tích cực lao động vì đất nước,A,GDCD 11
714,Nhà nước ta kế thừa và pháp huy những truyền thống tốt đẹp của dân tộc thể hiện,Tính giai cấp của Nhà nước,Tính nhân dân của Nhà nước,Tính dân tộc của Nhà nước,Tính cộng đồng của Nhà nước,C,GDCD 11
715,Khẳng định nào dưới đây không đúng về tính nhân dân của Nhà nước ta?,"Nhà nước ta là Nhà nước của nhân dân, do nhân dân, vì nhân dân lập nên",Nhà nước ta do nhân dân tham gia quản lí,Nhà nước ta do nhân dân quản lí và ban hành pháp luật,"Nhà nước ta thể hiện ý chí, lợi ích và nguyện vọng của nhân dân",C,GDCD 11
716,Chức năng nào dưới đây của Nhà nước ta là căn bản nhất,Chức năng đảm bảo an ninh chính trị,Chức năng tổ chức và xây dựng,"Chức năng đam bảo trật tự, an ninh xã hội",Chức năng tổ chức và giáo dục,B,GDCD 11
717,ý kiến nào dưới đây là đúng về trách nhiệm của công dân trong việc tham gia xây dựng Nhà nước,"Chỉ cán bộ, công chức Nhà nước mới có trách nhiệm xây dựng Nhà nước",Học sinh cũng có trách nhiệm xây dựng Nhà nước,Xây dựng nhà nước là trách nhiệm riêng của những người có chức quyền,Xây dựng Nhà nước là tùy vào tính tự giác mỗi người,B,GDCD 11
718,Hành vi nào dưới đây không thể hiện trách nhiệm của công dân trong việc tham gia xây dựng Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam?,Anh G không vi phạm pháp luật,Anh C không tố giác tội phạm,H tham gia vào đội dân quân tự vệ của phường,Bác D tuyên truyền và vận động mọi người trong khu phố thực hiện tốt pháp luật,B,GDCD 11
719,"Anh A bị một tổ chức chuyên kích động, phá hoại an ninh đất nước mua chuộc và lôi kéo tham gia vào tổ chức đó. Nếu ở trường hợp của anh A, em sẽ chọn cách ứng xử nào dưới đây cho phù hợp?",Rủ thêm một sso người tham gia,Báo cho cơ quan nhà nước có thảm quyền biết,Lờ đi coi như không biết,Vui vẻ tham gia vào tổ chức đó,B,GDCD 11
720,Một trong những nội dung của dân chủ trong lĩnh vực chính trị được thể hiện ở,Quyền bình đẳng nam nữ,Quyền tham gia quản lí nhà nước và xã hội,Quyền tự do kinh doanh,Quyền tự do lựa chọn nơi ở và làm việc,B,GDCD 11
721,Quyền nào dưới đây là một trong những nội dung của dân chủ trong lĩnh vực chính trị ?,Quyền sáng tác văn học,Quyền bình đẳng nam nữ,Quyền tự do báo chí,Quyền lao động,C,GDCD 11
722,Quyền lao động thể hiện dân chủ trong lĩnh vực nào dưới đây?,Kinh tế,Văn hóa,Chính trị,Xã hội,D,GDCD 11
723,Quyền phê bình văn học thể hiện dân chủ trong lĩnh vực,Văn hóa,Giáo dục,Chính trị,Xã hội,A,GDCD 11
724,Quyền nào dưới đây của công dân thể hiện dân chủ trong lĩnh vực xã hội?,Quyền được thông tin,Quyền được hưởng bảo hiểm xã hội,Quyền khiếu nại,Quyền tham gia quản lí nhà nước,B,GDCD 11
725,Một trong những mục tiêu của chính sách dân số nước ta là,"Sớm ổn định quy mô, cơ cấu dân số","Sớm ổn định quy mô, tốc độ dân số",Ổn định tốc độ dân số và cơ cấu dân số,Ổn định mức sinh tự nhiên,A,GDCD 11
726,Nội dung nào dươi đây là một trong những mục tiêu của chính sách dân số nước ta ?,"Tuyên truyền, giáo dục biện pháp kế hoạch hóa gia đình",Tổ chức tốt bộ máy làm công tác dân số,Nâng cao chất lượng dân số,Phát triển nguồn nhân lực,C,GDCD 11
727,Nội dung nào dưới đây là một trong những phương hướng cơ bản của chính sách dân số ở nước ta?,Tăng cường bộ máy Nhà nước đối với công tác dân số,Tăng cường công tác lãnh đạo và quản lí đối với công tác dân số,Tiếp tục giảm tốc độ gia tằn dân số,Phân bố dân số hợp lí,B,GDCD 11
728,Phân bố dân cư hợp lí là mọt trong những mục tiêu của,Chính sách dân số,Chính sách giải quyết việc làm,Chính sách tài nguyên và bảo vệ môi trường,Chính sách quốc phòng an ninh,A,GDCD 11
729,Một trong những phương án để nâng cao chất lượng dân số ở nước ta lad,Nâng cao đời sống của nhân dân,Nâng cao hiểu biết của người dân về sức khỏe sinh sản,Nâng cao vai trò của gia điình,Nâng cao hiểu quả của công tác dân số,B,GDCD 11
730,"Ở nước ta, thực hiện có hiệu quả chính sách dân số là nhằm mục đích nào dưới đây?","ổn định mọi mặt đời sống xã hội, phát triển kinh tế","Đảm bảo trạt tự, an toàn xã hôi","Thực hiện xóa đói, giảm nghèo",Thúc đẩy sản xuất phát triển,A,GDCD 11
731,"Nhà nước tạo điều kiện để mọi gia điình, cá nhân tự nguyện, chủ động tham gia công tác dân số nhằm mục tiêu nào dưới đây?",Phổ biến rộng rãi biện pháp kế hoạch hóa gia đình,Nâng cao chất lượng dân số,Tăng cường vai trò lãnh đạo và quản lí mình,Thực hiện xã hội hóa công tác dân số,D,GDCD 11
732,"Đảng và Nhà nước ta đang có chủ trương giảm tốc độ tăng dân số, bở vì tăng dân số","Ảnh hưởng tới sự phát triển kinh tế, văn hóa, xã hội của nhà nước",ảnh hưởng đến quá trình công nghiệp hóa đất nước,ảnh hưởng đến an ninh quốc phòng,"ảnh hưởng đến chính trị, kinh tế của đất nước",A,GDCD 11
733,Mục tiêu phân bố dân cư hợp lí của chính sách dân số nước ta để,Giảm sự chênh lệch lao động giữa các vùng,"Khai thác tiềm năng và phát huy thế mạnh của từng vùng, miền",Hạn chế tập trung đông dân cư vào đô thị lớn,Giảm lao động thừa ở thành thị,B,GDCD 11
734,Quan niệm dân gian nào dưới đây ảnh hưởng xấu đến chính sách dân số của Nhà nước?,Cơn hơn cha là nhà có chức,Một giọt máu đào hơn ao nước lã,Cha mẹ sinh con trời sinh tính,Đông con hơn nhiều của,D,GDCD 11
735,Tình trạng thiếu việc làm ở nước ta hiện nay là,Vấn đề rất bức xúc ở cả nông thôn và thành thị,Nội dung quan tâm ở các thành phố lớn,Điều đáng lo ngại ở các đô thị,Vấn đề cần giải quyết ở khu vực đồng bằng,A,GDCD 11
736,Nhà nước đã thực hiện phương hướng nào dưới đây để tạo ra nhiều việc làm?,Tập trung phát triển thành phần kinh tế nhà nước,Tập trung phát triển thành phần kinh tế tư nhân,Khuyến khích các thành phần kinh tế phát triển,Khuyến khích thành phần kinh tế có vốn đầu tư nước ngoài,C,GDCD 11
