Question,A,B,C,D,Answer,subject
Chất độc hại có thể gây ra bệnh ung thư phổi có nhiều trong thuốc lá là,cafein,nicotin,moocphin,seduxen,B,chemistry
Có 5 ống nghiệm chứa các dung dịch sau,5,3,2,4,A,chemistry
Trong các chất sau,2,3,4,1,A,chemistry
Số oxi hoá phổ biến của sắt trong hợp chất là,#ERROR!,#ERROR!,#ERROR!,#ERROR!,C,chemistry
"Cho m gam bột Fe tan hết trong dung dịch HCl dư tạo ra 4,48 lít khí (đktc). Nếu cho m gam Fe trên tác dụng hết với khí Cl2 thì cần bao nhiêu lít khí Cl2 (đktc) ?","6,72 lít","3,36 lít","4,48 lít","8,96 lít",A,chemistry
"Cho hỗn hợp gồm Fe, Cu vào dung dịch HNO3 loãng, sau phản ứng hoàn toàn thu được khí NO (sản phẩm khử duy nhất), dung dịch A và còn lại chất rắn không tan B. Cho B vào dung dịch H2SO4 loãng dư thì thấy có khí thoát ra. Trong dung dịch A chứa",Fe(NO3)2 và HNO3,Fe(NO3)2,Fe(NO3)3 và Cu(NO3)2,Fe(NO3)2 và Cu(NO3)2,B,chemistry
Trong các hợp chất sau,5,7,4,6,D,chemistry
"Trong sản xuất nhôm từ quặng boxit, hai điện cực anot và catot được làm bằng",anot và catot đều được làm bằng cacbon,"anot làm bằng sắt, catot làm bằng cacbon",anot và catot đều được làm bằng sắt,"anot làm bằng cacbon, catot làm bằng sắt",A,chemistry
"Cho dung dịch chứa 2 mol KI vào dung dịch K2Cr2O7 trong axit H2SO4 đặc, dư thì thu được đơn chất X. Số mol X là",4 mol,1 mol,2 mol,3 mol,B,chemistry
Trong các kim loại sau đây,1,4,3,2,D,chemistry
"Trong các kim loại Cu, Ag, Mg, Al, Pb, Ni có bao nhiêu kim loại không tan trong dung dịch H2SO4 loãng dư?",1,4,3,2,C,chemistry
Trong dung dịch X chứa đồng thời các cation,PO3−4,Cl−,NO−3,SO2−4,C,chemistry
Không khí trong phòng thí nghiệm bị nhiễm bẩn bởi khí Cl2. Để khử độc có thể xịt vào không khí dung dịch nào sau đây?,dung dịch NH3,dung dịch H2SO4 loãng,dung dịch HCl,dung dịch NaCl,C,chemistry
Trong số các thuốc thử sau,1,4,3,2,C,chemistry
"Cho 19,2g Cu tác dụng hoàn toàn với 100ml dung dịch gồm H2SO4 1M và HNO3 2M tạo ra bao nhiêu lít khí NO (sản phẩm khử duy nhất, đktc)?","2,24 lít","4,48 lít","3,36 lít","5,6 lít",A,chemistry
Cho các chất sau đây,3,4,2,1,B,chemistry
Trong các chất sau đây,3,5,4,2,C,chemistry
"Cho m gam Sn tan hết trong dung dịch HCl dư tạo ra 0,1 mol H2. Đốt hoàn toàn m gam Sn trên thì cần bao nhiêu lít O2 (đkc)?","1,12 lít","4,48 lít","3,36 lít","2,24 lít",D,chemistry
Trường hợp nào sau đây không xảy ra phản ứng?,Cu vào hỗn hợp dung dịch NaNO3 + H2SO4 loãng,Cho Cr + NaOH + H2O,Cu + dd HCl + O2,CuO + dd HCl,B,chemistry
Chia m gam hỗn hợp Al và Na thành 2 phần bằng nhau,"33,0g","20,4g","40,8g","43,8g",C,chemistry
"Khi cho 5,6g Fe tác dụng hoàn toàn với 250 ml dung dịch AgNO3 1M thì thu được bao nhiêu gam kết tủa?","21,6g","37,0g","20,7g","27,0g",D,chemistry
"Cho dung dịch Ba(OH)2 dư vào dung dịch chứa 0,1 mol K2Cr2O7. Khối lượng kết tủa tối đa thu được là","40,6g","80,6g","50,6g","70,6g",C,chemistry
Cho dung dịch chứa a mol NaOH vào dung dịch chứa b mol AlCl3. Để tạo ra kết tủa thì giá trị của a là,a ≥ 4b,a < 4b,a ≤ 4b,a = 3b,B,chemistry
Trường hợp nào sau đây dung dịch chuyển từ màu da cam sang màu vàng?,Cho dung dịch KOH vào dung dịch K2Cr2O7,Cho dung dịch H2SO4 loãng vào dung dịch K2Cr2O7,Cho dung dịch H2SO4 loãng vào dung dịch K2CrO4,Cho dung dịch KOH vào dung dịch K2CrO4,A,chemistry
"Cho thanh sắt có khối lượng 100g vào dung dịch CuSO4, sau một thời gian lấy thanh sắt ra cân lại thì được 101,6g. Khối lượng Cu bám vào thanh sắt là","12,8g","1,6g","6,4g","18,2g",A,chemistry
Trường hợp nào sau đây CrCl3 có tính khử?,Cho Zn vào dung dịch CrCl3,Sục khí Cl2 vào hỗn hợp dung dịch CrCl3 trong dung dịch NaOH,Cho dung dịch KOH vào dung dịch CrCl3,Sục khí NH3 dư vào dung dịch CrCl3,B,chemistry
Trường hợp nào sau đây mà sau khi phản ứng kết thúc tạo ra kết tủa Al(OH)3?,Cho dung dịch HCl dư vào dung dịch natri aluminat,Cho dung dịch NaOH dư vào dung dịch AlCl3,Cho dung dịch NH4Cl vào dung dịch AlCl3,Cho khí CO2 dư vào dung dịch natri aluminat,D,chemistry
Dung dịch Fe(NO3)3 không tác dụng với,Fe,Cu,dung dịch KI,dung dịch AgNO3,D,chemistry
Oxit là:,Hỗn hợp của nguyên tố oxi với một nguyên tố hoá học khác.,Hợp chất của nguyên tố phi kim với một nguyên tố hoá học khác.,Hợp chất của oxi với một nguyên tố hoá học khác.,Hợp chất của nguyên tố kim loại với một nguyên tố hoá học khác.,C,chemistry
Những dãy chất nào sau đây đều là oxit axit?,"$CO_2, SO_3, Na_2O,NO_2$ ","$CO_2, SO_2, H_2O, P_2O_5$","$SO_2, P_2O_5, CO_2, N_2O_5$","$H_2O, CaO, FeO, CuO$",C,chemistry
Dãy chất gồm các oxit bazơ:,"$CuO, NO, MgO, CaO$","$CuO, CaO, MgO, Na_2O$","$CaO, CO_2, K_2O, Na_2O$","$K_2O, FeO, P_2O_5, Mn_2O_7$",B,chemistry
Oxit lưỡng tính là,Những oxit tác dụng với dung dịch axit tạo thành muối và nước.,Những oxit tác dụng với dung dịch bazơ và tác dụng với dung dịch axit tạo thành muối và nước.,Những oxit tác dụng với dung dịch bazơ tạo thành muối và nước.,Những oxit chỉ tác dụng được với muối.,B,chemistry
Vôi sống có công thức hóa học là :,Ca,$Ca(OH)_2$,$CaCO_3$,CaO,D,chemistry
Sản phẩm của phản ứng phân hủy canxicacbonat bởi nhiệt là :,$CaO$ và $CO$,$CaO$ và $CO_2$,$CaO$ và $SO_2$,$CaO$ và $P_2O_5$,B,chemistry
CaO để lâu trong không khí bị giảm chất lượng là vì:,$CaO$ tác dụng với $O_2$,$CaO$ tác dụng với $CO_2$,$CaO$ dụng với nước,Cả B và C,D,chemistry
"Để loại bỏ khí $CO_2$ có lẫn trong hỗn hợp $(CO, CO_2)$ , người ta cho hỗn hợp đi qua dung dịch chứa:",$HCl$,$Ca(OH)_2$,$Na_2SO_2$,$NaCl$,B,chemistry
$SO_2$ là oxit:,Oxit axit,Oxit bazo,Oxit trung tính,Oxit lưỡng tính,A,chemistry
"Dẫn hỗn hợp khí gồm $CO_2, CO, SO_2$ lội qua dung dịch nước vôi trong (dư), khí thoát ra là:",$CO$,$CO_2$,$SO_2$,$CO_2$ và $SO_2$,A,chemistry
"Để nhận biết 3 khí không màu: $SO_2, O_2, H_2$ đựng trong 3 lọ mất nhãn ta dùng",Giấy quỳ tím ẩm,Giấy quỳ tím ẩm và dùng que đóm cháy dở còn tàn đỏ,Than hồng trên que đóm,Dẫn các khí vào nước vôi trong,B,chemistry
Chất nào sau đây góp phần nhiều nhất vào sự hình thành mưa axit?,$CO_2$,$SO_2$,$N_2$,$O_3$,B,chemistry
Cho một mẫu giấy quỳ tím vào dung dịch NaOH. Thêm từ từ dung dịch HCl vào cho đến dư ta thấy màu giấy quì:,Màu đỏ không thay đổi,Màu đỏ chuyển dần sang xanh.,Màu xanh không thay đổi,Màu xanh chuyển dần sang đỏ.,D,chemistry
Dung dịch $H_2SO_4$ tác dụng với chất nào tạo ra khí hiđro?,$NaOH$,$Fe$,$CaO$,$CO_2$,B,chemistry
Tính chất hóa học nào không phải của axit,Tác dụng với kim loại,Tác dụng với muối,Tác dụng với oxit axit,Tác dụng với oxit bazơ,C,chemistry
Dung dịch tác dụng với $CuO$ tạo ra sản phẩm là dung dịch có màu xanh lam:,Dung dịch $NaOH$,Dung dịch $Na_2CO_3$,Dung dịch HCl,Dung dịch $Ca(OH)_2$,C,chemistry
Để an toàn khi pha loãng $H_2SO_4$ đặc cần thực hiện theo cách:,Rót từng giọt nước vào axit,Rót từng giọt axit vào nước,Cho cả nước và axit vào cùng một lúc,Cả 3 cách trên đều được,B,chemistry
Dung dịch axit clohiđric tác dụng với sắt tạo thành:,Sắt (II) clorua và khí hiđrô,Sắt (III) clorua và khí hiđrô,Sắt (II) Sunfua và khí hiđrô,Sắt (II) clorua và nước,A,chemistry
Dung dịch axit clohiđric tác dụng với đồng (II) hiđrôxit tạo thành dung dịch màu:,Vàng đậm,Đỏ,Xanh lam,Da cam,C,chemistry
"Nhận định nào sau đây về muối cacbonat là đúng nhất?

Tất cả muối cacbonat đều: ",tan trong nước,bị nhiệt phân tạo ra oxit kim loại và cacbon đioxit,bị nhiệt phân trừ muối cacbonat của kim loại kiềm,không tan trong nước,C,chemistry
Hiện tượng xảy ra khi trộn dung dịch $Na_2CO_3$ với dung dịch $FeCl_3$ là:,Xuất hiện kết tủa màu đỏ nâu,Có bọt khí thoát ra khỏi dung dịch,Xuất hiện kết tủa màu lục nhạt,A và B đúng,D,chemistry
Sự hình thành thạch nhũ trong các hang động đá vôi nhờ phản ứng nào sau đây?,$CaCO_3 + CO_2 + H_2O  -> Ca(HCO_3)_2$,$Ca(OH)_2 + Na_2CO_3  → CaCO_3 + 2NaOH$,$CaCO_3  \rightarrow^{t^{\circ}} Ca_O + CO_2$,$Ca(HCO_3)_2  \rightarrow CaCO_3 + H_2O$,D,chemistry
"Cho m gam hỗn hợp muối cacbonat tác dụng hết với dung dịch $HCl$ thu đươc 6,72 lít khí $CO_2$ (đktc) và 32,3 gam muối clorua. Giá trị của m là:","3,7",29,"19,1","35,6",B,chemistry
$Na_2CO_3$ lẫn tạp chất là $NaHCO_3$. Cách nào sau đây có thể thu được $Na_2CO_3$ tinh khiết,Hòa tan vào nước rồi lọc,Nung nóng,Cho tác dụng với NaOH dư,Cho tác dụng với Ca(OH)_2 dư,C,chemistry
"Cho 20 g hỗn hợp hai muối cacbonat của hai kim loại hóa trị II và III vào dung dịch $HCl$ 0,5 M vừa đủ thu được dung dịch A và 1,344 lít khí (đktc). Cô cạn dung dịch A thu được m gam muối khan. Thể tích dung dịch $HCl$ đã dùng và giá trị của m là?","0,12 lít và 10,33 gam","0,24 lít và 20,66 gam","0,24 lít và 25,32 gam","0,3 lít và 21,32 gam",B,chemistry
Silic đioxit là chất ở dạng,Vô định hình,Tinh thể nguyên tử,Tinh thể phân tử,Tinh thể ion,C,chemistry
Si tác dụng với chất nào sau đây ở nhiệt độ thường?,$F_2$,$O_2$,$H_2$,$Mg$,A,chemistry
"Oxit cao nhất của nguyên tố R có công thức là $RO_2$. Trong hợp chất khí với hidro, nguyên tố R chiếm 87,5% về khối lượng. Vậy R là nguyên tố nào sau đây?",Cacbon,Silic,Nito,Clo,B,chemistry
"Cho 25 gam hỗn hợp gồm silic và than tác dụng với dung dịch $NaOH$ đặc, dư, đun nóng, thu được 11,2 lít khí $H_2$ (đktc). Thành phần % khối lượng của Si trong hỗn hợp ban đầu là bao nhiêu? ( biết H= 100%)",56%,14%,28%,42%,C,chemistry
Bảng tuần hoàn các nguyên tố hóa học được sắp xếp theo:,Chiều tăng dần của số electron lớp ngoài cùng của nguyên tử.,Chiều tăng dần của điện tích hạt nhân của nguyên tử.,Chiều tăng dần của nguyên tử khối.,Chiều giảm dần của điện tích hạt nhân của nguyên tử.,B,chemistry
"Trong một chu kì tuần hoàn, khi đi từ trái qua phải thì:",Bán kính nguyên tử giảm dần,Năng lượng ion giảm dần,Ái lực điện tử giảm dần,Độ âm điện giảm dần,A,chemistry
Một nguyên tố Y đứng liền trước nguyên tố X trong cùng một chu kì của bảng tuần hoàn. Y đứng liền trước Z trong cùng một nhóm A. Phát biểu nào sau đây là đúng?,Số hiệu nguyên tử theo thứ tự tăng dần là X < Y < Z.,Bán kính nguyên tử theo thứ tự tang dần là Z < Y < X.,Hóa trị cao nhất trong hợp chất với oxi tang dần theo thứ tự: Z < Y < X.,"Trong các hidroxit, tính axit tăng dần theo thứ tự: hidroxit của Z < hidroxit của Y < hidroxit của X.",D,chemistry
"Theo chiều tăng dần của điện tích hạt nhân, trong cùng một nhóm, thì:",Tính phi kim và tính kim loại giảm dần,"Tính phi kim tăng giần, tính kim loại giảm dần","Tính phi kim giảm dần, tính kim loại tăng dần",Tính phi kim và tính kim loại tăng dần,C,chemistry
Quá trình nào sau đây không sinh ra khí cacbonic?,Đốt cháy sản phẩm thải của dầu mỏ,Quá trình sản xuất vôi sống,Quá trình sản xuất gang thép,Quá trình quang hợp của cây xanh,D,chemistry
"Các ngành sản xuất đồ gốm, xi măng, thuỷ tinh được gọi là công nghiệp silicat, vì:",Đều chế biến các hợp chất tự nhiên của nhôm,Đều chế biến các hợp chất tự nhiên của sắt,Đều chế biến các hợp chất tự nhiên của silic,Đều chế biến các hợp chất tự nhiên của cacbon,C,chemistry
"Biết khí clo có màu vàng, khi đưa ngọn lửa hidro đang cháy vào bình đựng khí clo thì hiện tượng quan sát được là:",Trong bình có dung dịch axit clohidric,Ngọn lửa hidro sẽ tắt do không có oxi trong bình,Lửa vẫn cháy tạo khí không màu và bình mất màu vàng,Thấy khói trắng đầy bình và ngọn lửa sẽ tắt dần,C,chemistry
Trong bình chữa cháy chứa khí nào sau đây?,$Cl_2$,$CO_2$,$SO_2$,$O_2$,B,chemistry
"Trong công nghiệp, clo được điều chế bằng phương pháp gì?",Điện phân dung dịch,Thủy phân,Nhiệt phân,Điện phân nóng chảy,A,chemistry
Tính nhiệt lượng tỏa ra khi đốt cháy 5 kg than có chứa 90% cacbon. Biết 1 mol cacbon cháy tỏa ra 394 kJ.,133333 kJ.,147750 kJ.,144450 kJ.,191340 kJ.,B,chemistry
Tính khối lượng $Na_2CO_3$ cần dùng để sản xuất được 120 kg thủy tinh $Na_2O.CaO.6SiO_2$ với hiệu suất 90%?,"26,61 kg.","29,57 kg.","20,56 kg.","24,45 kg.",B,chemistry
Tính thể tích khí $CO_2$ (đktc) tạo thành để dập tắt đám cháy nếu trong bình chữa cháy có dung dịch chứa 980 gam $H_2SO_4$ tác dụng hết với dung dịch $NaHCO_3$.,"22,4 lít.",224 lít.,"44,8 lít.",448 lít.,D,chemistry
Đơn vị đo độ dài hợp pháp của nước ta là :,ki-lô-mét(km),mét(m),cen-ti-mét(cm),mi-li-mét(mm),B,physics
Độ chia nhỏ nhất (ĐCNN) của thước là :,Độ dài nhỏ nhất ghi trên thước,Độ dài lớn nhất ghi trên thước,Độ dài giữa 2 vạch chia trên thước,Độ dài giữa hai vạch chia liên tiếp trên thước,D,physics
Hãy chọn bình chia độ phù hợp nhất trong các bình chia độ dưới đây để đo thể tích của một lượng chất lỏng gần đầy chai 0.5l,Bình 100ml có vạch chia tới 10ml,Bình 500ml có vạch chia tới 2ml,Bình 100ml có vạch chia tới 1ml,Bình 500ml có vạch chia tới 5ml,A,physics
Một hòn đá có thể tích 25cm^3 được thả nhẹ vào bình chia độ đang chưa nước ở mực 80cm^3. Thể tích mực nước dâng lên thêm trong bình là ;,25$cm^{3}$,55$cm^{3}$,60$cm^{3}$,105$cm^{3}$,A,physics
Khi sử dụng bình tràn và bình chứa để đo thể tích vật rắn không thấm nước thì thể tích của vật bằng :,Thể tích bình tràn,Thể tích bình chứa,Thể tích nức còn lại trong bình tràn,Thể tích phần nước tràn ra từ bình tràn sang bình chứa,D,physics
Đơn vị đo khối lượng hợp pháp của nước Việt Nam là :,ki-lô-gam(kg),gam(g),lạng,mi-li-gam (mg),A,physics
Một lạng bằng bao nhiêu gam ?,1,10,100,1000,C,physics
"Trên vỏ túi bột giặt OMO có ghi 500g, số đó chỉ :",Khối lượng bột giặt trong túi,Khối lượng của túi bột giặt,Trọng lượng của túi bột giặt,Thể tích của túi bột giặt,A,physics
Lực là :,Tác dụng đẩy vật này lên vật kia,Tác dụng kéo vật này lên vật kia,Tác dụng nén lò xo,"Tác dụng dẩy, kéo của vật này lên vật khác",D,physics
Hai lực cân bằng là ,"Hai lực mạnh như nhau, có cùng phương nhưng ngược chiều",Hai lực mạnh như nhau,"Hai lực cùng phương, ngược chiều","Cả A,B,C đều đúng",A,physics
Trọng lực là :,Lực hút của trái đất,Lực tác dụng lên vật,Lực có phương thẳng đứng,lực có chiều hướng từ trên xuống dưới,A,physics
Một vật có khối lượng 10kg thì trọng lượng của vật đó là :,10N,100N,1000N,10000N,B,physics
Một quyển sách nằm yên trên mặt bàn thì nó,Chỉ chịu tác dụng của trọng lực,Chỉ chịu tác dụng của lực đỡ mật bàn,Không chịu tác dụng của lực nào cả,Chịu tác dụng của trọng lực và lực đỡ của mặt bàn,D,physics
Lực nào dưới đây là lực đàn hồi ?,Trọng lực của một quả nặng,Lực hút của một nam châm tác dụng lên một miếng sắt,Lực đấy của lò xo dưới yên xe đạp,Lực kết dính giữa một tờ giấy dán trên bảng với mặt bảng,C,physics
Chọn câu đúng trong các câu dưới đây :,Lực đàn hồi không phụ thuộc vào độ biến dạng,Độ biến dạng tăng thì lực đàn hồi tăng,Độ biến dạng tawng thì lực đàn hồi giảm,"Cả A,B,C đều đúng",B,physics
Để nâng 1 vật có trọng lượn 30N ta phải dùng lực như nào trong các lực dưới đây,F < 30N,F = 30N,F > 20N,20N < F < 300N,B,physics
Công thức nào dưới đây tính trọng lượng riêng của một một chất theo trọng lượng và thể tích,$D = P.D$,$d = V.P$,$d=V.D$,$d=\frac{P}{V}$,D,physics
"Một vật bằng sắt có khối lượng riêng là $7800kh/m^{3}$, thể tích $50dm^{3}$. Khối lượng của vật là",390kg,312kg,39000kg,156kg,A,physics
Biết 10 lít cát có khối lượng 15kg. Tính thể tích của 1 tấn cát.,$0.667m^{3}$,$0.667m^{4}$,0$0.778m^{3}$,$0.778m^{4}$,A,physics
"Khối lượng riêng của dầu ăn vào khoảng $800kg/m^{3}$. Do đó, 2 lít dầu ăn sẽ có trọng lượng khoảng",1.6N,16N,160N,1600N,B,physics
Trường hợp nào sau đây vật không bị biến dạng khi chịu tác dụng của lực?,Cửa kính bị vỡ khi va đập mạnh,Đất xốp khi được cày xới cẩn thận,Cành cây đu đưa khi có gió thổi,Tờ giấy bị nhàu khi ta vò nó lại,C,physics
"Những loại máy móc, dụng cụ nào sau đây sử dụng nguyên lí của các máy cơ đơn giản :",Cầu bập bênh,Xe gắn máy,Xe đạp,Máy bơm nước,A,physics
"Trong các cách sau, cách nào không làm giảm được độ độ nghiêng của mặt phẳng nghiêng?",Tăng chiều dài của mặt phẳng nghiêng,Giảm chiều dàu của mặt phẳng nghiêng,Giảm chiều cao kê của mặt phẳng nghiêng.,Tăng chiều dài của mặt phẳng nghiêng đồng thời giảm chiều cao kê mặt phẳng nghiêng,B,physics
"Nếu đòn bẩy quay quanh điểm tựa $O$, trọng lượng của vật cần nân tác dụng vào điểm $O_{1}$ của đòn bẩy, lực nâng vật tác dụng vào điểm $O_{2}$ của đòn bẩy thì dùng đòn bẩy được lợi về lực trong trường hợp nào dưới đây?",Khoảng cách $OO_{1}$ > $OO_{2}$,Khoảng cách $OO_{1}$ = $OO_{2}$,Khoảng cách $OO_{1}$ < $OO_{2}$,Khoảng cách $OO_{1}$ = $2OO_{2}$,C,physics
Các nha sĩ khuyên không nên ăn ăn thức ăn quá nóng. Vì sao?,Vì răng dễ vỡ,Vì răng dễ bị ố vằng,Vì răng dễ bị sâu,Vì men răng dễ bị rạn nứt,D,physics
Khi tăng nhiệt độ của một lượng nước từ $0^{\circ} đến 4^{\circ} thì :,Thể tích nước co lại,Thể tích nước nở ra,Thể tích không thay đổi,Cả ba kết luận đều sai,A,physics
Làm lạnh một lượng nước từ $100^{\circ}$ về $50^{\circ}. Khối lượng riêng và trọng lượng riêng của nước thay đổi như thế nào?,Cả khối lượng riêng và trọng lượng riêng đều tăng.,Ban đầu khối lượng riêng và trọng lượng riêng giảm sau đó bắt đầu tăng.,Cả khối lượng riêng và trọng lượng riêng đều giảm.,Cả khối lượng riêng và trọng lượng riêng đều không đổi.,A,physics
Kết luận nào sau đây là đúng khi nói về khối lượng riêng và khối lượng của một lượng nước ở $4^{\circ}$?,Khối lượng riêng nhỏ nhất,Khối lượng riêng lớn nhất,Khối lượng lớn nhất,Khối lượng nhỏ nhất,B,physics
"Điền từ đúng nhất. Khi giảm nhiệt độ, thể tích của…….sẽ giảm ít hơn thể tích của…….","Chất khí, chất lỏng","Chất khí, chất rắn","Chất lỏng, chất rắn","Chất rắn, chất lỏng",C,physics
Hai cốc thủy tinh chồng lên nhau bị khít lại. Muốn tách rời hai cốc ta làm cách nào sau đây?,"Ngâm cốc ở dưới vào nước nóng, đồng thời đổ nước lạnh vào cốc ở trên.","Ngâm cốc ở dưới vào nước lạnh, đồng thời đổ nước nóng vào cốc ở trên",Ngâm cả hau cốc vào nước nóng,Ngâm cả hai cốc vào nước lạnh,A,physics
"Trong thang nhiệt dộ Farenhai, nhiệt dộ của nước đang sôi là :",$32{\circ}F$,$100{\circ}F$,$212{\circ}F$,$0{\circ}F$,C,physics
Người ta chọn thủy ngân và rượu để chế tạo nhiệt kế vì,Chúng có nhiệt độ nóng chảy cao,Nhiệt độ nóng chảy thấp,Nhiệt độ đông đặc cao,Tất cả câu trên đều sai,B,physics
Hiện tượng nào không liên quan đến hiện tượng nóng chảy trong các hiện tượng ta hay gặp trong đời sống sau đây,Đốt một ngọn nến,Đun nấu mỡ vào mùa đông,Pha nước chanh đá,Cho nước vào tủ lạnh để làm đá,D,physics
 Phát biểu nào sau đây là sai khi nói về sự nóng chảy và sự đông đặc ?,Các chất khác nhau sẽ nóng chảy (hay đông đặc) ở nhiệt độ khác nhau,"Đối với một chất nhất định, nếu nóng chảy ở nhiệt độ nào thì sẽ đông đặc ở nhiệt độ ấy",Nhiệt độ của vật sẽ tăng dần trong quá trình nóng chảy và giảm dần trong quá trình đông đặc.,Phần lớn các chất nóng chảy (hay đông đặc) ở một nhiệt độ nhất định,C,physics
"Về mùa đông ở các xử lạnh ta thấy người đi thường thở ra ""khói"" là do :","Hơi thở của người có nhiều hơi nước, khi ra ngoài không khí lạnh bị bay hơi tạo thành khói","Hơi thơ của người chứa nhiều hơi nước, khi ra ngoài không khí lạnh bị ngưng tụ thành các hạt nhỏ li ti tạo thành khói","Hơi thở của người có chứa nhiều hơi nước, khi ra người không khí lạnh bị đông đặc thành đá tạo thành khói",Tất cả đều sai.,B,physics
"Trong các hiện tượng sau đây, hiện tượng nào không phải là sự bay hơi ?",Quần áo sau khi giặt được phơi khô.,"Lau ướt bảng, một lúc sau bảng sẽ khô.",Mực khô sau khi viết.,Sự tạo thành giọt nước động trên lá cây.,D,physics
"Khi trời lạnh, ô tô có bật điều hòa và đóng kín cửa, hành khách ngồi trên ô tô thấy những hiện tượng gì ?",Nước bốc hơi trên xe.,Hơi nước ngưng tụ tạo thành giọt nước phía ngoài kính xe,Hơi nước ngưng tụ tạo thành giọt nước phía ngoài kính xe,Không có hiện tượng gì,B,physics
Khi nấu cơm ta mở nắp vung ra thì thấy bên trong nắp có các giọt nước bám vào là do :,Hơi nước trong nồi ngưng tụ.,Hạt gạo bị nóng chảy,Hơi nước bên ngoài nồi ngưng tụ,Hơi nước bên ngoài nồi đông đặc,A,physics
"Trong các đặc điểm bay hơi sau đây, đặc điểm nào không phải của sự sôi?",Xảy ra ở một nhiệt độ xác định của chất lỏng,Xảy ra ở cả trong lòng lẫn mặt thoáng của chất lỏng,Xảy ra ở bất kì nhiệt độ nào,"Trong suốt quá trình diễn ra hiện tượng này, nhiệt độ của chất lỏng không thay đổi.",C,physics
Tia sáng tới gương phẳng hợp với tia phản xạ một góc $88^{\circ}$. Hỏi góc tời có giá trị bao nhiêu ?,$44^{\circ}$,$46^{\circ}$,$88^{\circ}$,$2^{\circ}$,A,physics
Hứng mặt phản xạ của gương cầu lõm về phía ánh sáng Mặt Trời ta thu được chùm tia phản xạ là chùm gì?,Chùm hội tụ,Chùm phân kì,Cả 2 chùm hội tụ và phân kì,Cả 3 phương án trên,A,physics
"Khi hiện tượng nhật thực xảy ra có hai người đứng ở hai nơi trên trái đất, một người cho rằng đã xảy ra hiện tượng nhật thực tòan phần , người kia lại cho là xảy ra hiện tượng nhật thực một phần. Vì sao ?",Đứng trong vùng bóng tối của Mặt Trăng trên Trái Đất sẽ quan sát được nhật thực toàn phần,Đứng trong vùng bóng tối của Mặt Trăng trên Trái Đất sẽ quan sát thấy nhật thực một phần,Cả 2 đều đúng,Cả 2 đều sai,C,physics
Câu 4: Những đặc điểm chung về ảnh của một vật tạo bởi gương phẳng là:,"A. Ảnh ảo, không hứng được trên màn chắn.",B. Ảnh có kích thước bằng vật.,C. Khoảng cách từ gương đến ảnh và vật bằng nhau.,D. Tất cả đều đúng,D,physics
Chùm sáng hội tụ là chùm sáng mà,Các tia sáng không giao nhau trên đường truyền của chúng.,Các tia sáng giao nhau trên đường truyền của chúng,Các tia sáng loe rộng trên đường truyền của chúng.,"Các tia sáng loe rộng ra, kéo dài gặp nhau.",B,physics
Một vật như thế nào (điều kiện về vật) thì mắt ta mới có thể nhìn thấy nó? Chọn câu trả lời sai,Vật phát ra ánh sáng,Vật phải được chiếu sáng,Vật không phá sáng mà cũng không được chiếu sáng,Vật phải đủ lớn và không cách mắt quá xa,C,physics
Ảnh của một vật tạo bởi gương cầu lồi là:,Ảnh ảo nhỏ hơn vật,Ảnh ảo lớn hơn vật,Ảnh thật nhỏ hơn vật,Ảnh thật lớn hơn vật,A,physics
Câu 8: Chọn từ thích hợp điền vào chổ trống: Khi Trái Đất ở giữa Mặt Trời và Mặt Trăng thì Mặt Trăng đi vào ... của Trái Đất nên không được Mặt Trời chiếu sáng,Trong suốt,Vùng bóng tối,Đồng tính,Vùng bóng nửa tối,B,physics
Một tua sáng chiếu tới gương phẳng và hợp với mặt gương một góc $30^{\circ}$. Góc phản xạ bằng :,$15^{\circ}$,$30^{\circ}$,$45^{\circ}$,$60^{\circ}$,D,physics
Khi nào ta nhìn thấy một vật ?,Khi vật được chiếu sáng,Khi ta mở mắt hướng về phía vật,Khi vật phát ra ánh sáng,Khi có ánh sáng từ vật đến mắt ta,D,physics
Nguyên nhân nào dẫn đến hiện tượng nhật thức,Mặt trời ngừng phát ra ánh sáng,Mặt trời bỗng nhiên biến mất,Mặt Trời bị Mặt Trăng che khuất nên ánh sáng Mặt Trời không đến được mặt đất,"Người quan sát đứng ở nửa sau Trái Đất, không được Mặt Trăng chiếu sáng",C,physics
Ảnh ảo của vật tạo bời gương cầu lõm là,Lớn bằng vật,Lớn hơn vật,Nhỏ hơn vật,Nhỏ hơn ảnh tạo bởi gương cầu lồi,B,physics
Âm thanh được tạo ra nhờ,Dao động,Điện,Ánh sáng,Nhiệt,A,physics
Vật nào dưới đây phản xạ âm tốt?,Miếng xốp,Rèm nhung,Mặt gương,Đệm cao su,C,physics
Âm không thể truyền trong môi trường nào dưới đây ?,Khoảng chân không,Tường bê tông,Nước biển,Tầng khí quyển bao quanh Trái Đất,A,physics
Chiếu một tia sáng lên một gương phẳng ta thu được một tia phản xạ tạo với tia tới một góc $80^{\circ}$. Góc tới có giá trị nào sau đây?,$20^{\circ}$,$40^{\circ}$,$60^{\circ}$,$80^{\circ}$,B,physics
Chiếu một tia sáng vuông góc với một gương phẳng. Góc phản xạ có giá trị nào sau đây ?,$0^{\circ}$,$45^{\circ}$,$90^{\circ}$,$180^{\circ}$,A,physics
